record_id,from_digital_account_id,to_digital_account_id,interaction_type,event_time,source_id,synthetic_demo_record
DIR_000020,DIG_01333,DIG_03033,TAG_MENTION,2026-01-30T20:31:45,SOC_API_MONITOR_WHATSAPP,True
DIR_000021,DIG_05491,DIG_02188,DIRECT_MESSAGE,2027-02-13T23:39:40,SOC_API_MONITOR_WHATSAPP,True
DIR_000022,DIG_04991,DIG_05202,TAG_MENTION,2025-05-16T17:31:32,SOC_API_MONITOR_TELEGRAM,True
DIR_000023,DIG_01339,DIG_03787,VOIP_CALL,2026-03-04T11:22:46,SOC_API_MONITOR_X (TWITTER),True
DIR_000024,DIG_05243,DIG_05638,TAG_MENTION,2026-08-23T04:35:51,SOC_API_MONITOR_TELEGRAM,True
DIR_000025,DIG_05609,DIG_02657,DIRECT_MESSAGE,2027-07-21T12:12:27,SOC_API_MONITOR_TELEGRAM,True
DIR_000026,DIG_01877,DIG_00263,VOIP_CALL,2027-06-09T17:32:36,SOC_API_MONITOR_INSTAGRAM,True
DIR_000027,DIG_03287,DIG_02194,TAG_MENTION,2025-03-27T03:06:28,SOC_API_MONITOR_INSTAGRAM,True
DIR_000028,DIG_04647,DIG_05882,TAG_MENTION,2025-12-16T11:50:00,SOC_API_MONITOR_SIGNAL,True
DIR_000029,DIG_05370,DIG_04090,GROUP_INVITE,2026-03-22T09:16:48,SOC_API_MONITOR_WHATSAPP,True
DIR_000030,DIG_01171,DIG_02170,TAG_MENTION,2025-04-22T13:22:27,SOC_API_MONITOR_SIGNAL,True
DIR_000031,DIG_04599,DIG_04416,GROUP_INVITE,2025-10-12T15:40:50,SOC_API_MONITOR_WHATSAPP,True
DIR_000032,DIG_04781,DIG_03272,TAG_MENTION,2026-02-08T04:07:51,SOC_API_MONITOR_SIGNAL,True
DIR_000033,DIG_01134,DIG_04175,DIRECT_MESSAGE,2026-06-12T01:57:18,SOC_API_MONITOR_X (TWITTER),True
DIR_000034,DIG_00386,DIG_00899,TAG_MENTION,2025-04-28T12:39:42,SOC_API_MONITOR_X (TWITTER),True
DIR_000035,DIG_05575,DIG_03459,DIRECT_MESSAGE,2026-10-03T02:23:37,SOC_API_MONITOR_SIGNAL,True
DIR_000036,DIG_03153,DIG_03127,GROUP_INVITE,2026-10-03T02:23:37,SOC_API_MONITOR_INSTAGRAM,True
DIR_000037,DIG_04335,DIG_02060,DIRECT_MESSAGE,2027-12-24T03:17:26,SOC_API_MONITOR_INSTAGRAM,True
DIR_000038,DIG_05573,DIG_05905,VOIP_CALL,2025-04-13T05:36:58,SOC_API_MONITOR_X (TWITTER),True
DIR_000039,DIG_05251,DIG_02787,VOIP_CALL,2025-04-12T19:52:47,SOC_API_MONITOR_INSTAGRAM,True
DIR_000040,DIG_03562,DIG_01296,DIRECT_MESSAGE,2026-05-06T14:29:58,SOC_API_MONITOR_X (TWITTER),True
DIR_000041,DIG_05916,DIG_05896,TAG_MENTION,2025-10-12T15:40:50,SOC_API_MONITOR_WHATSAPP,True
DIR_000042,DIG_04159,DIG_00872,VOIP_CALL,2027-08-28T16:01:51,SOC_API_MONITOR_SIGNAL,True
DIR_000043,DIG_05235,DIG_04159,TAG_MENTION,2026-10-22T04:32:14,SOC_API_MONITOR_SIGNAL,True
DIR_000044,DIG_01253,DIG_03064,TAG_MENTION,2027-04-19T08:14:03,SOC_API_MONITOR_TELEGRAM,True
DIR_000045,DIG_04419,DIG_04345,DIRECT_MESSAGE,2027-11-03T17:41:39,SOC_API_MONITOR_SIGNAL,True
DIR_000046,DIG_04907,DIG_02656,DIRECT_MESSAGE,2026-06-08T05:22:22,SOC_API_MONITOR_WHATSAPP,True
DIR_000047,DIG_00917,DIG_02974,VOIP_CALL,2027-09-07T09:05:06,SOC_API_MONITOR_WHATSAPP,True
DIR_000048,DIG_01962,DIG_00475,DIRECT_MESSAGE,2025-09-06T00:30:46,SOC_API_MONITOR_X (TWITTER),True
DIR_000049,DIG_00702,DIG_05996,DIRECT_MESSAGE,2026-06-04T16:27:25,SOC_API_MONITOR_X (TWITTER),True
DIR_000050,DIG_04364,DIG_01031,GROUP_INVITE,2025-04-18T03:23:18,SOC_API_MONITOR_INSTAGRAM,True
DIR_000051,DIG_04504,DIG_01353,GROUP_INVITE,2025-10-13T15:15:21,SOC_API_MONITOR_WHATSAPP,True
DIR_000052,DIG_01736,DIG_04418,TAG_MENTION,2027-04-12T01:38:50,SOC_API_MONITOR_SIGNAL,True
DIR_000053,DIG_05841,DIG_02554,VOIP_CALL,2026-03-25T03:05:01,SOC_API_MONITOR_TELEGRAM,True
DIR_000054,DIG_03589,DIG_04240,DIRECT_MESSAGE,2026-05-04T13:12:56,SOC_API_MONITOR_SIGNAL,True
DIR_000055,DIG_02031,DIG_01841,VOIP_CALL,2025-03-23T22:50:13,SOC_API_MONITOR_SIGNAL,True
DIR_000056,DIG_00173,DIG_04820,TAG_MENTION,2026-08-22T13:47:54,SOC_API_MONITOR_TELEGRAM,True
DIR_000057,DIG_04821,DIG_01805,DIRECT_MESSAGE,2025-01-14T17:50:51,SOC_API_MONITOR_SIGNAL,True
DIR_000058,DIG_05799,DIG_05170,TAG_MENTION,2025-03-21T06:13:51,SOC_API_MONITOR_INSTAGRAM,True
DIR_000059,DIG_00553,DIG_00258,VOIP_CALL,2027-08-12T10:22:33,SOC_API_MONITOR_INSTAGRAM,True
DIR_000060,DIG_00581,DIG_04212,VOIP_CALL,2025-09-03T17:07:24,SOC_API_MONITOR_X (TWITTER),True
DIR_000061,DIG_05481,DIG_03977,TAG_MENTION,2025-07-04T12:44:50,SOC_API_MONITOR_SIGNAL,True
DIR_000062,DIG_05926,DIG_04678,GROUP_INVITE,2026-09-12T18:28:17,SOC_API_MONITOR_TELEGRAM,True
DIR_000063,DIG_01991,DIG_03875,GROUP_INVITE,2027-06-16T10:37:34,SOC_API_MONITOR_INSTAGRAM,True
DIR_000064,DIG_01560,DIG_00773,GROUP_INVITE,2025-04-08T14:28:09,SOC_API_MONITOR_TELEGRAM,True
DIR_000065,DIG_02903,DIG_03470,GROUP_INVITE,2026-04-06T17:16:56,SOC_API_MONITOR_SIGNAL,True
DIR_000066,DIG_05973,DIG_00444,DIRECT_MESSAGE,2027-01-06T02:41:21,SOC_API_MONITOR_X (TWITTER),True
DIR_000067,DIG_00497,DIG_03299,VOIP_CALL,2027-03-14T21:14:44,SOC_API_MONITOR_WHATSAPP,True
DIR_000068,DIG_00896,DIG_02037,TAG_MENTION,2025-06-13T02:08:05,SOC_API_MONITOR_SIGNAL,True
DIR_000069,DIG_04394,DIG_03676,GROUP_INVITE,2025-04-22T15:22:13,SOC_API_MONITOR_WHATSAPP,True
DIR_000070,DIG_01504,DIG_02282,TAG_MENTION,2026-05-17T12:30:56,SOC_API_MONITOR_SIGNAL,True
DIR_000071,DIG_00618,DIG_03631,DIRECT_MESSAGE,2027-06-17T05:34:16,SOC_API_MONITOR_X (TWITTER),True
DIR_000072,DIG_00415,DIG_05343,DIRECT_MESSAGE,2026-08-05T14:08:30,SOC_API_MONITOR_TELEGRAM,True
DIR_000073,DIG_00765,DIG_01937,GROUP_INVITE,2025-05-12T07:37:40,SOC_API_MONITOR_WHATSAPP,True
DIR_000074,DIG_03979,DIG_03944,GROUP_INVITE,2025-07-04T09:44:18,SOC_API_MONITOR_SIGNAL,True
DIR_000075,DIG_00481,DIG_01349,DIRECT_MESSAGE,2026-03-04T11:22:46,SOC_API_MONITOR_INSTAGRAM,True
DIR_000076,DIG_03199,DIG_02173,GROUP_INVITE,2027-11-10T23:02:35,SOC_API_MONITOR_WHATSAPP,True
DIR_000077,DIG_02337,DIG_03466,GROUP_INVITE,2027-02-07T05:48:05,SOC_API_MONITOR_SIGNAL,True
DIR_000078,DIG_01269,DIG_01556,TAG_MENTION,2025-11-20T15:30:51,SOC_API_MONITOR_WHATSAPP,True
DIR_000079,DIG_00480,DIG_04745,DIRECT_MESSAGE,2027-03-23T14:30:05,SOC_API_MONITOR_X (TWITTER),True
DIR_000080,DIG_02570,DIG_00469,GROUP_INVITE,2025-03-08T09:37:55,SOC_API_MONITOR_WHATSAPP,True
DIR_000081,DIG_04120,DIG_04351,DIRECT_MESSAGE,2025-05-03T22:11:27,SOC_API_MONITOR_SIGNAL,True
DIR_000082,DIG_04161,DIG_00657,TAG_MENTION,2027-08-01T10:51:50,SOC_API_MONITOR_X (TWITTER),True
DIR_000083,DIG_00562,DIG_04875,TAG_MENTION,2025-03-28T03:17:15,SOC_API_MONITOR_WHATSAPP,True
DIR_000084,DIG_03308,DIG_00983,TAG_MENTION,2027-11-21T17:51:43,SOC_API_MONITOR_X (TWITTER),True
DIR_000085,DIG_04743,DIG_04871,DIRECT_MESSAGE,2025-02-22T15:15:50,SOC_API_MONITOR_TELEGRAM,True
DIR_000086,DIG_03435,DIG_05386,VOIP_CALL,2026-09-18T01:21:28,SOC_API_MONITOR_SIGNAL,True
DIR_000087,DIG_02137,DIG_01674,VOIP_CALL,2027-01-04T16:09:13,SOC_API_MONITOR_TELEGRAM,True
DIR_000088,DIG_01956,DIG_02176,TAG_MENTION,2026-03-22T09:16:48,SOC_API_MONITOR_TELEGRAM,True
DIR_000089,DIG_05503,DIG_05288,GROUP_INVITE,2025-11-23T19:26:50,SOC_API_MONITOR_TELEGRAM,True
DIR_000090,DIG_02591,DIG_00595,GROUP_INVITE,2025-01-18T01:53:46,SOC_API_MONITOR_TELEGRAM,True
DIR_000091,DIG_05089,DIG_04613,DIRECT_MESSAGE,2025-04-09T01:53:59,SOC_API_MONITOR_X (TWITTER),True
DIR_000092,DIG_04405,DIG_01747,VOIP_CALL,2026-06-21T12:17:25,SOC_API_MONITOR_SIGNAL,True
DIR_000093,DIG_01086,DIG_02860,DIRECT_MESSAGE,2027-09-10T21:25:39,SOC_API_MONITOR_X (TWITTER),True
DIR_000094,DIG_02002,DIG_03028,TAG_MENTION,2025-10-31T15:20:55,SOC_API_MONITOR_X (TWITTER),True
DIR_000095,DIG_03590,DIG_04451,VOIP_CALL,2027-02-15T19:04:50,SOC_API_MONITOR_TELEGRAM,True
DIR_000096,DIG_05011,DIG_05358,DIRECT_MESSAGE,2026-07-27T02:42:22,SOC_API_MONITOR_INSTAGRAM,True
DIR_000097,DIG_05472,DIG_04544,DIRECT_MESSAGE,2025-11-23T17:25:39,SOC_API_MONITOR_WHATSAPP,True
DIR_000098,DIG_01101,DIG_02167,DIRECT_MESSAGE,2025-04-13T06:41:41,SOC_API_MONITOR_WHATSAPP,True
DIR_000099,DIG_04533,DIG_01274,VOIP_CALL,2025-10-21T19:46:51,SOC_API_MONITOR_SIGNAL,True
DIR_000100,DIG_04955,DIG_01726,VOIP_CALL,2027-02-27T21:22:11,SOC_API_MONITOR_X (TWITTER),True
DIR_000101,DIG_01668,DIG_05632,VOIP_CALL,2026-11-25T23:43:46,SOC_API_MONITOR_INSTAGRAM,True
DIR_000102,DIG_04141,DIG_04003,DIRECT_MESSAGE,2025-09-27T17:47:24,SOC_API_MONITOR_TELEGRAM,True
DIR_000103,DIG_00757,DIG_05197,VOIP_CALL,2026-04-15T11:04:17,SOC_API_MONITOR_SIGNAL,True
DIR_000104,DIG_00362,DIG_00030,TAG_MENTION,2026-01-05T17:16:03,SOC_API_MONITOR_SIGNAL,True
DIR_000105,DIG_05220,DIG_02146,GROUP_INVITE,2025-05-09T10:57:49,SOC_API_MONITOR_INSTAGRAM,True
DIR_000106,DIG_04520,DIG_05781,DIRECT_MESSAGE,2026-04-20T13:36:11,SOC_API_MONITOR_INSTAGRAM,True
DIR_000107,DIG_00917,DIG_00617,TAG_MENTION,2027-11-26T17:04:34,SOC_API_MONITOR_WHATSAPP,True
DIR_000108,DIG_04470,DIG_00296,VOIP_CALL,2027-07-12T04:10:58,SOC_API_MONITOR_TELEGRAM,True
DIR_000109,DIG_04772,DIG_04527,GROUP_INVITE,2025-04-25T08:33:04,SOC_API_MONITOR_TELEGRAM,True
DIR_000110,DIG_01045,DIG_00343,VOIP_CALL,2025-12-05T07:50:21,SOC_API_MONITOR_WHATSAPP,True
DIR_000111,DIG_00327,DIG_02932,TAG_MENTION,2025-07-02T19:20:04,SOC_API_MONITOR_WHATSAPP,True
DIR_000112,DIG_05464,DIG_00843,GROUP_INVITE,2026-01-29T18:50:39,SOC_API_MONITOR_X (TWITTER),True
DIR_000113,DIG_05085,DIG_01267,TAG_MENTION,2027-11-10T17:56:09,SOC_API_MONITOR_X (TWITTER),True
DIR_000114,DIG_01332,DIG_01451,GROUP_INVITE,2027-09-10T21:25:39,SOC_API_MONITOR_INSTAGRAM,True
DIR_000115,DIG_00204,DIG_01470,VOIP_CALL,2027-03-25T02:03:18,SOC_API_MONITOR_INSTAGRAM,True
DIR_000116,DIG_03373,DIG_05488,TAG_MENTION,2027-08-20T08:46:06,SOC_API_MONITOR_WHATSAPP,True
DIR_000117,DIG_02186,DIG_01305,DIRECT_MESSAGE,2027-05-23T02:51:19,SOC_API_MONITOR_WHATSAPP,True
DIR_000118,DIG_03134,DIG_00318,GROUP_INVITE,2027-08-11T11:17:22,SOC_API_MONITOR_INSTAGRAM,True
DIR_000119,DIG_01823,DIG_01635,GROUP_INVITE,2027-06-25T19:23:42,SOC_API_MONITOR_SIGNAL,True
DIR_000120,DIG_02865,DIG_02501,TAG_MENTION,2027-06-29T12:43:40,SOC_API_MONITOR_X (TWITTER),True
DIR_000121,DIG_01827,DIG_00194,TAG_MENTION,2026-12-25T10:27:29,SOC_API_MONITOR_WHATSAPP,True
DIR_000122,DIG_03265,DIG_02690,DIRECT_MESSAGE,2025-10-27T02:56:06,SOC_API_MONITOR_INSTAGRAM,True
DIR_000123,DIG_02287,DIG_02877,GROUP_INVITE,2026-12-03T05:09:55,SOC_API_MONITOR_X (TWITTER),True
DIR_000124,DIG_05567,DIG_04393,DIRECT_MESSAGE,2026-01-01T12:48:25,SOC_API_MONITOR_SIGNAL,True
DIR_000125,DIG_00945,DIG_02140,VOIP_CALL,2025-05-27T22:44:45,SOC_API_MONITOR_INSTAGRAM,True
DIR_000126,DIG_00314,DIG_00889,GROUP_INVITE,2026-10-03T02:23:37,SOC_API_MONITOR_TELEGRAM,True
DIR_000127,DIG_02832,DIG_05969,VOIP_CALL,2027-05-23T02:40:34,SOC_API_MONITOR_SIGNAL,True
DIR_000128,DIG_03575,DIG_04967,DIRECT_MESSAGE,2026-06-30T16:08:58,SOC_API_MONITOR_WHATSAPP,True
DIR_000129,DIG_03156,DIG_04724,VOIP_CALL,2025-06-11T07:24:45,SOC_API_MONITOR_SIGNAL,True
DIR_000130,DIG_00364,DIG_05807,DIRECT_MESSAGE,2026-04-23T13:10:19,SOC_API_MONITOR_INSTAGRAM,True
DIR_000131,DIG_04260,DIG_04411,TAG_MENTION,2027-01-21T10:44:31,SOC_API_MONITOR_SIGNAL,True
DIR_000132,DIG_02984,DIG_03534,VOIP_CALL,2025-03-28T08:33:48,SOC_API_MONITOR_WHATSAPP,True
DIR_000133,DIG_05105,DIG_02572,DIRECT_MESSAGE,2026-12-28T23:39:42,SOC_API_MONITOR_INSTAGRAM,True
DIR_000134,DIG_05897,DIG_02461,VOIP_CALL,2026-06-21T19:51:49,SOC_API_MONITOR_X (TWITTER),True
DIR_000135,DIG_05464,DIG_03346,GROUP_INVITE,2025-12-27T23:42:12,SOC_API_MONITOR_X (TWITTER),True
DIR_000136,DIG_05712,DIG_02423,TAG_MENTION,2026-08-22T13:47:54,SOC_API_MONITOR_SIGNAL,True
DIR_000137,DIG_01572,DIG_03445,GROUP_INVITE,2026-12-29T06:20:10,SOC_API_MONITOR_WHATSAPP,True
DIR_000138,DIG_05549,DIG_01426,VOIP_CALL,2026-10-30T00:34:10,SOC_API_MONITOR_INSTAGRAM,True
DIR_000139,DIG_03327,DIG_04489,DIRECT_MESSAGE,2027-07-11T14:59:15,SOC_API_MONITOR_TELEGRAM,True
DIR_000140,DIG_02490,DIG_02351,GROUP_INVITE,2025-07-02T19:20:04,SOC_API_MONITOR_WHATSAPP,True
DIR_000141,DIG_04752,DIG_04970,VOIP_CALL,2026-12-20T12:12:13,SOC_API_MONITOR_X (TWITTER),True
DIR_000142,DIG_03810,DIG_03620,TAG_MENTION,2026-04-26T12:30:15,SOC_API_MONITOR_TELEGRAM,True
DIR_000143,DIG_04188,DIG_03877,TAG_MENTION,2027-05-28T20:25:26,SOC_API_MONITOR_TELEGRAM,True
DIR_000144,DIG_05398,DIG_00695,VOIP_CALL,2025-10-31T10:59:56,SOC_API_MONITOR_SIGNAL,True
DIR_000145,DIG_00766,DIG_01925,VOIP_CALL,2027-01-05T17:04:47,SOC_API_MONITOR_WHATSAPP,True
DIR_000146,DIG_01841,DIG_01632,DIRECT_MESSAGE,2025-04-25T05:00:18,SOC_API_MONITOR_INSTAGRAM,True
DIR_000147,DIG_00379,DIG_02006,DIRECT_MESSAGE,2026-05-28T12:07:22,SOC_API_MONITOR_SIGNAL,True
DIR_000148,DIG_03731,DIG_03396,TAG_MENTION,2027-09-15T10:28:20,SOC_API_MONITOR_INSTAGRAM,True
DIR_000149,DIG_05885,DIG_05705,GROUP_INVITE,2026-03-09T02:13:09,SOC_API_MONITOR_INSTAGRAM,True
DIR_000150,DIG_03274,DIG_01999,DIRECT_MESSAGE,2025-04-25T08:33:04,SOC_API_MONITOR_WHATSAPP,True
DIR_000151,DIG_00874,DIG_03483,TAG_MENTION,2025-07-08T20:39:24,SOC_API_MONITOR_WHATSAPP,True
DIR_000152,DIG_05701,DIG_04244,DIRECT_MESSAGE,2026-05-18T04:43:29,SOC_API_MONITOR_WHATSAPP,True
DIR_000153,DIG_04567,DIG_02042,DIRECT_MESSAGE,2027-11-02T17:26:21,SOC_API_MONITOR_TELEGRAM,True
DIR_000154,DIG_03740,DIG_01093,GROUP_INVITE,2027-06-03T08:36:22,SOC_API_MONITOR_SIGNAL,True
DIR_000155,DIG_05469,DIG_04352,VOIP_CALL,2026-08-24T22:10:07,SOC_API_MONITOR_SIGNAL,True
DIR_000156,DIG_03626,DIG_05019,GROUP_INVITE,2027-06-24T20:58:31,SOC_API_MONITOR_TELEGRAM,True
DIR_000157,DIG_04489,DIG_03653,TAG_MENTION,2027-10-05T09:37:44,SOC_API_MONITOR_X (TWITTER),True
DIR_000158,DIG_03889,DIG_03687,TAG_MENTION,2025-10-08T10:29:22,SOC_API_MONITOR_TELEGRAM,True
DIR_000159,DIG_05224,DIG_02272,GROUP_INVITE,2027-04-24T23:30:56,SOC_API_MONITOR_WHATSAPP,True
DIR_000160,DIG_05135,DIG_01960,GROUP_INVITE,2025-10-23T20:14:05,SOC_API_MONITOR_TELEGRAM,True
DIR_000161,DIG_00635,DIG_05846,TAG_MENTION,2025-10-31T15:26:55,SOC_API_MONITOR_WHATSAPP,True
DIR_000162,DIG_02226,DIG_02752,DIRECT_MESSAGE,2025-12-20T13:49:52,SOC_API_MONITOR_SIGNAL,True
DIR_000163,DIG_01134,DIG_01236,GROUP_INVITE,2025-08-05T03:43:54,SOC_API_MONITOR_X (TWITTER),True
DIR_000164,DIG_05685,DIG_01252,TAG_MENTION,2027-02-17T07:32:56,SOC_API_MONITOR_INSTAGRAM,True
DIR_000165,DIG_00527,DIG_03399,VOIP_CALL,2026-04-04T23:34:56,SOC_API_MONITOR_WHATSAPP,True
DIR_000166,DIG_04446,DIG_03817,DIRECT_MESSAGE,2026-04-09T12:00:04,SOC_API_MONITOR_TELEGRAM,True
DIR_000167,DIG_01695,DIG_03442,DIRECT_MESSAGE,2026-03-14T07:25:24,SOC_API_MONITOR_SIGNAL,True
DIR_000168,DIG_04717,DIG_03117,DIRECT_MESSAGE,2026-05-30T19:44:18,SOC_API_MONITOR_WHATSAPP,True
DIR_000169,DIG_02882,DIG_02447,GROUP_INVITE,2027-04-10T11:56:47,SOC_API_MONITOR_TELEGRAM,True
DIR_000170,DIG_03433,DIG_04410,TAG_MENTION,2027-04-06T11:19:28,SOC_API_MONITOR_TELEGRAM,True
DIR_000171,DIG_04000,DIG_01798,GROUP_INVITE,2025-10-21T21:18:44,SOC_API_MONITOR_WHATSAPP,True
DIR_000172,DIG_03979,DIG_00238,VOIP_CALL,2026-03-14T07:25:24,SOC_API_MONITOR_SIGNAL,True
DIR_000173,DIG_05480,DIG_05564,GROUP_INVITE,2027-06-01T02:57:26,SOC_API_MONITOR_WHATSAPP,True
DIR_000174,DIG_05933,DIG_01353,GROUP_INVITE,2027-07-20T04:24:26,SOC_API_MONITOR_TELEGRAM,True
DIR_000175,DIG_01046,DIG_05098,DIRECT_MESSAGE,2026-07-30T20:26:59,SOC_API_MONITOR_X (TWITTER),True
DIR_000176,DIG_03228,DIG_04849,DIRECT_MESSAGE,2026-08-31T15:09:52,SOC_API_MONITOR_TELEGRAM,True
DIR_000177,DIG_00688,DIG_05266,TAG_MENTION,2026-04-20T15:39:47,SOC_API_MONITOR_WHATSAPP,True
DIR_000178,DIG_03783,DIG_01489,VOIP_CALL,2025-03-08T09:37:55,SOC_API_MONITOR_WHATSAPP,True
DIR_000179,DIG_03106,DIG_02682,GROUP_INVITE,2025-07-03T03:40:24,SOC_API_MONITOR_WHATSAPP,True
DIR_000180,DIG_02678,DIG_02765,GROUP_INVITE,2027-04-19T05:00:47,SOC_API_MONITOR_X (TWITTER),True
DIR_000181,DIG_02280,DIG_03454,DIRECT_MESSAGE,2025-09-28T08:56:17,SOC_API_MONITOR_X (TWITTER),True
DIR_000182,DIG_03853,DIG_00159,DIRECT_MESSAGE,2027-04-08T06:24:13,SOC_API_MONITOR_X (TWITTER),True
DIR_000183,DIG_02867,DIG_01837,DIRECT_MESSAGE,2026-12-16T05:38:09,SOC_API_MONITOR_TELEGRAM,True
DIR_000184,DIG_05340,DIG_00330,DIRECT_MESSAGE,2027-04-11T07:23:44,SOC_API_MONITOR_INSTAGRAM,True
DIR_000185,DIG_02026,DIG_01634,DIRECT_MESSAGE,2027-07-19T15:37:47,SOC_API_MONITOR_TELEGRAM,True
DIR_000186,DIG_05090,DIG_01249,TAG_MENTION,2025-09-05T02:18:12,SOC_API_MONITOR_TELEGRAM,True
DIR_000187,DIG_03880,DIG_05485,TAG_MENTION,2025-04-13T05:36:58,SOC_API_MONITOR_X (TWITTER),True
DIR_000188,DIG_03810,DIG_05731,VOIP_CALL,2025-10-02T07:15:44,SOC_API_MONITOR_TELEGRAM,True
DIR_000189,DIG_01375,DIG_04964,DIRECT_MESSAGE,2026-10-20T03:36:46,SOC_API_MONITOR_SIGNAL,True
DIR_000190,DIG_01342,DIG_02549,DIRECT_MESSAGE,2025-04-11T17:11:58,SOC_API_MONITOR_SIGNAL,True
DIR_000191,DIG_02556,DIG_04717,GROUP_INVITE,2027-01-09T19:46:16,SOC_API_MONITOR_WHATSAPP,True
DIR_000192,DIG_03250,DIG_05858,DIRECT_MESSAGE,2025-06-18T06:33:03,SOC_API_MONITOR_TELEGRAM,True
DIR_000193,DIG_04851,DIG_05658,TAG_MENTION,2027-07-09T18:58:47,SOC_API_MONITOR_WHATSAPP,True
DIR_000194,DIG_00835,DIG_05712,VOIP_CALL,2027-05-08T04:35:05,SOC_API_MONITOR_X (TWITTER),True
DIR_000195,DIG_05606,DIG_04919,DIRECT_MESSAGE,2027-06-09T17:32:36,SOC_API_MONITOR_X (TWITTER),True
DIR_000196,DIG_04637,DIG_00337,GROUP_INVITE,2026-01-22T19:38:07,SOC_API_MONITOR_WHATSAPP,True
DIR_000197,DIG_05420,DIG_03036,VOIP_CALL,2025-03-28T03:40:56,SOC_API_MONITOR_SIGNAL,True
DIR_000198,DIG_00104,DIG_03442,GROUP_INVITE,2027-06-30T21:01:58,SOC_API_MONITOR_WHATSAPP,True
DIR_000199,DIG_00865,DIG_03552,VOIP_CALL,2027-12-15T19:49:21,SOC_API_MONITOR_INSTAGRAM,True
DIR_000200,DIG_05207,DIG_03767,TAG_MENTION,2027-02-18T07:54:04,SOC_API_MONITOR_SIGNAL,True
DIR_000201,DIG_03568,DIG_01443,VOIP_CALL,2027-03-21T03:46:27,SOC_API_MONITOR_SIGNAL,True
DIR_000202,DIG_05046,DIG_04409,GROUP_INVITE,2027-05-09T22:12:43,SOC_API_MONITOR_WHATSAPP,True
DIR_000203,DIG_03809,DIG_03569,VOIP_CALL,2027-07-03T19:30:06,SOC_API_MONITOR_WHATSAPP,True
DIR_000204,DIG_02641,DIG_02012,DIRECT_MESSAGE,2027-07-09T18:58:47,SOC_API_MONITOR_TELEGRAM,True
DIR_000205,DIG_02285,DIG_03693,GROUP_INVITE,2025-09-12T05:38:52,SOC_API_MONITOR_TELEGRAM,True
DIR_000206,DIG_04669,DIG_05000,GROUP_INVITE,2027-01-04T04:41:04,SOC_API_MONITOR_SIGNAL,True
DIR_000207,DIG_02756,DIG_00236,VOIP_CALL,2026-06-12T02:12:03,SOC_API_MONITOR_INSTAGRAM,True
DIR_000208,DIG_01490,DIG_03995,VOIP_CALL,2025-07-04T01:44:18,SOC_API_MONITOR_INSTAGRAM,True
DIR_000209,DIG_02117,DIG_02789,VOIP_CALL,2025-10-27T17:12:05,SOC_API_MONITOR_TELEGRAM,True
