event_id,event_type,timestamp,location_id,participants_json,attributes_json,synthetic_demo_record
EVT_0011,CrimeOccurrence,2025-01-18T04:29:59,LOC_0053,"['P_03055', 'P_03186']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0012,CrimeOccurrence,2025-01-18T05:45:01,LOC_0030,"['P_01532', 'P_01995', 'P_01885', 'P_01731']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0013,CrimeOccurrence,2025-01-18T20:05:05,LOC_0090,"['P_02768', 'P_02748', 'P_02651', 'P_02568', 'P_02516']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0014,CrimeOccurrence,2025-01-18T21:15:50,LOC_0081,"['P_02117', 'P_02485']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0015,CrimeOccurrence,2025-01-20T20:29:52,LOC_0099,"['P_01079', 'P_01159', 'P_01300', 'P_01235', 'P_01325']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0016,CrimeOccurrence,2025-01-21T13:05:27,LOC_0036,"['P_01338', 'P_01218', 'P_01420']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0017,CrimeOccurrence,2025-01-23T22:58:39,LOC_0130,"['P_04163', 'P_00322', 'P_00132', 'P_00108', 'P_00079']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0018,CrimeOccurrence,2025-01-27T15:40:36,LOC_0008,"['P_03405', 'P_01570', 'P_03312', 'P_03243', 'P_03045']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0019,CrimeOccurrence,2025-01-27T23:57:55,LOC_0191,"['P_01842', 'P_01817', 'P_01536', 'P_01988']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0020,CrimeOccurrence,2025-01-28T05:16:04,LOC_0199,"['P_00855', 'P_00928']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0021,CrimeOccurrence,2025-01-28T17:07:01,LOC_0189,"['P_03616', 'P_03393', 'P_03687']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0022,CrimeOccurrence,2025-01-30T19:36:15,LOC_0222,"['P_00265', 'P_00164', 'P_00091', 'P_00212', 'P_00271']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0023,CrimeOccurrence,2025-01-30T23:57:03,LOC_0162,"['P_01720', 'P_01871', 'P_02063', 'P_01843']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0024,CrimeOccurrence,2025-01-31T14:19:03,LOC_0138,"['P_00437', 'P_00262', 'P_00481', 'P_00487']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0025,CrimeOccurrence,2025-02-01T09:00:11,LOC_0071,"['P_00824', 'P_00514', 'P_00781']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0026,CrimeOccurrence,2025-02-05T16:22:52,LOC_0058,"['P_01452', 'P_01207', 'P_01199', 'P_01390']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0027,CrimeOccurrence,2025-02-07T08:28:15,LOC_0204,"['P_03873', 'P_03703']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0028,CrimeOccurrence,2025-02-08T10:32:10,LOC_0084,"['P_02328', 'P_02339', 'P_04382', 'P_02347']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0029,CrimeOccurrence,2025-02-09T16:24:14,LOC_0056,"['P_02935', 'P_02914']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0030,CrimeOccurrence,2025-02-11T04:45:46,LOC_0148,"['P_02258', 'P_02231', 'P_02248', 'P_02406']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0031,CrimeOccurrence,2025-02-11T22:30:06,LOC_0161,"['P_00086', 'P_00397']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0032,CrimeOccurrence,2025-02-12T04:47:04,LOC_0177,"['P_01260', 'P_01476', 'P_01295', 'P_02281', 'P_00023']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0033,CrimeOccurrence,2025-02-12T08:38:53,LOC_0065,"['P_01275', 'P_01030', 'P_01303', 'P_01189']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0034,CrimeOccurrence,2025-02-12T10:27:07,LOC_0055,"['P_01919', 'P_01606', 'P_01513', 'P_00872', 'P_04810']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0035,CrimeOccurrence,2025-02-13T13:35:29,LOC_0179,"['P_00533', 'P_03646']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0036,CrimeOccurrence,2025-02-13T21:33:00,LOC_0188,"['P_01108', 'P_01083', 'P_01926', 'P_01069', 'P_01243']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0037,CrimeOccurrence,2025-02-13T21:49:14,LOC_0136,"['P_03960', 'P_01190', 'P_01056', 'P_01124', 'P_02385']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0038,CrimeOccurrence,2025-02-13T22:24:18,LOC_0236,"['P_02990', 'P_02615', 'P_02877']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0039,CrimeOccurrence,2025-02-21T20:59:58,LOC_0090,"['P_00824', 'P_00722', 'P_00936']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0040,CrimeOccurrence,2025-02-21T23:34:03,LOC_0142,"['P_02084', 'P_02317']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0041,CrimeOccurrence,2025-02-22T15:15:50,LOC_0038,"['P_00287', 'P_00987', 'P_02563', 'P_00220']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0042,CrimeOccurrence,2025-02-23T04:00:04,LOC_0153,"['P_03735', 'P_04428', 'P_04151', 'P_04183', 'P_04338']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0043,CrimeOccurrence,2025-02-24T17:13:13,LOC_0175,"['P_01275', 'P_01478', 'P_01082', 'P_01360', 'P_01492']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0044,CrimeOccurrence,2025-02-26T02:02:35,LOC_0068,"['P_00137', 'P_00042']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0045,CrimeOccurrence,2025-03-01T06:14:23,LOC_0180,"['P_04476', 'P_04021', 'P_04247', 'P_04063']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0046,CrimeOccurrence,2025-03-01T14:52:25,LOC_0149,"['P_02322', 'P_02247']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0047,CrimeOccurrence,2025-03-01T21:25:10,LOC_0179,"['P_04491', 'P_04412', 'P_04370', 'P_04168']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0048,CrimeOccurrence,2025-03-02T15:43:46,LOC_0190,"['P_00656', 'P_00951', 'P_00509', 'P_00780', 'P_00826']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0049,CrimeOccurrence,2025-03-03T01:08:37,LOC_0128,"['P_01125', 'P_01121']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0050,CrimeOccurrence,2025-03-03T11:43:39,LOC_0192,"['P_02402', 'P_02176', 'P_02172']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0051,CrimeOccurrence,2025-03-07T10:58:27,LOC_0161,"['P_02653', 'P_03143', 'P_02518', 'P_02953', 'P_02745']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0052,CrimeOccurrence,2025-03-08T09:37:55,LOC_0199,"['P_04155', 'P_04420', 'P_04189']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0053,CrimeOccurrence,2025-03-09T06:54:38,LOC_0236,"['P_00860', 'P_02295', 'P_00945']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0054,CrimeOccurrence,2025-03-10T22:53:17,LOC_0142,"['P_03133', 'P_03050', 'P_03138']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0055,CrimeOccurrence,2025-03-11T19:25:42,LOC_0107,"['P_03250', 'P_03436', 'P_03135']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0056,CrimeOccurrence,2025-03-15T16:27:13,LOC_0173,"['P_03055', 'P_03486']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0057,CrimeOccurrence,2025-03-17T16:23:48,LOC_0120,"['P_03285', 'P_03497']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0058,CrimeOccurrence,2025-03-18T18:24:15,LOC_0117,"['P_02728', 'P_02682']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0059,CrimeOccurrence,2025-03-19T04:05:07,LOC_0094,"['P_01721', 'P_01865', 'P_01756', 'P_01638', 'P_01988']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0060,CrimeOccurrence,2025-03-20T06:34:12,LOC_0007,"['P_01435', 'P_01234']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0061,CrimeOccurrence,2025-03-21T06:13:51,LOC_0027,"['P_00009', 'P_00239', 'P_00079', 'P_00322']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0062,CrimeOccurrence,2025-03-21T10:27:47,LOC_0230,"['P_01213', 'P_00460', 'P_01167', 'P_01032']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0063,CrimeOccurrence,2025-03-21T12:25:25,LOC_0184,"['P_03956', 'P_03756']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0064,CrimeOccurrence,2025-03-21T14:47:22,LOC_0067,"['P_03564', 'P_03600', 'P_03627']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0065,CrimeOccurrence,2025-03-22T10:45:50,LOC_0020,"['P_02533', 'P_02515', 'P_02687', 'P_02673']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0066,CrimeOccurrence,2025-03-23T22:50:13,LOC_0116,"['P_01274', 'P_01143']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0067,CrimeOccurrence,2025-03-24T12:21:13,LOC_0031,"['P_03995', 'P_03703', 'P_03654', 'P_03808']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0068,CrimeOccurrence,2025-03-27T03:06:28,LOC_0214,"['P_04943', 'P_04545']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0069,CrimeOccurrence,2025-03-28T01:32:24,LOC_0067,"['P_02915', 'P_02701', 'P_02826', 'P_02556', 'P_04557']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0070,CrimeOccurrence,2025-03-28T03:17:15,LOC_0081,"['P_04517', 'P_04893', 'P_04555']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0071,CrimeOccurrence,2025-03-28T03:40:56,LOC_0230,"['P_01821', 'P_01677', 'P_01808']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0072,CrimeOccurrence,2025-03-28T08:33:48,LOC_0051,"['P_04507', 'P_04993', 'P_01811', 'P_04771']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0073,CrimeOccurrence,2025-03-31T22:51:46,LOC_0119,"['P_00555', 'P_00754', 'P_03592', 'P_00553']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0074,CrimeOccurrence,2025-04-01T09:35:22,LOC_0091,"['P_03362', 'P_03103', 'P_03386', 'P_03236', 'P_00069']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0075,CrimeOccurrence,2025-04-01T11:13:25,LOC_0106,"['P_04841', 'P_00284', 'P_00335']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0076,CrimeOccurrence,2025-04-01T11:21:28,LOC_0064,"['P_02194', 'P_02282', 'P_02340', 'P_02430', 'P_02648']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0077,CrimeOccurrence,2025-04-01T14:24:24,LOC_0234,"['P_03452', 'P_03312', 'P_03465', 'P_03134']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0078,CrimeOccurrence,2025-04-01T20:54:03,LOC_0095,"['P_02613', 'P_02719', 'P_00105']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0079,CrimeOccurrence,2025-04-02T01:59:06,LOC_0064,"['P_04785', 'P_04586', 'P_04225']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0080,CrimeOccurrence,2025-04-02T05:39:52,LOC_0082,"['P_04717', 'P_04585', 'P_04731', 'P_04551', 'P_04858']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0081,CrimeOccurrence,2025-04-02T08:54:52,LOC_0139,"['P_00171', 'P_00230', 'P_01811', 'P_00232']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0082,CrimeOccurrence,2025-04-03T06:49:21,LOC_0123,"['P_04691', 'P_00075', 'P_04929']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0083,CrimeOccurrence,2025-04-03T14:35:21,LOC_0151,"['P_01046', 'P_00495', 'P_01454', 'P_01168']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0084,CrimeOccurrence,2025-04-03T17:04:22,LOC_0136,"['P_02734', 'P_02990']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0085,CrimeOccurrence,2025-04-04T13:04:12,LOC_0203,"['P_02118', 'P_02098', 'P_02455', 'P_02021']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0086,CrimeOccurrence,2025-04-04T13:34:03,LOC_0097,"['P_01428', 'P_03113', 'P_01176', 'P_01146']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0087,CrimeOccurrence,2025-04-04T19:05:32,LOC_0164,"['P_04779', 'P_04639', 'P_01194', 'P_04614', 'P_04693']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0088,CrimeOccurrence,2025-04-04T20:08:32,LOC_0211,"['P_02633', 'P_02842', 'P_02582', 'P_02812']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0089,CrimeOccurrence,2025-04-05T08:58:45,LOC_0054,"['P_03659', 'P_03698']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0090,CrimeOccurrence,2025-04-05T13:50:07,LOC_0113,"['P_00169', 'P_00011']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0091,CrimeOccurrence,2025-04-05T17:14:30,LOC_0213,"['P_01996', 'P_04198', 'P_04136', 'P_04200', 'P_04356']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0092,CrimeOccurrence,2025-04-06T10:08:29,LOC_0205,"['P_01848', 'P_01715', 'P_01543']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0093,CrimeOccurrence,2025-04-06T20:05:50,LOC_0044,"['P_00858', 'P_00691']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0094,CrimeOccurrence,2025-04-07T06:19:00,LOC_0181,"['P_00774', 'P_04273', 'P_00763', 'P_00819']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0095,CrimeOccurrence,2025-04-07T11:29:19,LOC_0085,"['P_01287', 'P_01084']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0096,CrimeOccurrence,2025-04-07T22:33:55,LOC_0025,"['P_04087', 'P_04021', 'P_04231', 'P_04203']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0097,CrimeOccurrence,2025-04-07T23:21:49,LOC_0001,"['P_01374', 'P_01259']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0098,CrimeOccurrence,2025-04-08T02:46:03,LOC_0044,"['P_04622', 'P_04917', 'P_04218', 'P_04575', 'P_01100']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0099,CrimeOccurrence,2025-04-08T04:18:45,LOC_0126,"['P_00947', 'P_00657', 'P_00991', 'P_00725']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0100,CrimeOccurrence,2025-04-08T14:28:09,LOC_0098,"['P_04115', 'P_03175', 'P_03214']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0101,CrimeOccurrence,2025-04-08T19:34:17,LOC_0039,"['P_02206', 'P_02113', 'P_02369']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0102,CrimeOccurrence,2025-04-08T23:29:22,LOC_0016,"['P_02859', 'P_02817', 'P_02855', 'P_04230', 'P_02624']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0103,CrimeOccurrence,2025-04-09T01:53:59,LOC_0025,"['P_04483', 'P_01668', 'P_04044', 'P_04312', 'P_04213']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0104,CrimeOccurrence,2025-04-09T13:19:03,LOC_0045,"['P_04507', 'P_04682', 'P_04841']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0105,CrimeOccurrence,2025-04-10T08:31:32,LOC_0021,"['P_01433', 'P_01034']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0106,CrimeOccurrence,2025-04-10T11:53:43,LOC_0110,"['P_01231', 'P_01487', 'P_02025', 'P_01212']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0107,CrimeOccurrence,2025-04-10T13:16:35,LOC_0051,"['P_04354', 'P_00006', 'P_04445', 'P_04399', 'P_04056']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0108,CrimeOccurrence,2025-04-10T22:01:16,LOC_0145,"['P_04505', 'P_04642']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0109,CrimeOccurrence,2025-04-10T22:22:14,LOC_0147,"['P_02917', 'P_02653', 'P_02817', 'P_02728', 'P_02835']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0110,CrimeOccurrence,2025-04-11T08:22:29,LOC_0177,"['P_01176', 'P_00861', 'P_02746', 'P_01192', 'P_01179']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0111,CrimeOccurrence,2025-04-11T17:11:58,LOC_0216,"['P_00166', 'P_00292', 'P_03941', 'P_00395']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0112,CrimeOccurrence,2025-04-11T17:14:54,LOC_0187,"['P_01480', 'P_01251', 'P_01303', 'P_01101']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0113,CrimeOccurrence,2025-04-12T08:39:46,LOC_0017,"['P_03606', 'P_03969', 'P_01414', 'P_03874']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0114,CrimeOccurrence,2025-04-12T15:54:32,LOC_0050,"['P_04707', 'P_04659']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0115,CrimeOccurrence,2025-04-12T19:52:47,LOC_0095,"['P_00072', 'P_00241', 'P_00185', 'P_00271', 'P_00279']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0116,CrimeOccurrence,2025-04-12T23:08:27,LOC_0096,"['P_01015', 'P_01151']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0117,CrimeOccurrence,2025-04-13T05:33:48,LOC_0192,"['P_04517', 'P_04527', 'P_04613', 'P_04649']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0118,CrimeOccurrence,2025-04-13T05:36:58,LOC_0200,"['P_03820', 'P_00407', 'P_00487']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0119,CrimeOccurrence,2025-04-13T06:41:41,LOC_0105,"['P_01640', 'P_01882', 'P_01845']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0120,CrimeOccurrence,2025-04-13T20:49:23,LOC_0065,"['P_01419', 'P_01144']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0121,CrimeOccurrence,2025-04-14T01:09:25,LOC_0056,"['P_02362', 'P_02304', 'P_02192', 'P_02335', 'P_02400']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0122,CrimeOccurrence,2025-04-14T10:04:25,LOC_0131,"['P_04789', 'P_00238']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0123,CrimeOccurrence,2025-04-14T12:35:09,LOC_0124,"['P_04650', 'P_04600', 'P_04982', 'P_04546']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0124,CrimeOccurrence,2025-04-14T12:53:58,LOC_0196,"['P_02117', 'P_02195', 'P_02356', 'P_02188']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0125,CrimeOccurrence,2025-04-14T13:48:15,LOC_0168,"['P_03122', 'P_04411', 'P_03311', 'P_01594']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0126,CrimeOccurrence,2025-04-14T17:37:51,LOC_0182,"['P_03251', 'P_03181']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0127,CrimeOccurrence,2025-04-15T13:30:29,LOC_0130,"['P_04045', 'P_01676', 'P_01862', 'P_04884', 'P_01822']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0128,CrimeOccurrence,2025-04-15T19:20:16,LOC_0190,"['P_01053', 'P_01484', 'P_01259', 'P_01035']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0129,CrimeOccurrence,2025-04-16T15:40:46,LOC_0091,"['P_02585', 'P_02750']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0130,CrimeOccurrence,2025-04-17T02:55:00,LOC_0218,"['P_03045', 'P_03485', 'P_03373', 'P_03224']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0131,CrimeOccurrence,2025-04-17T15:00:08,LOC_0161,"['P_04754', 'P_04946']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0132,CrimeOccurrence,2025-04-18T03:23:18,LOC_0036,"['P_04028', 'P_04205', 'P_04437', 'P_03948']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0133,CrimeOccurrence,2025-04-18T06:44:27,LOC_0086,"['P_01467', 'P_01025', 'P_01072', 'P_01174']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0134,CrimeOccurrence,2025-04-18T13:19:13,LOC_0133,"['P_01868', 'P_00159', 'P_00148', 'P_00151', 'P_00039']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0135,CrimeOccurrence,2025-04-18T14:18:38,LOC_0215,"['P_01456', 'P_01391', 'P_01370', 'P_02077', 'P_01061']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0136,CrimeOccurrence,2025-04-19T12:05:15,LOC_0052,"['P_01356', 'P_02952', 'P_02640']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0137,CrimeOccurrence,2025-04-20T01:48:42,LOC_0129,"['P_02896', 'P_02570', 'P_02557']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0138,CrimeOccurrence,2025-04-20T10:45:15,LOC_0112,"['P_02439', 'P_04077', 'P_02305', 'P_02431', 'P_02488']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0139,CrimeOccurrence,2025-04-20T21:21:57,LOC_0243,"['P_04131', 'P_04125', 'P_04017', 'P_04112']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0140,CrimeOccurrence,2025-04-21T19:40:55,LOC_0055,"['P_01872', 'P_01931', 'P_01570']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0141,CrimeOccurrence,2025-04-21T22:10:06,LOC_0198,"['P_01374', 'P_01009', 'P_01249', 'P_01028']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0142,CrimeOccurrence,2025-04-22T08:49:05,LOC_0177,"['P_00596', 'P_00886']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0143,CrimeOccurrence,2025-04-22T13:22:27,LOC_0078,"['P_03887', 'P_03635', 'P_00153']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0144,CrimeOccurrence,2025-04-22T15:22:13,LOC_0131,"['P_04574', 'P_04962', 'P_04697']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0145,CrimeOccurrence,2025-04-22T15:24:56,LOC_0200,"['P_04462', 'P_04246', 'P_04174']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0146,CrimeOccurrence,2025-04-22T21:15:03,LOC_0234,"['P_03469', 'P_01799', 'P_03081', 'P_03357']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0147,CrimeOccurrence,2025-04-22T22:44:11,LOC_0039,"['P_03036', 'P_00730']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0148,CrimeOccurrence,2025-04-23T04:09:56,LOC_0076,"['P_00678', 'P_00844', 'P_00830', 'P_00903']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0149,CrimeOccurrence,2025-04-24T14:47:51,LOC_0110,"['P_02429', 'P_02305', 'P_02494', 'P_03646']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0150,CrimeOccurrence,2025-04-24T17:05:37,LOC_0229,"['P_01225', 'P_01134', 'P_01251']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0151,CrimeOccurrence,2025-04-25T05:00:18,LOC_0103,"['P_02915', 'P_03053', 'P_00990', 'P_03154']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0152,CrimeOccurrence,2025-04-25T08:33:04,LOC_0189,"['P_03649', 'P_03978', 'P_04862', 'P_03918', 'P_03633']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0153,CrimeOccurrence,2025-04-25T09:28:36,LOC_0047,"['P_03260', 'P_03408', 'P_03409', 'P_03463', 'P_03298']",{'mo_family': 'VEHICLE_THEFT_RING'},True
