visit_id,entity_id,entity_type,location_id,event_time,source_id,confidence,synthetic_demo_record
VISIT_000079,P_04745,Person,LOC_0015,2027-03-23T14:30:05,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000080,P_02570,Person,LOC_0192,2025-03-19T04:05:07,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000081,P_04216,Person,LOC_0123,2027-11-05T22:07:15,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000082,P_00466,Person,LOC_0041,2027-12-15T19:49:21,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000083,P_01523,Person,LOC_0218,2025-03-28T03:40:56,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000084,P_01927,Person,LOC_0173,2026-04-01T02:53:04,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000085,P_04667,Person,LOC_0228,2025-09-18T00:25:04,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000086,P_00672,Person,LOC_0011,2026-04-10T13:54:12,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000087,P_04379,Person,LOC_0145,2025-12-19T05:08:57,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000088,P_02574,Person,LOC_0053,2025-09-05T02:18:12,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000089,P_02006,Person,LOC_0034,2026-05-09T13:25:51,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000090,P_00595,Person,LOC_0193,2025-01-18T01:53:46,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000091,P_00820,Person,LOC_0145,2025-04-01T11:21:28,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000092,P_02221,Person,LOC_0130,2025-04-19T12:05:15,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000093,P_00564,Person,LOC_0226,2027-09-07T13:23:33,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000094,P_01293,Person,LOC_0073,2026-04-24T12:50:10,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000095,P_02027,Person,LOC_0181,2026-10-25T23:51:58,SURVEILLANCE_OR_LBS_LOG,0.95,True
VISIT_000096,P_04430,Person,LOC_0207,2025-01-16T09:40:03,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000097,P_02001,Person,LOC_0142,2027-11-16T05:34:38,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000098,P_01101,Person,LOC_0241,2025-10-13T08:51:30,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000099,P_04533,Person,LOC_0028,2025-04-30T16:38:10,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000100,P_01726,Person,LOC_0155,2027-02-27T21:22:11,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000101,P_02211,Person,LOC_0176,2026-06-20T01:34:43,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000102,P_00417,Person,LOC_0232,2025-04-07T11:29:19,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000103,P_02315,Person,LOC_0213,2025-03-01T14:52:25,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000104,P_01072,Person,LOC_0198,2026-11-29T22:50:42,SURVEILLANCE_OR_LBS_LOG,0.95,True
VISIT_000105,P_03620,Person,LOC_0042,2026-08-19T14:10:07,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000106,P_00080,Person,LOC_0144,2025-04-12T19:52:47,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000107,P_01222,Person,LOC_0227,2026-08-11T13:52:05,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000108,P_04772,Person,LOC_0095,2026-08-21T11:57:34,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000109,P_00343,Person,LOC_0033,2025-12-05T07:50:21,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000110,P_00327,Person,LOC_0239,2027-10-09T01:11:28,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000111,P_02093,Person,LOC_0175,2026-12-30T07:12:08,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000112,P_04587,Person,LOC_0200,2027-09-13T12:20:38,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000113,P_01267,Person,LOC_0250,2027-11-10T17:56:09,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000114,P_01332,Person,LOC_0222,2027-12-31T02:08:18,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000115,P_03378,Person,LOC_0046,2025-02-05T16:22:52,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000116,P_02722,Person,LOC_0237,2027-05-18T17:36:12,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000117,P_02081,Person,LOC_0206,2025-10-16T16:02:13,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000118,P_00886,Person,LOC_0180,2026-03-07T15:17:49,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000119,P_03856,Person,LOC_0220,2025-07-13T04:45:54,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000120,P_03771,Person,LOC_0236,2026-01-26T05:49:29,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000121,P_01865,Person,LOC_0204,2025-07-16T00:57:25,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000122,P_03265,Person,LOC_0050,2025-12-29T20:04:20,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000123,P_02335,Person,LOC_0018,2026-01-26T14:21:57,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000124,P_04489,Person,LOC_0103,2026-01-01T12:48:25,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000125,P_02188,Person,LOC_0030,2025-05-27T22:44:45,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000126,P_00314,Person,LOC_0068,2025-04-11T17:14:54,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000127,P_02570,Person,LOC_0089,2026-04-23T13:10:19,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000128,P_00948,Person,LOC_0131,2026-03-10T21:35:43,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000129,P_02135,Person,LOC_0049,2025-03-01T14:52:25,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000130,P_04356,Person,LOC_0001,2027-11-10T17:56:09,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000131,P_01615,Person,LOC_0176,2026-02-09T02:31:39,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000132,P_02705,Person,LOC_0243,2026-11-10T16:02:59,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000133,P_01021,Person,LOC_0218,2027-03-02T01:49:32,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000134,P_02534,Person,LOC_0130,2026-12-30T07:12:08,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000135,P_02471,Person,LOC_0104,2026-08-22T13:47:54,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000136,P_03106,Person,LOC_0108,2027-01-09T19:46:16,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000137,P_04663,Person,LOC_0045,2025-11-24T20:51:28,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000138,P_00004,Person,LOC_0214,2025-11-30T00:33:29,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000139,P_04752,Person,LOC_0111,2026-10-20T03:36:46,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000140,P_03620,Person,LOC_0120,2026-04-26T12:30:15,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000141,P_03877,Person,LOC_0131,2027-05-28T20:25:26,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000142,P_01391,Person,LOC_0204,2026-12-24T19:40:04,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000143,P_02746,Person,LOC_0132,2025-04-07T22:33:55,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000144,P_01925,Person,LOC_0193,2027-01-05T17:04:47,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000145,P_01632,Person,LOC_0207,2025-04-25T05:00:18,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000146,P_03893,Person,LOC_0063,2026-10-24T18:22:42,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000147,P_03731,Person,LOC_0019,2026-04-09T07:50:55,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000148,P_01593,Person,LOC_0148,2027-02-28T23:59:23,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000149,P_03274,Person,LOC_0127,2025-09-12T05:38:52,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000150,P_00046,Person,LOC_0177,2027-09-26T01:27:09,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000151,P_00874,Person,LOC_0198,2027-05-12T08:46:44,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000152,P_04340,Person,LOC_0046,2026-05-18T04:43:29,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000153,P_00995,Person,LOC_0064,2026-05-09T12:19:35,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000154,P_04448,Person,LOC_0119,2026-08-24T22:10:07,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000155,P_03626,Person,LOC_0244,2026-10-26T11:48:43,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000156,P_04232,Person,LOC_0229,2026-04-18T12:27:49,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000157,P_03653,Person,LOC_0141,2027-10-05T09:37:44,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000158,P_03889,Person,LOC_0221,2026-05-02T02:42:24,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000159,P_02320,Person,LOC_0064,2027-04-24T23:30:56,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000160,P_01960,Person,LOC_0125,2025-10-23T20:14:05,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000161,P_02389,Person,LOC_0183,2025-09-01T10:17:52,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000162,P_04021,Person,LOC_0082,2025-04-03T14:35:21,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000163,P_03138,Person,LOC_0060,2027-02-01T07:57:48,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000164,P_00527,Person,LOC_0055,2026-04-09T07:50:55,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000165,P_03817,Person,LOC_0139,2026-04-09T12:00:04,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000166,P_03442,Person,LOC_0214,2026-03-14T07:25:24,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000167,P_00161,Person,LOC_0150,2027-08-09T06:30:05,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000168,P_03117,Person,LOC_0148,2026-05-30T19:44:18,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000169,P_02495,Person,LOC_0091,2027-04-10T11:56:47,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000170,P_03433,Person,LOC_0229,2026-08-04T12:11:54,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000171,P_04942,Person,LOC_0140,2027-10-08T12:35:53,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000172,P_02284,Person,LOC_0057,2026-04-23T13:10:19,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000173,P_02754,Person,LOC_0100,2027-01-04T04:41:04,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000174,P_01353,Person,LOC_0104,2027-07-20T04:24:26,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000175,P_04472,Person,LOC_0033,2025-02-08T10:32:10,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000176,P_04624,Person,LOC_0152,2026-12-28T01:46:20,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000177,P_03512,Person,LOC_0165,2025-04-20T21:21:57,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000178,P_00412,Person,LOC_0047,2025-10-10T02:52:38,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000179,P_03725,Person,LOC_0055,2025-12-27T23:42:12,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000180,P_03106,Person,LOC_0226,2025-10-27T00:36:20,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000181,P_03454,Person,LOC_0213,2025-09-28T08:56:17,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000182,P_00159,Person,LOC_0121,2027-04-08T06:24:13,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000183,P_02867,Person,LOC_0244,2025-07-21T09:14:49,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000184,P_00330,Person,LOC_0200,2027-04-11T07:23:44,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000185,P_01634,Person,LOC_0064,2027-07-19T15:37:47,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000186,P_01955,Person,LOC_0040,2025-04-17T02:55:00,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000187,P_04621,Person,LOC_0030,2027-11-28T16:33:20,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000188,P_02148,Person,LOC_0180,2027-05-04T00:56:19,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000189,P_04975,Person,LOC_0156,2027-12-16T18:06:51,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000190,P_01342,Person,LOC_0030,2027-12-16T23:00:02,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000191,P_00211,Person,LOC_0149,2027-11-12T16:09:48,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000192,P_03075,Person,LOC_0174,2026-03-24T05:37:33,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000193,P_00623,Person,LOC_0051,2026-09-25T06:22:42,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000194,P_01990,Person,LOC_0161,2025-04-10T08:31:32,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000195,P_04919,Person,LOC_0078,2027-06-09T17:32:36,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000196,P_00337,Person,LOC_0145,2026-01-22T19:38:07,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000197,P_03036,Person,LOC_0170,2025-03-28T03:40:56,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000198,P_00104,Person,LOC_0088,2027-07-27T00:02:30,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000199,P_00865,Person,LOC_0126,2026-04-22T09:32:42,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000200,P_03767,Person,LOC_0163,2027-02-18T07:54:04,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000201,P_04371,Person,LOC_0046,2027-12-17T08:02:52,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000202,P_04005,Person,LOC_0158,2027-05-09T22:12:43,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000203,P_04854,Person,LOC_0112,2025-10-19T19:06:05,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000204,P_00710,Person,LOC_0063,2025-10-27T02:56:06,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000205,P_03807,Person,LOC_0063,2026-09-02T22:33:03,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000206,P_02756,Person,LOC_0098,2025-02-11T04:45:46,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000207,P_01490,Person,LOC_0084,2026-06-08T05:13:38,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000208,P_02165,Person,LOC_0205,2026-01-13T16:42:41,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000209,P_02312,Person,LOC_0153,2026-08-22T23:25:19,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000210,P_01566,Person,LOC_0243,2025-04-04T20:08:32,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000211,P_04099,Person,LOC_0105,2026-08-22T17:25:01,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000212,P_03901,Person,LOC_0177,2026-12-10T18:46:01,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000213,P_00142,Person,LOC_0115,2025-04-07T22:33:55,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000214,P_01994,Person,LOC_0104,2025-12-03T19:42:11,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000215,P_03877,Person,LOC_0095,2026-08-21T13:03:32,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000216,P_04509,Person,LOC_0109,2025-12-31T23:29:59,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000217,P_02268,Person,LOC_0117,2025-12-03T19:42:11,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000218,P_01578,Person,LOC_0031,2025-12-19T05:08:57,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000219,P_01517,Person,LOC_0138,2025-06-13T02:08:05,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000220,P_02314,Person,LOC_0124,2027-03-07T13:41:48,SURVEILLANCE_OR_LBS_LOG,0.89,True
