evidence_link_id,evidence_id,target_type,target_id,support_type,contribution_weight,synthetic_demo_record
EVL_REL_000035,EVI_CDR_CDR_000035,Relationship,REL_000035,Direct_Observation,1.0,True
EVL_REL_000036,EVI_CDR_CDR_000036,Relationship,REL_000036,Direct_Observation,1.0,True
EVL_REL_000037,EVI_CDR_CDR_000037,Relationship,REL_000037,Direct_Observation,1.0,True
EVL_REL_000038,EVI_CDR_CDR_000038,Relationship,REL_000038,Direct_Observation,1.0,True
EVL_REL_000039,EVI_CDR_CDR_000039,Relationship,REL_000039,Direct_Observation,1.0,True
EVL_REL_000040,EVI_CDR_CDR_000040,Relationship,REL_000040,Direct_Observation,1.0,True
EVL_REL_000041,EVI_CDR_CDR_000041,Relationship,REL_000041,Direct_Observation,1.0,True
EVL_REL_000042,EVI_CDR_CDR_000042,Relationship,REL_000042,Direct_Observation,1.0,True
EVL_REL_000043,EVI_CDR_CDR_000043,Relationship,REL_000043,Direct_Observation,1.0,True
EVL_REL_000044,EVI_CDR_CDR_000044,Relationship,REL_000044,Direct_Observation,1.0,True
EVL_REL_000045,EVI_CDR_CDR_000045,Relationship,REL_000045,Direct_Observation,1.0,True
EVL_REL_000046,EVI_CDR_CDR_000046,Relationship,REL_000046,Direct_Observation,1.0,True
EVL_REL_000047,EVI_CDR_CDR_000047,Relationship,REL_000047,Direct_Observation,1.0,True
EVL_REL_000048,EVI_CDR_CDR_000048,Relationship,REL_000048,Direct_Observation,1.0,True
EVL_REL_000049,EVI_CDR_CDR_000049,Relationship,REL_000049,Direct_Observation,1.0,True
EVL_REL_000050,EVI_CDR_CDR_000050,Relationship,REL_000050,Direct_Observation,1.0,True
EVL_REL_000051,EVI_CDR_CDR_000051,Relationship,REL_000051,Direct_Observation,1.0,True
EVL_REL_000052,EVI_CDR_CDR_000052,Relationship,REL_000052,Direct_Observation,1.0,True
EVL_REL_000053,EVI_CDR_CDR_000053,Relationship,REL_000053,Direct_Observation,1.0,True
EVL_REL_000054,EVI_CDR_CDR_000054,Relationship,REL_000054,Direct_Observation,1.0,True
EVL_REL_000055,EVI_CDR_CDR_000055,Relationship,REL_000055,Direct_Observation,1.0,True
EVL_REL_000056,EVI_CDR_CDR_000056,Relationship,REL_000056,Direct_Observation,1.0,True
EVL_REL_000057,EVI_CDR_CDR_000057,Relationship,REL_000057,Direct_Observation,1.0,True
EVL_REL_000058,EVI_CDR_CDR_000058,Relationship,REL_000058,Direct_Observation,1.0,True
EVL_REL_000059,EVI_CDR_CDR_000059,Relationship,REL_000059,Direct_Observation,1.0,True
EVL_REL_000060,EVI_CDR_CDR_000060,Relationship,REL_000060,Direct_Observation,1.0,True
EVL_REL_000061,EVI_CDR_CDR_000061,Relationship,REL_000061,Direct_Observation,1.0,True
EVL_REL_000062,EVI_CDR_CDR_000062,Relationship,REL_000062,Direct_Observation,1.0,True
EVL_REL_000063,EVI_CDR_CDR_000063,Relationship,REL_000063,Direct_Observation,1.0,True
EVL_REL_000064,EVI_CDR_CDR_000064,Relationship,REL_000064,Direct_Observation,1.0,True
EVL_REL_000065,EVI_CDR_CDR_000065,Relationship,REL_000065,Direct_Observation,1.0,True
EVL_REL_000066,EVI_CDR_CDR_000066,Relationship,REL_000066,Direct_Observation,1.0,True
EVL_REL_000067,EVI_CDR_CDR_000067,Relationship,REL_000067,Direct_Observation,1.0,True
EVL_REL_000068,EVI_CDR_CDR_000068,Relationship,REL_000068,Direct_Observation,1.0,True
EVL_REL_000069,EVI_CDR_CDR_000069,Relationship,REL_000069,Direct_Observation,1.0,True
EVL_REL_000070,EVI_CDR_CDR_000070,Relationship,REL_000070,Direct_Observation,1.0,True
EVL_REL_000071,EVI_CDR_CDR_000071,Relationship,REL_000071,Direct_Observation,1.0,True
EVL_REL_000072,EVI_CDR_CDR_000072,Relationship,REL_000072,Direct_Observation,1.0,True
EVL_REL_000073,EVI_CDR_CDR_000073,Relationship,REL_000073,Direct_Observation,1.0,True
EVL_REL_000074,EVI_CDR_CDR_000074,Relationship,REL_000074,Direct_Observation,1.0,True
EVL_REL_000075,EVI_CDR_CDR_000075,Relationship,REL_000075,Direct_Observation,1.0,True
EVL_REL_000076,EVI_CDR_CDR_000076,Relationship,REL_000076,Direct_Observation,1.0,True
EVL_REL_000077,EVI_CDR_CDR_000077,Relationship,REL_000077,Direct_Observation,1.0,True
EVL_REL_000078,EVI_CDR_CDR_000078,Relationship,REL_000078,Direct_Observation,1.0,True
EVL_REL_000079,EVI_CDR_CDR_000079,Relationship,REL_000079,Direct_Observation,1.0,True
EVL_REL_000080,EVI_CDR_CDR_000080,Relationship,REL_000080,Direct_Observation,1.0,True
EVL_REL_000081,EVI_CDR_CDR_000081,Relationship,REL_000081,Direct_Observation,1.0,True
EVL_REL_000082,EVI_CDR_CDR_000082,Relationship,REL_000082,Direct_Observation,1.0,True
EVL_REL_000083,EVI_CDR_CDR_000083,Relationship,REL_000083,Direct_Observation,1.0,True
EVL_REL_000084,EVI_CDR_CDR_000084,Relationship,REL_000084,Direct_Observation,1.0,True
EVL_REL_000085,EVI_CDR_CDR_000085,Relationship,REL_000085,Direct_Observation,1.0,True
EVL_REL_000086,EVI_CDR_CDR_000086,Relationship,REL_000086,Direct_Observation,1.0,True
EVL_REL_000087,EVI_CDR_CDR_000087,Relationship,REL_000087,Direct_Observation,1.0,True
EVL_REL_000088,EVI_CDR_CDR_000088,Relationship,REL_000088,Direct_Observation,1.0,True
EVL_REL_000089,EVI_CDR_CDR_000089,Relationship,REL_000089,Direct_Observation,1.0,True
EVL_REL_000090,EVI_CDR_CDR_000090,Relationship,REL_000090,Direct_Observation,1.0,True
EVL_REL_000091,EVI_CDR_CDR_000091,Relationship,REL_000091,Direct_Observation,1.0,True
EVL_REL_000092,EVI_CDR_CDR_000092,Relationship,REL_000092,Direct_Observation,1.0,True
EVL_REL_000093,EVI_CDR_CDR_000093,Relationship,REL_000093,Direct_Observation,1.0,True
EVL_REL_000094,EVI_CDR_CDR_000094,Relationship,REL_000094,Direct_Observation,1.0,True
EVL_REL_000095,EVI_CDR_CDR_000095,Relationship,REL_000095,Direct_Observation,1.0,True
EVL_REL_000096,EVI_CDR_CDR_000096,Relationship,REL_000096,Direct_Observation,1.0,True
EVL_REL_000097,EVI_CDR_CDR_000097,Relationship,REL_000097,Direct_Observation,1.0,True
EVL_REL_000098,EVI_CDR_CDR_000098,Relationship,REL_000098,Direct_Observation,1.0,True
EVL_REL_000099,EVI_CDR_CDR_000099,Relationship,REL_000099,Direct_Observation,1.0,True
EVL_REL_000100,EVI_CDR_CDR_000100,Relationship,REL_000100,Direct_Observation,1.0,True
EVL_REL_000101,EVI_CDR_CDR_000101,Relationship,REL_000101,Direct_Observation,1.0,True
EVL_REL_000102,EVI_CDR_CDR_000102,Relationship,REL_000102,Direct_Observation,1.0,True
EVL_REL_000103,EVI_CDR_CDR_000103,Relationship,REL_000103,Direct_Observation,1.0,True
EVL_REL_000104,EVI_CDR_CDR_000104,Relationship,REL_000104,Direct_Observation,1.0,True
EVL_REL_000105,EVI_CDR_CDR_000105,Relationship,REL_000105,Direct_Observation,1.0,True
EVL_REL_000106,EVI_CDR_CDR_000106,Relationship,REL_000106,Direct_Observation,1.0,True
EVL_REL_000107,EVI_CDR_CDR_000107,Relationship,REL_000107,Direct_Observation,1.0,True
EVL_REL_000108,EVI_CDR_CDR_000108,Relationship,REL_000108,Direct_Observation,1.0,True
EVL_REL_000109,EVI_CDR_CDR_000109,Relationship,REL_000109,Direct_Observation,1.0,True
EVL_REL_000110,EVI_CDR_CDR_000110,Relationship,REL_000110,Direct_Observation,1.0,True
EVL_REL_000111,EVI_CDR_CDR_000111,Relationship,REL_000111,Direct_Observation,1.0,True
EVL_REL_000112,EVI_CDR_CDR_000112,Relationship,REL_000112,Direct_Observation,1.0,True
EVL_REL_000113,EVI_CDR_CDR_000113,Relationship,REL_000113,Direct_Observation,1.0,True
EVL_REL_000114,EVI_CDR_CDR_000114,Relationship,REL_000114,Direct_Observation,1.0,True
EVL_REL_000115,EVI_CDR_CDR_000115,Relationship,REL_000115,Direct_Observation,1.0,True
EVL_REL_000116,EVI_CDR_CDR_000116,Relationship,REL_000116,Direct_Observation,1.0,True
EVL_REL_000117,EVI_CDR_CDR_000117,Relationship,REL_000117,Direct_Observation,1.0,True
EVL_REL_000118,EVI_CDR_CDR_000118,Relationship,REL_000118,Direct_Observation,1.0,True
EVL_REL_000119,EVI_CDR_CDR_000119,Relationship,REL_000119,Direct_Observation,1.0,True
EVL_REL_000120,EVI_CDR_CDR_000120,Relationship,REL_000120,Direct_Observation,1.0,True
EVL_REL_000121,EVI_CDR_CDR_000121,Relationship,REL_000121,Direct_Observation,1.0,True
EVL_REL_000122,EVI_CDR_CDR_000122,Relationship,REL_000122,Direct_Observation,1.0,True
EVL_REL_000123,EVI_CDR_CDR_000123,Relationship,REL_000123,Direct_Observation,1.0,True
EVL_REL_000124,EVI_CDR_CDR_000124,Relationship,REL_000124,Direct_Observation,1.0,True
EVL_REL_000125,EVI_CDR_CDR_000125,Relationship,REL_000125,Direct_Observation,1.0,True
EVL_REL_000126,EVI_CDR_CDR_000126,Relationship,REL_000126,Direct_Observation,1.0,True
EVL_REL_000127,EVI_CDR_CDR_000127,Relationship,REL_000127,Direct_Observation,1.0,True
EVL_REL_000128,EVI_CDR_CDR_000128,Relationship,REL_000128,Direct_Observation,1.0,True
EVL_REL_000129,EVI_CDR_CDR_000129,Relationship,REL_000129,Direct_Observation,1.0,True
EVL_REL_000130,EVI_CDR_CDR_000130,Relationship,REL_000130,Direct_Observation,1.0,True
EVL_REL_000131,EVI_CDR_CDR_000131,Relationship,REL_000131,Direct_Observation,1.0,True
EVL_REL_000132,EVI_CDR_CDR_000132,Relationship,REL_000132,Direct_Observation,1.0,True
EVL_REL_000133,EVI_CDR_CDR_000133,Relationship,REL_000133,Direct_Observation,1.0,True
EVL_REL_000134,EVI_CDR_CDR_000134,Relationship,REL_000134,Direct_Observation,1.0,True
EVL_REL_000135,EVI_CDR_CDR_000135,Relationship,REL_000135,Direct_Observation,1.0,True
EVL_REL_000136,EVI_CDR_CDR_000136,Relationship,REL_000136,Direct_Observation,1.0,True
EVL_REL_000137,EVI_CDR_CDR_000137,Relationship,REL_000137,Direct_Observation,1.0,True
EVL_REL_000138,EVI_CDR_CDR_000138,Relationship,REL_000138,Direct_Observation,1.0,True
EVL_REL_000139,EVI_CDR_CDR_000139,Relationship,REL_000139,Direct_Observation,1.0,True
EVL_REL_000140,EVI_CDR_CDR_000140,Relationship,REL_000140,Direct_Observation,1.0,True
EVL_REL_000141,EVI_CDR_CDR_000141,Relationship,REL_000141,Direct_Observation,1.0,True
EVL_REL_000142,EVI_CDR_CDR_000142,Relationship,REL_000142,Direct_Observation,1.0,True
EVL_REL_000143,EVI_CDR_CDR_000143,Relationship,REL_000143,Direct_Observation,1.0,True
EVL_REL_000144,EVI_CDR_CDR_000144,Relationship,REL_000144,Direct_Observation,1.0,True
EVL_REL_000145,EVI_CDR_CDR_000145,Relationship,REL_000145,Direct_Observation,1.0,True
EVL_REL_000146,EVI_CDR_CDR_000146,Relationship,REL_000146,Direct_Observation,1.0,True
EVL_REL_000147,EVI_CDR_CDR_000147,Relationship,REL_000147,Direct_Observation,1.0,True
EVL_REL_000148,EVI_CDR_CDR_000148,Relationship,REL_000148,Direct_Observation,1.0,True
EVL_REL_000149,EVI_CDR_CDR_000149,Relationship,REL_000149,Direct_Observation,1.0,True
EVL_REL_000150,EVI_CDR_CDR_000150,Relationship,REL_000150,Direct_Observation,1.0,True
EVL_REL_000151,EVI_CDR_CDR_000151,Relationship,REL_000151,Direct_Observation,1.0,True
EVL_REL_000152,EVI_CDR_CDR_000152,Relationship,REL_000152,Direct_Observation,1.0,True
EVL_REL_000153,EVI_CDR_CDR_000153,Relationship,REL_000153,Direct_Observation,1.0,True
EVL_REL_000154,EVI_CDR_CDR_000154,Relationship,REL_000154,Direct_Observation,1.0,True
EVL_REL_000155,EVI_CDR_CDR_000155,Relationship,REL_000155,Direct_Observation,1.0,True
EVL_REL_000156,EVI_CDR_CDR_000156,Relationship,REL_000156,Direct_Observation,1.0,True
EVL_REL_000157,EVI_CDR_CDR_000157,Relationship,REL_000157,Direct_Observation,1.0,True
EVL_REL_000158,EVI_CDR_CDR_000158,Relationship,REL_000158,Direct_Observation,1.0,True
EVL_REL_000159,EVI_CDR_CDR_000159,Relationship,REL_000159,Direct_Observation,1.0,True
EVL_REL_000160,EVI_CDR_CDR_000160,Relationship,REL_000160,Direct_Observation,1.0,True
EVL_REL_000161,EVI_CDR_CDR_000161,Relationship,REL_000161,Direct_Observation,1.0,True
EVL_REL_000162,EVI_CDR_CDR_000162,Relationship,REL_000162,Direct_Observation,1.0,True
EVL_REL_000163,EVI_CDR_CDR_000163,Relationship,REL_000163,Direct_Observation,1.0,True
EVL_REL_000164,EVI_CDR_CDR_000164,Relationship,REL_000164,Direct_Observation,1.0,True
EVL_REL_000165,EVI_CDR_CDR_000165,Relationship,REL_000165,Direct_Observation,1.0,True
EVL_REL_000166,EVI_CDR_CDR_000166,Relationship,REL_000166,Direct_Observation,1.0,True
EVL_REL_000167,EVI_CDR_CDR_000167,Relationship,REL_000167,Direct_Observation,1.0,True
EVL_REL_000168,EVI_CDR_CDR_000168,Relationship,REL_000168,Direct_Observation,1.0,True
EVL_REL_000169,EVI_CDR_CDR_000169,Relationship,REL_000169,Direct_Observation,1.0,True
EVL_REL_000170,EVI_CDR_CDR_000170,Relationship,REL_000170,Direct_Observation,1.0,True
EVL_REL_000171,EVI_CDR_CDR_000171,Relationship,REL_000171,Direct_Observation,1.0,True
EVL_REL_000172,EVI_CDR_CDR_000172,Relationship,REL_000172,Direct_Observation,1.0,True
EVL_REL_000173,EVI_CDR_CDR_000173,Relationship,REL_000173,Direct_Observation,1.0,True
EVL_REL_000174,EVI_CDR_CDR_000174,Relationship,REL_000174,Direct_Observation,1.0,True
EVL_REL_000175,EVI_CDR_CDR_000175,Relationship,REL_000175,Direct_Observation,1.0,True
EVL_REL_000176,EVI_CDR_CDR_000176,Relationship,REL_000176,Direct_Observation,1.0,True
EVL_REL_000177,EVI_CDR_CDR_000177,Relationship,REL_000177,Direct_Observation,1.0,True
EVL_REL_000178,EVI_CDR_CDR_000178,Relationship,REL_000178,Direct_Observation,1.0,True
EVL_REL_000179,EVI_CDR_CDR_000179,Relationship,REL_000179,Direct_Observation,1.0,True
EVL_REL_000180,EVI_CDR_CDR_000180,Relationship,REL_000180,Direct_Observation,1.0,True
EVL_REL_000181,EVI_CDR_CDR_000181,Relationship,REL_000181,Direct_Observation,1.0,True
EVL_REL_000182,EVI_CDR_CDR_000182,Relationship,REL_000182,Direct_Observation,1.0,True
EVL_REL_000183,EVI_CDR_CDR_000183,Relationship,REL_000183,Direct_Observation,1.0,True
EVL_REL_000184,EVI_CDR_CDR_000184,Relationship,REL_000184,Direct_Observation,1.0,True
EVL_REL_000185,EVI_CDR_CDR_000185,Relationship,REL_000185,Direct_Observation,1.0,True
EVL_REL_000186,EVI_CDR_CDR_000186,Relationship,REL_000186,Direct_Observation,1.0,True
EVL_REL_000187,EVI_CDR_CDR_000187,Relationship,REL_000187,Direct_Observation,1.0,True
EVL_REL_000188,EVI_CDR_CDR_000188,Relationship,REL_000188,Direct_Observation,1.0,True
EVL_REL_000189,EVI_CDR_CDR_000189,Relationship,REL_000189,Direct_Observation,1.0,True
EVL_REL_000190,EVI_CDR_CDR_000190,Relationship,REL_000190,Direct_Observation,1.0,True
EVL_REL_000191,EVI_CDR_CDR_000191,Relationship,REL_000191,Direct_Observation,1.0,True
EVL_REL_000192,EVI_CDR_CDR_000192,Relationship,REL_000192,Direct_Observation,1.0,True
EVL_REL_000193,EVI_CDR_CDR_000193,Relationship,REL_000193,Direct_Observation,1.0,True
EVL_REL_000194,EVI_CDR_CDR_000194,Relationship,REL_000194,Direct_Observation,1.0,True
EVL_REL_000195,EVI_CDR_CDR_000195,Relationship,REL_000195,Direct_Observation,1.0,True
EVL_REL_000196,EVI_CDR_CDR_000196,Relationship,REL_000196,Direct_Observation,1.0,True
EVL_REL_000197,EVI_CDR_CDR_000197,Relationship,REL_000197,Direct_Observation,1.0,True
EVL_REL_000198,EVI_CDR_CDR_000198,Relationship,REL_000198,Direct_Observation,1.0,True
EVL_REL_000199,EVI_CDR_CDR_000199,Relationship,REL_000199,Direct_Observation,1.0,True
EVL_REL_000200,EVI_CDR_CDR_000200,Relationship,REL_000200,Direct_Observation,1.0,True
EVL_REL_000201,EVI_CDR_CDR_000201,Relationship,REL_000201,Direct_Observation,1.0,True
EVL_REL_000202,EVI_CDR_CDR_000202,Relationship,REL_000202,Direct_Observation,1.0,True
EVL_REL_000203,EVI_CDR_CDR_000203,Relationship,REL_000203,Direct_Observation,1.0,True
EVL_REL_000204,EVI_CDR_CDR_000204,Relationship,REL_000204,Direct_Observation,1.0,True
EVL_REL_000205,EVI_CDR_CDR_000205,Relationship,REL_000205,Direct_Observation,1.0,True
EVL_REL_000206,EVI_CDR_CDR_000206,Relationship,REL_000206,Direct_Observation,1.0,True
EVL_REL_000207,EVI_CDR_CDR_000207,Relationship,REL_000207,Direct_Observation,1.0,True
EVL_REL_000208,EVI_CDR_CDR_000208,Relationship,REL_000208,Direct_Observation,1.0,True
EVL_REL_000209,EVI_CDR_CDR_000209,Relationship,REL_000209,Direct_Observation,1.0,True
EVL_REL_000210,EVI_CDR_CDR_000210,Relationship,REL_000210,Direct_Observation,1.0,True
EVL_REL_000211,EVI_CDR_CDR_000211,Relationship,REL_000211,Direct_Observation,1.0,True
EVL_REL_000212,EVI_CDR_CDR_000212,Relationship,REL_000212,Direct_Observation,1.0,True
EVL_REL_000213,EVI_CDR_CDR_000213,Relationship,REL_000213,Direct_Observation,1.0,True
EVL_REL_000214,EVI_CDR_CDR_000214,Relationship,REL_000214,Direct_Observation,1.0,True
EVL_REL_000215,EVI_CDR_CDR_000215,Relationship,REL_000215,Direct_Observation,1.0,True
EVL_REL_000216,EVI_CDR_CDR_000216,Relationship,REL_000216,Direct_Observation,1.0,True
EVL_REL_000217,EVI_CDR_CDR_000217,Relationship,REL_000217,Direct_Observation,1.0,True
EVL_REL_000218,EVI_CDR_CDR_000218,Relationship,REL_000218,Direct_Observation,1.0,True
EVL_REL_000219,EVI_CDR_CDR_000219,Relationship,REL_000219,Direct_Observation,1.0,True
EVL_REL_000220,EVI_CDR_CDR_000220,Relationship,REL_000220,Direct_Observation,1.0,True
EVL_REL_000221,EVI_CDR_CDR_000221,Relationship,REL_000221,Direct_Observation,1.0,True
EVL_REL_000222,EVI_CDR_CDR_000222,Relationship,REL_000222,Direct_Observation,1.0,True
EVL_REL_000223,EVI_CDR_CDR_000223,Relationship,REL_000223,Direct_Observation,1.0,True
EVL_REL_000224,EVI_CDR_CDR_000224,Relationship,REL_000224,Direct_Observation,1.0,True
EVL_REL_000225,EVI_CDR_CDR_000225,Relationship,REL_000225,Direct_Observation,1.0,True
EVL_REL_000226,EVI_CDR_CDR_000226,Relationship,REL_000226,Direct_Observation,1.0,True
EVL_REL_000227,EVI_CDR_CDR_000227,Relationship,REL_000227,Direct_Observation,1.0,True
EVL_REL_000228,EVI_CDR_CDR_000228,Relationship,REL_000228,Direct_Observation,1.0,True
EVL_REL_000229,EVI_CDR_CDR_000229,Relationship,REL_000229,Direct_Observation,1.0,True
EVL_REL_000230,EVI_CDR_CDR_000230,Relationship,REL_000230,Direct_Observation,1.0,True
EVL_REL_000231,EVI_CDR_CDR_000231,Relationship,REL_000231,Direct_Observation,1.0,True
EVL_REL_000232,EVI_CDR_CDR_000232,Relationship,REL_000232,Direct_Observation,1.0,True
EVL_REL_000233,EVI_CDR_CDR_000233,Relationship,REL_000233,Direct_Observation,1.0,True
EVL_REL_000234,EVI_CDR_CDR_000234,Relationship,REL_000234,Direct_Observation,1.0,True
EVL_REL_000235,EVI_CDR_CDR_000235,Relationship,REL_000235,Direct_Observation,1.0,True
EVL_REL_000236,EVI_CDR_CDR_000236,Relationship,REL_000236,Direct_Observation,1.0,True
EVL_REL_000237,EVI_CDR_CDR_000237,Relationship,REL_000237,Direct_Observation,1.0,True
EVL_REL_000238,EVI_CDR_CDR_000238,Relationship,REL_000238,Direct_Observation,1.0,True
EVL_REL_000239,EVI_CDR_CDR_000239,Relationship,REL_000239,Direct_Observation,1.0,True
EVL_REL_000240,EVI_CDR_CDR_000240,Relationship,REL_000240,Direct_Observation,1.0,True
EVL_REL_000241,EVI_CDR_CDR_000241,Relationship,REL_000241,Direct_Observation,1.0,True
EVL_REL_000242,EVI_CDR_CDR_000242,Relationship,REL_000242,Direct_Observation,1.0,True
EVL_REL_000243,EVI_CDR_CDR_000243,Relationship,REL_000243,Direct_Observation,1.0,True
EVL_REL_000244,EVI_CDR_CDR_000244,Relationship,REL_000244,Direct_Observation,1.0,True
EVL_REL_000245,EVI_CDR_CDR_000245,Relationship,REL_000245,Direct_Observation,1.0,True
EVL_REL_000246,EVI_CDR_CDR_000246,Relationship,REL_000246,Direct_Observation,1.0,True
EVL_REL_000247,EVI_CDR_CDR_000247,Relationship,REL_000247,Direct_Observation,1.0,True
EVL_REL_000248,EVI_CDR_CDR_000248,Relationship,REL_000248,Direct_Observation,1.0,True
EVL_REL_000249,EVI_CDR_CDR_000249,Relationship,REL_000249,Direct_Observation,1.0,True
EVL_REL_000250,EVI_CDR_CDR_000250,Relationship,REL_000250,Direct_Observation,1.0,True
EVL_REL_000251,EVI_CDR_CDR_000251,Relationship,REL_000251,Direct_Observation,1.0,True
EVL_REL_000252,EVI_CDR_CDR_000252,Relationship,REL_000252,Direct_Observation,1.0,True
EVL_REL_000253,EVI_CDR_CDR_000253,Relationship,REL_000253,Direct_Observation,1.0,True
EVL_REL_000254,EVI_CDR_CDR_000254,Relationship,REL_000254,Direct_Observation,1.0,True
EVL_REL_000255,EVI_CDR_CDR_000255,Relationship,REL_000255,Direct_Observation,1.0,True
EVL_REL_000256,EVI_CDR_CDR_000256,Relationship,REL_000256,Direct_Observation,1.0,True
EVL_REL_000257,EVI_CDR_CDR_000257,Relationship,REL_000257,Direct_Observation,1.0,True
EVL_REL_000258,EVI_CDR_CDR_000258,Relationship,REL_000258,Direct_Observation,1.0,True
EVL_REL_000259,EVI_CDR_CDR_000259,Relationship,REL_000259,Direct_Observation,1.0,True
EVL_REL_000260,EVI_CDR_CDR_000260,Relationship,REL_000260,Direct_Observation,1.0,True
EVL_REL_000261,EVI_CDR_CDR_000261,Relationship,REL_000261,Direct_Observation,1.0,True
EVL_REL_000262,EVI_CDR_CDR_000262,Relationship,REL_000262,Direct_Observation,1.0,True
EVL_REL_000263,EVI_CDR_CDR_000263,Relationship,REL_000263,Direct_Observation,1.0,True
EVL_REL_000264,EVI_CDR_CDR_000264,Relationship,REL_000264,Direct_Observation,1.0,True
EVL_REL_000265,EVI_CDR_CDR_000265,Relationship,REL_000265,Direct_Observation,1.0,True
EVL_REL_000266,EVI_CDR_CDR_000266,Relationship,REL_000266,Direct_Observation,1.0,True
EVL_REL_000267,EVI_CDR_CDR_000267,Relationship,REL_000267,Direct_Observation,1.0,True
EVL_REL_000268,EVI_CDR_CDR_000268,Relationship,REL_000268,Direct_Observation,1.0,True
EVL_REL_000269,EVI_CDR_CDR_000269,Relationship,REL_000269,Direct_Observation,1.0,True
EVL_REL_000270,EVI_CDR_CDR_000270,Relationship,REL_000270,Direct_Observation,1.0,True
EVL_REL_000271,EVI_CDR_CDR_000271,Relationship,REL_000271,Direct_Observation,1.0,True
EVL_REL_000272,EVI_CDR_CDR_000272,Relationship,REL_000272,Direct_Observation,1.0,True
EVL_REL_000273,EVI_CDR_CDR_000273,Relationship,REL_000273,Direct_Observation,1.0,True
EVL_REL_000274,EVI_CDR_CDR_000274,Relationship,REL_000274,Direct_Observation,1.0,True
EVL_REL_000275,EVI_CDR_CDR_000275,Relationship,REL_000275,Direct_Observation,1.0,True
EVL_REL_000276,EVI_CDR_CDR_000276,Relationship,REL_000276,Direct_Observation,1.0,True
EVL_REL_000277,EVI_CDR_CDR_000277,Relationship,REL_000277,Direct_Observation,1.0,True
EVL_REL_000278,EVI_CDR_CDR_000278,Relationship,REL_000278,Direct_Observation,1.0,True
