vehicle_id,registration_hash,type,make_model,owner_person_id,synthetic_demo_record
VEH_0049,d2616d5f2bbbbdd0,Four-Wheeler,Royal Enfield Classic 350,P_03270,True
VEH_0050,6ec76ad12276d1ef,Two-Wheeler,Royal Enfield Classic 350,P_02642,True
VEH_0051,7214c804928a2dbd,Four-Wheeler,Honda City,P_02047,True
VEH_0052,bf40a36293802571,Cargo Truck,Tata Nexon,P_03080,True
VEH_0053,5f0da56ecd573acc,Cargo Truck,Bajaj Pulsar,P_02930,True
VEH_0054,ba523f5caf30a979,Four-Wheeler,TVS Jupiter,P_00227,True
VEH_0055,6f9c7c70164bda5b,Commercial Auto,Mahindra Scorpio,P_04755,True
VEH_0056,d47abec74bd9273b,Two-Wheeler,Maruti Suzuki Swift,P_03217,True
VEH_0057,1542a0df7889ad0b,Four-Wheeler,TVS Jupiter,P_00446,True
VEH_0058,db75dd7e4ef4aaca,Four-Wheeler,Toyota Innova,P_04869,True
VEH_0059,01c0de52e8a3e28a,Four-Wheeler,Hyundai Creta,P_04790,True
VEH_0060,6b8991724bbc66f3,Two-Wheeler,Tata Nexon,P_01832,True
VEH_0061,6fd9404a650a79d4,Four-Wheeler,TVS Jupiter,P_01645,True
VEH_0062,f0e4349f448f2d39,Two-Wheeler,Bajaj Pulsar,P_00794,True
VEH_0063,660e44242de8a264,Four-Wheeler,TVS Jupiter,P_03201,True
VEH_0064,f02b01a3f583c789,Commercial Auto,Mahindra Scorpio,P_04075,True
VEH_0065,817107442886a5e0,Four-Wheeler,Royal Enfield Classic 350,P_01199,True
VEH_0066,9896e87360e7aeb6,Two-Wheeler,Tata Nexon,P_04287,True
VEH_0067,0bacb1ee9ae1c3b9,Commercial Auto,TVS Jupiter,P_03010,True
VEH_0068,1ce474126c8a856b,Two-Wheeler,Royal Enfield Classic 350,P_03481,True
VEH_0069,b83ca656663a6c7c,Commercial Auto,Maruti Suzuki Swift,P_04756,True
VEH_0070,31754cf63fb91cbc,Two-Wheeler,Maruti Suzuki Swift,P_02906,True
VEH_0071,34725970999f2cab,Two-Wheeler,Tata Nexon,P_02931,True
VEH_0072,3f4ac564d6a937f5,Two-Wheeler,Hyundai Creta,P_01430,True
VEH_0073,e071cae723d970d9,Commercial Auto,Tata Nexon,P_02329,True
VEH_0074,94b2053005cfa132,Two-Wheeler,Royal Enfield Classic 350,P_03865,True
VEH_0075,3f5dce6b097021b0,Commercial Auto,Honda City,P_01061,True
VEH_0076,609b9b854aa7c87b,Four-Wheeler,Hyundai Creta,P_00369,True
VEH_0077,fc433e07bcba68ef,Two-Wheeler,TVS Jupiter,P_02652,True
VEH_0078,0fab966550436eef,Four-Wheeler,Royal Enfield Classic 350,P_00528,True
VEH_0079,4360d27a7f30eef5,Four-Wheeler,TVS Jupiter,P_03067,True
VEH_0080,d6b4dc38ea82b412,Two-Wheeler,Tata Nexon,P_04701,True
VEH_0081,dafaf85ab76476c6,Two-Wheeler,Mahindra Scorpio,P_01649,True
VEH_0082,df2778f48c242093,Four-Wheeler,Hyundai Creta,P_04769,True
VEH_0083,5bd250c18f52f5ef,Four-Wheeler,Toyota Innova,P_03343,True
VEH_0084,fa5a63e945bdc805,Two-Wheeler,TVS Jupiter,P_01558,True
VEH_0085,38750742b6c00b48,Four-Wheeler,Bajaj Pulsar,P_01130,True
VEH_0086,7417c7211dcce73e,Commercial Auto,Hyundai Creta,P_01042,True
VEH_0087,2dd65120a67f31de,Four-Wheeler,Bajaj Pulsar,P_02711,True
VEH_0088,ee9e94d6d6178fe4,Four-Wheeler,Royal Enfield Classic 350,P_02932,True
VEH_0089,7e7f57bcf3559a69,Commercial Auto,Mahindra Scorpio,P_04338,True
VEH_0090,2b9d61e63baf8eec,Four-Wheeler,TVS Jupiter,P_02203,True
VEH_0091,83186ff1eb30791b,Two-Wheeler,Maruti Suzuki Swift,P_01142,True
VEH_0092,2ade3f01bd4bfb85,Four-Wheeler,Mahindra Scorpio,P_04140,True
VEH_0093,5a9e882d18b7cd3c,Cargo Truck,Toyota Innova,P_00580,True
VEH_0094,e868c8eac86d8d8f,Commercial Auto,TVS Jupiter,P_01061,True
VEH_0095,a0e562961507af36,Cargo Truck,Toyota Innova,P_03535,True
VEH_0096,2ffc72bc6da5f9ba,Four-Wheeler,Maruti Suzuki Swift,P_00454,True
VEH_0097,3956d3b55ee0bc47,Four-Wheeler,Bajaj Pulsar,P_03950,True
VEH_0098,2993ae24c004ca89,Two-Wheeler,Royal Enfield Classic 350,P_04502,True
VEH_0099,efa7ccb75f9d8372,Commercial Auto,Toyota Innova,P_01587,True
VEH_0100,ec7ecadc99363b47,Cargo Truck,Maruti Suzuki Swift,P_01861,True
VEH_0101,91b215f4db8345b4,Four-Wheeler,Mahindra Scorpio,P_00466,True
VEH_0102,38fabfbd7c8e98cf,Two-Wheeler,Toyota Innova,P_02865,True
VEH_0103,556cc200faa9de5e,Commercial Auto,Hyundai Creta,P_00626,True
VEH_0104,d743fdbbaab7261a,Commercial Auto,Mahindra Scorpio,P_03634,True
VEH_0105,5c6a621ac4e82bab,Commercial Auto,Bajaj Pulsar,P_02240,True
VEH_0106,cdbad3efff7e2420,Four-Wheeler,TVS Jupiter,P_02340,True
VEH_0107,aa1b2c4b7fd7a3a9,Two-Wheeler,Mahindra Scorpio,P_02047,True
VEH_0108,39070913b7bfe50d,Cargo Truck,Maruti Suzuki Swift,P_01926,True
VEH_0109,3e3a82bc1431290e,Cargo Truck,Honda City,P_02326,True
VEH_0110,01662eabd583e497,Four-Wheeler,Royal Enfield Classic 350,P_04154,True
VEH_0111,fb1b0be15c937fba,Cargo Truck,Royal Enfield Classic 350,P_01511,True
VEH_0112,6e3eeaab60b86c40,Commercial Auto,Toyota Innova,P_00213,True
VEH_0113,176cbe9fd61481c5,Cargo Truck,Toyota Innova,P_03556,True
VEH_0114,a0135d4445233686,Cargo Truck,Bajaj Pulsar,P_03798,True
VEH_0115,32c95342a1dfd5b8,Cargo Truck,Tata Nexon,P_03124,True
VEH_0116,dbc9b8fa2b32b36a,Commercial Auto,Hyundai Creta,P_02096,True
VEH_0117,4047b088fda2c82a,Commercial Auto,Toyota Innova,P_02250,True
VEH_0118,53214a4914d13276,Cargo Truck,Honda City,P_01465,True
VEH_0119,d86c8f4ea1116b42,Two-Wheeler,Toyota Innova,P_03934,True
VEH_0120,8154ade769393c8f,Four-Wheeler,Bajaj Pulsar,P_02573,True
VEH_0121,9afbe8a6c942ff2e,Two-Wheeler,Honda City,P_04151,True
VEH_0122,7632ee7fd7e16feb,Four-Wheeler,Mahindra Scorpio,P_00938,True
VEH_0123,2b7e0106efe25120,Two-Wheeler,Toyota Innova,P_00344,True
VEH_0124,cb75519efa86595d,Four-Wheeler,Maruti Suzuki Swift,P_02895,True
VEH_0125,cde9a48e7e3649e0,Four-Wheeler,TVS Jupiter,P_00928,True
VEH_0126,685e889aea001076,Commercial Auto,Hyundai Creta,P_03494,True
VEH_0127,3687f868b357f935,Commercial Auto,Toyota Innova,P_03344,True
VEH_0128,4d623c0f5975c4d6,Four-Wheeler,Tata Nexon,P_03018,True
VEH_0129,8f72f2e28aea7383,Two-Wheeler,Hyundai Creta,P_04990,True
VEH_0130,e32040ca4d3dfba1,Cargo Truck,Toyota Innova,P_01761,True
VEH_0131,f363f3ae8db988b2,Two-Wheeler,Hyundai Creta,P_00634,True
VEH_0132,2082057f3cc40217,Four-Wheeler,Royal Enfield Classic 350,P_04012,True
VEH_0133,a9c7e513e92c3845,Commercial Auto,Bajaj Pulsar,P_03613,True
VEH_0134,ea0ca46bf35bc9df,Commercial Auto,Toyota Innova,P_01992,True
VEH_0135,0b030a12fa6a8b32,Cargo Truck,Mahindra Scorpio,P_03646,True
VEH_0136,11f2fce174e0ba1e,Two-Wheeler,Toyota Innova,P_03967,True
VEH_0137,d8cfc2bb3d0bf786,Cargo Truck,Bajaj Pulsar,P_02055,True
VEH_0138,96699df4c279c2c9,Four-Wheeler,Toyota Innova,P_02572,True
VEH_0139,be8bc0acf37f8531,Two-Wheeler,TVS Jupiter,P_01623,True
VEH_0140,50c2f9e9fc8820fa,Four-Wheeler,Bajaj Pulsar,P_03850,True
VEH_0141,835943d07d87cbe4,Two-Wheeler,Tata Nexon,P_00599,True
VEH_0142,79944000b73a789f,Cargo Truck,Toyota Innova,P_01045,True
VEH_0143,cfb11eb309cb6411,Four-Wheeler,Toyota Innova,P_04846,True
VEH_0144,ba57449fa30ed655,Cargo Truck,Royal Enfield Classic 350,P_03685,True
VEH_0145,fdbce2610cbd1a08,Two-Wheeler,Bajaj Pulsar,P_00687,True
VEH_0146,b6b6f88d36e679a1,Cargo Truck,Royal Enfield Classic 350,P_02626,True
VEH_0147,68ac1ad872329c74,Cargo Truck,Mahindra Scorpio,P_02484,True
VEH_0148,c5611a5b634cef1a,Commercial Auto,Bajaj Pulsar,P_03496,True
VEH_0149,5797ad81fdaa9a2b,Cargo Truck,Maruti Suzuki Swift,P_01726,True
VEH_0150,331cac6ebc669b70,Commercial Auto,Hyundai Creta,P_02846,True
VEH_0151,81772d0a1273348f,Commercial Auto,Mahindra Scorpio,P_01388,True
VEH_0152,a1e06f7aa2324348,Four-Wheeler,Honda City,P_01156,True
VEH_0153,c6ee6aaf983b5dca,Four-Wheeler,Maruti Suzuki Swift,P_04903,True
VEH_0154,d22b11b1a584154e,Two-Wheeler,Maruti Suzuki Swift,P_03028,True
VEH_0155,abadc1dc665f1949,Cargo Truck,Bajaj Pulsar,P_01034,True
VEH_0156,d574a761157f69e9,Cargo Truck,TVS Jupiter,P_03542,True
VEH_0157,29f338995eeb93ca,Four-Wheeler,Hyundai Creta,P_02898,True
VEH_0158,55c1e6b7e8a7d1ca,Cargo Truck,Toyota Innova,P_02310,True
VEH_0159,168b182a49e15ed8,Four-Wheeler,Maruti Suzuki Swift,P_03551,True
VEH_0160,5ed04a918f5f18ea,Two-Wheeler,Maruti Suzuki Swift,P_02063,True
VEH_0161,1769800897abfdc5,Two-Wheeler,Honda City,P_03852,True
VEH_0162,4f56af6184f71f33,Four-Wheeler,Tata Nexon,P_01627,True
VEH_0163,ccc6387ac9dec558,Cargo Truck,Royal Enfield Classic 350,P_00552,True
VEH_0164,276017ecded12e40,Cargo Truck,Royal Enfield Classic 350,P_02204,True
VEH_0165,14af1dfa68c6f0e9,Two-Wheeler,Tata Nexon,P_02007,True
VEH_0166,e5a5ef27fbf0f5ee,Cargo Truck,Toyota Innova,P_04048,True
VEH_0167,625f16ad4688cd05,Commercial Auto,Royal Enfield Classic 350,P_03664,True
VEH_0168,5f448f157e72a21c,Commercial Auto,Toyota Innova,P_00931,True
VEH_0169,cf9d4d2d03fdf114,Cargo Truck,TVS Jupiter,P_04924,True
VEH_0170,b6d2866513f7858a,Commercial Auto,Royal Enfield Classic 350,P_00499,True
VEH_0171,97227df22c023443,Commercial Auto,Royal Enfield Classic 350,P_03266,True
VEH_0172,2dc1267be62e844e,Cargo Truck,Maruti Suzuki Swift,P_02528,True
VEH_0173,52923e68467f7f60,Commercial Auto,Mahindra Scorpio,P_00904,True
VEH_0174,b22bdb9315f1b18a,Commercial Auto,Royal Enfield Classic 350,P_00740,True
VEH_0175,b9e7de036adb01de,Commercial Auto,Bajaj Pulsar,P_01725,True
VEH_0176,f5255e47c108af42,Commercial Auto,Royal Enfield Classic 350,P_01879,True
VEH_0177,02c05c6985523d48,Four-Wheeler,Bajaj Pulsar,P_02086,True
VEH_0178,5c0721d98c83e649,Cargo Truck,Hyundai Creta,P_04205,True
VEH_0179,2f51876a96b8289a,Four-Wheeler,Mahindra Scorpio,P_02074,True
VEH_0180,a6dfe532d78431c7,Commercial Auto,Royal Enfield Classic 350,P_01075,True
VEH_0181,2e7a34e2ca752659,Two-Wheeler,Maruti Suzuki Swift,P_00121,True
VEH_0182,af83d90d40211f9c,Cargo Truck,Honda City,P_02652,True
VEH_0183,cd4acc17ac241f65,Commercial Auto,Mahindra Scorpio,P_00817,True
VEH_0184,b5750b05814b9c71,Commercial Auto,Mahindra Scorpio,P_03329,True
VEH_0185,f7e8505f35bbfd8d,Four-Wheeler,Mahindra Scorpio,P_03133,True
VEH_0186,b4703768a9e73e07,Two-Wheeler,Hyundai Creta,P_03705,True
VEH_0187,8c07cdb6f0eb96d6,Cargo Truck,TVS Jupiter,P_03030,True
VEH_0188,adee8d179db4134d,Two-Wheeler,Hyundai Creta,P_00782,True
VEH_0189,8a5356b6c8e73929,Cargo Truck,Hyundai Creta,P_01158,True
VEH_0190,e9368589609b4769,Cargo Truck,Mahindra Scorpio,P_00483,True
VEH_0191,b388b27baec011d9,Cargo Truck,Maruti Suzuki Swift,P_02634,True
VEH_0192,f5ff27f32cd74326,Cargo Truck,TVS Jupiter,P_04066,True
VEH_0193,d62ee270dde95490,Four-Wheeler,TVS Jupiter,P_04311,True
VEH_0194,ad3ebf6b2254d2b5,Four-Wheeler,Maruti Suzuki Swift,P_01328,True
VEH_0195,eb017259b7bc46f2,Cargo Truck,Maruti Suzuki Swift,P_03475,True
VEH_0196,a303ee6dd7b8ad51,Cargo Truck,Bajaj Pulsar,P_03426,True
VEH_0197,5ad683f767f6e207,Commercial Auto,Honda City,P_04377,True
VEH_0198,2548e2f3ebb1cf59,Two-Wheeler,Tata Nexon,P_02426,True
VEH_0199,40c9058d27a05b8c,Cargo Truck,Honda City,P_03868,True
VEH_0200,080075ae9742fe44,Cargo Truck,Tata Nexon,P_04392,True
VEH_0201,31bfc78c197f1ef1,Commercial Auto,Hyundai Creta,P_00046,True
VEH_0202,c8e28f4d6e496e99,Four-Wheeler,Toyota Innova,P_00776,True
VEH_0203,dc1e042a01aff595,Commercial Auto,Bajaj Pulsar,P_01852,True
VEH_0204,a3762365628bf008,Cargo Truck,Honda City,P_03009,True
VEH_0205,579c1911dbb697d6,Two-Wheeler,Hyundai Creta,P_04855,True
VEH_0206,c76c15f5e63e30f0,Cargo Truck,Hyundai Creta,P_01038,True
VEH_0207,825c75d9fc31c682,Two-Wheeler,Honda City,P_03879,True
VEH_0208,db7e979b31fdd787,Two-Wheeler,Hyundai Creta,P_01201,True
VEH_0209,ca59be2e2d89cf89,Cargo Truck,Maruti Suzuki Swift,P_01123,True
VEH_0210,0cc1ebff0a5e20b0,Cargo Truck,Hyundai Creta,P_01973,True
VEH_0211,f8499b7a8ef84cbd,Commercial Auto,Honda City,P_04373,True
VEH_0212,e6471e80de1e9506,Two-Wheeler,Tata Nexon,P_02324,True
VEH_0213,b5a8aa9a086faa8e,Cargo Truck,Hyundai Creta,P_04571,True
VEH_0214,44af4b3561a49dab,Two-Wheeler,Toyota Innova,P_03475,True
VEH_0215,fe70f3df352c4dc6,Two-Wheeler,Royal Enfield Classic 350,P_03066,True
VEH_0216,4367e85e2a56266a,Commercial Auto,Maruti Suzuki Swift,P_04803,True
VEH_0217,f0a8a5a7f6567ffe,Commercial Auto,Bajaj Pulsar,P_00107,True
VEH_0218,280e66ceaef2bd37,Commercial Auto,Maruti Suzuki Swift,P_02121,True
VEH_0219,6ae3cb7744edb371,Two-Wheeler,TVS Jupiter,P_04113,True
VEH_0220,90deee2a62f7e5bd,Commercial Auto,Hyundai Creta,P_00313,True
VEH_0221,1864c019809c8269,Cargo Truck,Tata Nexon,P_00679,True
VEH_0222,cf9a00c0be3d8ed5,Commercial Auto,Toyota Innova,P_00799,True
VEH_0223,b0f2e3337ebdc99d,Commercial Auto,Toyota Innova,P_01387,True
VEH_0224,7867f5c5d8314ded,Two-Wheeler,Maruti Suzuki Swift,P_00533,True
VEH_0225,0d6f2691a713ea78,Commercial Auto,TVS Jupiter,P_00365,True
VEH_0226,14a081636875d79c,Commercial Auto,Maruti Suzuki Swift,P_02550,True
VEH_0227,8d2e4739eb340faa,Cargo Truck,Hyundai Creta,P_04639,True
VEH_0228,723f4f0f9013c215,Four-Wheeler,Tata Nexon,P_02601,True
VEH_0229,88d00cbd82fba4d7,Two-Wheeler,TVS Jupiter,P_00666,True
VEH_0230,5de934680ae461a7,Four-Wheeler,Tata Nexon,P_02544,True
VEH_0231,e6c7dc209d45d5fe,Two-Wheeler,Toyota Innova,P_03392,True
VEH_0232,a6fc0de5d26b69f9,Commercial Auto,Honda City,P_03602,True
VEH_0233,282324952fea3e54,Two-Wheeler,Bajaj Pulsar,P_03684,True
VEH_0234,effa4803c029bc5c,Two-Wheeler,Bajaj Pulsar,P_04659,True
VEH_0235,e1ceb486cfd4b3f8,Commercial Auto,Mahindra Scorpio,P_02804,True
VEH_0236,e8a1ca479448ef60,Four-Wheeler,TVS Jupiter,P_02185,True
VEH_0237,5a3b40352d98a80c,Commercial Auto,Tata Nexon,P_03828,True
VEH_0238,daf48df9efda8af7,Commercial Auto,Toyota Innova,P_00857,True
VEH_0239,ce5b6aba7ad8e1fe,Commercial Auto,Hyundai Creta,P_01533,True
VEH_0240,676b0ce9933d40f1,Cargo Truck,TVS Jupiter,P_03740,True
VEH_0241,99374ccd123b04f6,Cargo Truck,Toyota Innova,P_03954,True
VEH_0242,ae0048d9d467d170,Cargo Truck,Bajaj Pulsar,P_00884,True
VEH_0243,bc0c3444adcf64d1,Two-Wheeler,Maruti Suzuki Swift,P_01344,True
VEH_0244,c8a4c36b6907a4e8,Two-Wheeler,Mahindra Scorpio,P_04653,True
VEH_0245,fc79a272a5a2cb4a,Two-Wheeler,Hyundai Creta,P_02534,True
VEH_0246,a3ce72ca86699f29,Two-Wheeler,Tata Nexon,P_01642,True
VEH_0247,6b38d6e206be69b3,Two-Wheeler,Royal Enfield Classic 350,P_00739,True
VEH_0248,d5ad3756d399384b,Two-Wheeler,Maruti Suzuki Swift,P_03911,True
VEH_0249,b73fbf997ae1d0d9,Cargo Truck,Mahindra Scorpio,P_03870,True
VEH_0250,65efe778b9a00c51,Commercial Auto,Royal Enfield Classic 350,P_01053,True
VEH_0251,ad8588279e1a1cf6,Cargo Truck,Royal Enfield Classic 350,P_04891,True
VEH_0252,dae33bbe3f0aa4b8,Two-Wheeler,Maruti Suzuki Swift,P_01817,True
VEH_0253,eac1a14c571f6255,Two-Wheeler,Royal Enfield Classic 350,P_00633,True
VEH_0254,b772c1ba234d77c6,Commercial Auto,Royal Enfield Classic 350,P_00761,True
VEH_0255,8d7b2844b98ed60b,Cargo Truck,Honda City,P_03169,True
VEH_0256,4f803b0c71239286,Four-Wheeler,Tata Nexon,P_03263,True
VEH_0257,a3a4b082b8d3b7d2,Two-Wheeler,Royal Enfield Classic 350,P_00101,True
VEH_0258,9ec4603c4fdd27d3,Cargo Truck,Maruti Suzuki Swift,P_03983,True
VEH_0259,4eec605d3810e604,Cargo Truck,Hyundai Creta,P_04945,True
VEH_0260,44eea3a414e7788b,Four-Wheeler,Bajaj Pulsar,P_02989,True
VEH_0261,d10b8f97f17d467b,Four-Wheeler,Hyundai Creta,P_01232,True
VEH_0262,f73e57c6bc6282bb,Cargo Truck,Mahindra Scorpio,P_04315,True
VEH_0263,44d35bf5a4c80e52,Commercial Auto,TVS Jupiter,P_03771,True
VEH_0264,db5b05ba3149b65a,Commercial Auto,Royal Enfield Classic 350,P_02765,True
VEH_0265,f99823ee664cb718,Cargo Truck,Royal Enfield Classic 350,P_00144,True
VEH_0266,a9a1533633ffbced,Cargo Truck,Toyota Innova,P_00300,True
VEH_0267,4c75450304d9997a,Cargo Truck,Tata Nexon,P_04139,True
VEH_0268,178bc178291918ed,Cargo Truck,Bajaj Pulsar,P_04662,True
VEH_0269,647ab1e1737246e3,Four-Wheeler,Hyundai Creta,P_03129,True
VEH_0270,37c51bc0060f03d1,Two-Wheeler,Royal Enfield Classic 350,P_00184,True
VEH_0271,aed1f201059dabb0,Two-Wheeler,Royal Enfield Classic 350,P_00954,True
VEH_0272,d2f90bfc78be502e,Four-Wheeler,Bajaj Pulsar,P_01997,True
VEH_0273,a6e0ea953bcb6f82,Commercial Auto,Honda City,P_01522,True
VEH_0274,0fd515a344d2f861,Four-Wheeler,Honda City,P_02282,True
VEH_0275,4435601e5f1a50ae,Cargo Truck,Honda City,P_02236,True
VEH_0276,df289cb6e05da485,Four-Wheeler,Mahindra Scorpio,P_01842,True
VEH_0277,589a364c2bfa6695,Cargo Truck,TVS Jupiter,P_04817,True
VEH_0278,b9b0c4398824a902,Commercial Auto,Maruti Suzuki Swift,P_02810,True
VEH_0279,02cedecb41175383,Two-Wheeler,TVS Jupiter,P_01726,True
VEH_0280,c0b21eb7c1e1bc82,Commercial Auto,Hyundai Creta,P_03986,True
VEH_0281,71b45d1e1d2af3aa,Commercial Auto,Honda City,P_02439,True
VEH_0282,e50885390750c6b8,Cargo Truck,Tata Nexon,P_02881,True
VEH_0283,d93408a25c4e1539,Two-Wheeler,Bajaj Pulsar,P_04117,True
VEH_0284,19c1f08ac2c2b3d3,Cargo Truck,Hyundai Creta,P_00795,True
VEH_0285,6c56ee3e0b078d36,Cargo Truck,Tata Nexon,P_01304,True
VEH_0286,68eb11582518d5b1,Commercial Auto,Honda City,P_02617,True
VEH_0287,4d823d1c92eb4975,Cargo Truck,Bajaj Pulsar,P_04484,True
VEH_0288,97a5a62accefb20d,Two-Wheeler,Honda City,P_03682,True
VEH_0289,66a57d204ce79534,Four-Wheeler,TVS Jupiter,P_01412,True
VEH_0290,e8e443fc5fcf7450,Four-Wheeler,Royal Enfield Classic 350,P_01548,True
VEH_0291,9038b54f1f9f0b5f,Cargo Truck,Hyundai Creta,P_04912,True
VEH_0292,9dc1af9521f98385,Commercial Auto,TVS Jupiter,P_00746,True
VEH_0293,eacf1548ce444ddf,Two-Wheeler,Bajaj Pulsar,P_04285,True
VEH_0294,eab6ccc4e36790ac,Two-Wheeler,Tata Nexon,P_03869,True
VEH_0295,00c0cc01365d6401,Cargo Truck,Mahindra Scorpio,P_04732,True
VEH_0296,a625f480f2a64fc3,Four-Wheeler,Tata Nexon,P_03780,True
VEH_0297,94f6e211c6e1bad2,Four-Wheeler,Mahindra Scorpio,P_03787,True
VEH_0298,cd1c06afd8f8743d,Cargo Truck,Bajaj Pulsar,P_03852,True
VEH_0299,50cf9572d5f1a5eb,Four-Wheeler,Hyundai Creta,P_04973,True
VEH_0300,5d91746547bf2f53,Commercial Auto,Royal Enfield Classic 350,P_00327,True
VEH_0301,b513ab1f913b617d,Four-Wheeler,Royal Enfield Classic 350,P_01017,True
VEH_0302,427bd733d027c950,Commercial Auto,Hyundai Creta,P_01385,True
VEH_0303,b110b20a90bfb8bc,Commercial Auto,TVS Jupiter,P_01722,True
VEH_0304,378db641b4aeac58,Commercial Auto,TVS Jupiter,P_02053,True
VEH_0305,4858d922316c07e0,Commercial Auto,Honda City,P_04655,True
VEH_0306,1ddfb7d14d25d678,Two-Wheeler,Honda City,P_00213,True
VEH_0307,2e06cfcaf369979b,Commercial Auto,Tata Nexon,P_04651,True
VEH_0308,c5f6038b5199916d,Commercial Auto,Tata Nexon,P_01201,True
VEH_0309,cbb05e45f640f90b,Four-Wheeler,Honda City,P_01216,True
VEH_0310,fe0b5602dd68be16,Two-Wheeler,Royal Enfield Classic 350,P_03908,True
VEH_0311,61a78ac836f41292,Commercial Auto,Toyota Innova,P_04384,True
VEH_0312,4fbe74107b9b2a3d,Two-Wheeler,Bajaj Pulsar,P_03949,True
VEH_0313,ba2981aff00902b2,Commercial Auto,Toyota Innova,P_01842,True
VEH_0314,19961b0ae8096349,Cargo Truck,Mahindra Scorpio,P_02921,True
VEH_0315,240cbd0eb8ac29f0,Two-Wheeler,Bajaj Pulsar,P_01871,True
VEH_0316,6c55643ccd69f8f1,Four-Wheeler,Toyota Innova,P_04253,True
