person_case_role_id,person_id,case_id,role_type,source_evidence_id,synthetic_demo_record
PCR_000086,P_01428,86,Primary Accused,EVI_FIR_0086,True
PCR_000087,P_04779,87,Primary Accused,EVI_FIR_0087,True
PCR_000088,P_02633,88,Primary Accused,EVI_FIR_0088,True
PCR_000089,P_03659,89,Primary Accused,EVI_FIR_0089,True
PCR_000090,P_00169,90,Primary Accused,EVI_FIR_0090,True
PCR_000091,P_01996,91,Primary Accused,EVI_FIR_0091,True
PCR_000092,P_01848,92,Primary Accused,EVI_FIR_0092,True
PCR_000093,P_00858,93,Primary Accused,EVI_FIR_0093,True
PCR_000094,P_00774,94,Primary Accused,EVI_FIR_0094,True
PCR_000095,P_01287,95,Primary Accused,EVI_FIR_0095,True
PCR_000096,P_04087,96,Primary Accused,EVI_FIR_0096,True
PCR_000097,P_01374,97,Primary Accused,EVI_FIR_0097,True
PCR_000098,P_04622,98,Primary Accused,EVI_FIR_0098,True
PCR_000099,P_00947,99,Primary Accused,EVI_FIR_0099,True
PCR_000100,P_04115,100,Primary Accused,EVI_FIR_0100,True
PCR_000101,P_02206,101,Primary Accused,EVI_FIR_0101,True
PCR_000102,P_02859,102,Primary Accused,EVI_FIR_0102,True
PCR_000103,P_04483,103,Primary Accused,EVI_FIR_0103,True
PCR_000104,P_04507,104,Primary Accused,EVI_FIR_0104,True
PCR_000105,P_01433,105,Primary Accused,EVI_FIR_0105,True
PCR_000106,P_01231,106,Primary Accused,EVI_FIR_0106,True
PCR_000107,P_04354,107,Primary Accused,EVI_FIR_0107,True
PCR_000108,P_04505,108,Primary Accused,EVI_FIR_0108,True
PCR_000109,P_02917,109,Primary Accused,EVI_FIR_0109,True
PCR_000110,P_01176,110,Primary Accused,EVI_FIR_0110,True
PCR_000111,P_00166,111,Primary Accused,EVI_FIR_0111,True
PCR_000112,P_01480,112,Primary Accused,EVI_FIR_0112,True
PCR_000113,P_03606,113,Primary Accused,EVI_FIR_0113,True
PCR_000114,P_04707,114,Primary Accused,EVI_FIR_0114,True
PCR_000115,P_00072,115,Primary Accused,EVI_FIR_0115,True
PCR_000116,P_01015,116,Primary Accused,EVI_FIR_0116,True
PCR_000117,P_04517,117,Primary Accused,EVI_FIR_0117,True
PCR_000118,P_03820,118,Primary Accused,EVI_FIR_0118,True
PCR_000119,P_01640,119,Primary Accused,EVI_FIR_0119,True
PCR_000120,P_01419,120,Primary Accused,EVI_FIR_0120,True
PCR_000121,P_02362,121,Primary Accused,EVI_FIR_0121,True
PCR_000122,P_04789,122,Primary Accused,EVI_FIR_0122,True
PCR_000123,P_04650,123,Primary Accused,EVI_FIR_0123,True
PCR_000124,P_02117,124,Primary Accused,EVI_FIR_0124,True
PCR_000125,P_03122,125,Primary Accused,EVI_FIR_0125,True
PCR_000126,P_03251,126,Primary Accused,EVI_FIR_0126,True
PCR_000127,P_04045,127,Primary Accused,EVI_FIR_0127,True
PCR_000128,P_01053,128,Primary Accused,EVI_FIR_0128,True
PCR_000129,P_02585,129,Primary Accused,EVI_FIR_0129,True
PCR_000130,P_03045,130,Primary Accused,EVI_FIR_0130,True
PCR_000131,P_04754,131,Primary Accused,EVI_FIR_0131,True
PCR_000132,P_04028,132,Primary Accused,EVI_FIR_0132,True
PCR_000133,P_01467,133,Primary Accused,EVI_FIR_0133,True
PCR_000134,P_01868,134,Primary Accused,EVI_FIR_0134,True
PCR_000135,P_01456,135,Primary Accused,EVI_FIR_0135,True
PCR_000136,P_01356,136,Primary Accused,EVI_FIR_0136,True
PCR_000137,P_02896,137,Primary Accused,EVI_FIR_0137,True
PCR_000138,P_02439,138,Primary Accused,EVI_FIR_0138,True
PCR_000139,P_04131,139,Primary Accused,EVI_FIR_0139,True
PCR_000140,P_01872,140,Primary Accused,EVI_FIR_0140,True
PCR_000141,P_01374,141,Primary Accused,EVI_FIR_0141,True
PCR_000142,P_00596,142,Primary Accused,EVI_FIR_0142,True
PCR_000143,P_03887,143,Primary Accused,EVI_FIR_0143,True
PCR_000144,P_04574,144,Primary Accused,EVI_FIR_0144,True
PCR_000145,P_04462,145,Primary Accused,EVI_FIR_0145,True
PCR_000146,P_03469,146,Primary Accused,EVI_FIR_0146,True
PCR_000147,P_03036,147,Primary Accused,EVI_FIR_0147,True
PCR_000148,P_00678,148,Primary Accused,EVI_FIR_0148,True
PCR_000149,P_02429,149,Primary Accused,EVI_FIR_0149,True
PCR_000150,P_01225,150,Primary Accused,EVI_FIR_0150,True
PCR_000151,P_02915,151,Primary Accused,EVI_FIR_0151,True
PCR_000152,P_03649,152,Primary Accused,EVI_FIR_0152,True
PCR_000153,P_03260,153,Primary Accused,EVI_FIR_0153,True
PCR_000154,P_02839,154,Primary Accused,EVI_FIR_0154,True
PCR_000155,P_02459,155,Primary Accused,EVI_FIR_0155,True
PCR_000156,P_01835,156,Primary Accused,EVI_FIR_0156,True
PCR_000157,P_03345,157,Primary Accused,EVI_FIR_0157,True
PCR_000158,P_04238,158,Primary Accused,EVI_FIR_0158,True
PCR_000159,P_04509,159,Primary Accused,EVI_FIR_0159,True
PCR_000160,P_02951,160,Primary Accused,EVI_FIR_0160,True
PCR_000161,P_00451,161,Primary Accused,EVI_FIR_0161,True
PCR_000162,P_04486,162,Primary Accused,EVI_FIR_0162,True
PCR_000163,P_02744,163,Primary Accused,EVI_FIR_0163,True
PCR_000164,P_02020,164,Primary Accused,EVI_FIR_0164,True
PCR_000165,P_03118,165,Primary Accused,EVI_FIR_0165,True
PCR_000166,P_01788,166,Primary Accused,EVI_FIR_0166,True
PCR_000167,P_01329,167,Primary Accused,EVI_FIR_0167,True
PCR_000168,P_00318,168,Primary Accused,EVI_FIR_0168,True
PCR_000169,P_04840,169,Primary Accused,EVI_FIR_0169,True
PCR_000170,P_03260,170,Primary Accused,EVI_FIR_0170,True
PCR_000171,P_04048,171,Primary Accused,EVI_FIR_0171,True
PCR_000172,P_01967,172,Primary Accused,EVI_FIR_0172,True
PCR_000173,P_01110,173,Primary Accused,EVI_FIR_0173,True
PCR_000174,P_02453,174,Primary Accused,EVI_FIR_0174,True
PCR_000175,P_02477,175,Primary Accused,EVI_FIR_0175,True
PCR_000176,P_04869,176,Primary Accused,EVI_FIR_0176,True
PCR_000177,P_02366,177,Primary Accused,EVI_FIR_0177,True
PCR_000178,P_00107,178,Primary Accused,EVI_FIR_0178,True
PCR_000179,P_03013,179,Primary Accused,EVI_FIR_0179,True
PCR_000180,P_01532,180,Primary Accused,EVI_FIR_0180,True
PCR_000181,P_00149,181,Primary Accused,EVI_FIR_0181,True
PCR_000182,P_00417,182,Primary Accused,EVI_FIR_0182,True
PCR_000183,P_04553,183,Primary Accused,EVI_FIR_0183,True
PCR_000184,P_02608,184,Primary Accused,EVI_FIR_0184,True
PCR_000185,P_03586,185,Primary Accused,EVI_FIR_0185,True
PCR_000186,P_01998,186,Primary Accused,EVI_FIR_0186,True
PCR_000187,P_02469,187,Primary Accused,EVI_FIR_0187,True
PCR_000188,P_01605,188,Primary Accused,EVI_FIR_0188,True
PCR_000189,P_04004,189,Primary Accused,EVI_FIR_0189,True
PCR_000190,P_03476,190,Primary Accused,EVI_FIR_0190,True
PCR_000191,P_03919,191,Primary Accused,EVI_FIR_0191,True
PCR_000192,P_00567,192,Primary Accused,EVI_FIR_0192,True
PCR_000193,P_01926,193,Primary Accused,EVI_FIR_0193,True
PCR_000194,P_04478,194,Primary Accused,EVI_FIR_0194,True
PCR_000195,P_04216,195,Primary Accused,EVI_FIR_0195,True
PCR_000196,P_00140,196,Primary Accused,EVI_FIR_0196,True
PCR_000197,P_02465,197,Primary Accused,EVI_FIR_0197,True
PCR_000198,P_03057,198,Primary Accused,EVI_FIR_0198,True
PCR_000199,P_03229,199,Primary Accused,EVI_FIR_0199,True
PCR_000200,P_01680,200,Primary Accused,EVI_FIR_0200,True
PCR_000201,P_04648,201,Primary Accused,EVI_FIR_0201,True
PCR_000202,P_02136,202,Primary Accused,EVI_FIR_0202,True
PCR_000203,P_01650,203,Primary Accused,EVI_FIR_0203,True
PCR_000204,P_02841,204,Primary Accused,EVI_FIR_0204,True
PCR_000205,P_03573,205,Primary Accused,EVI_FIR_0205,True
PCR_000206,P_03795,206,Primary Accused,EVI_FIR_0206,True
PCR_000207,P_04009,207,Primary Accused,EVI_FIR_0207,True
PCR_000208,P_00256,208,Primary Accused,EVI_FIR_0208,True
PCR_000209,P_01312,209,Primary Accused,EVI_FIR_0209,True
PCR_000210,P_00087,210,Primary Accused,EVI_FIR_0210,True
PCR_000211,P_01128,211,Primary Accused,EVI_FIR_0211,True
PCR_000212,P_01727,212,Primary Accused,EVI_FIR_0212,True
PCR_000213,P_03136,213,Primary Accused,EVI_FIR_0213,True
PCR_000214,P_02206,214,Primary Accused,EVI_FIR_0214,True
PCR_000215,P_02415,215,Primary Accused,EVI_FIR_0215,True
PCR_000216,P_04950,216,Primary Accused,EVI_FIR_0216,True
PCR_000217,P_01653,217,Primary Accused,EVI_FIR_0217,True
PCR_000218,P_02941,218,Primary Accused,EVI_FIR_0218,True
PCR_000219,P_03139,219,Primary Accused,EVI_FIR_0219,True
PCR_000220,P_00241,220,Primary Accused,EVI_FIR_0220,True
PCR_000221,P_04680,221,Primary Accused,EVI_FIR_0221,True
PCR_000222,P_03603,222,Primary Accused,EVI_FIR_0222,True
PCR_000223,P_04317,223,Primary Accused,EVI_FIR_0223,True
PCR_000224,P_00136,224,Primary Accused,EVI_FIR_0224,True
PCR_000225,P_00895,225,Primary Accused,EVI_FIR_0225,True
PCR_000226,P_00417,226,Primary Accused,EVI_FIR_0226,True
PCR_000227,P_01758,227,Primary Accused,EVI_FIR_0227,True
PCR_000228,P_00982,228,Primary Accused,EVI_FIR_0228,True
PCR_000229,P_02555,229,Primary Accused,EVI_FIR_0229,True
PCR_000230,P_04626,230,Primary Accused,EVI_FIR_0230,True
PCR_000231,P_04581,231,Primary Accused,EVI_FIR_0231,True
PCR_000232,P_01098,232,Primary Accused,EVI_FIR_0232,True
PCR_000233,P_00015,233,Primary Accused,EVI_FIR_0233,True
PCR_000234,P_03567,234,Primary Accused,EVI_FIR_0234,True
PCR_000235,P_03173,235,Primary Accused,EVI_FIR_0235,True
PCR_000236,P_01128,236,Primary Accused,EVI_FIR_0236,True
PCR_000237,P_00433,237,Primary Accused,EVI_FIR_0237,True
PCR_000238,P_04101,238,Primary Accused,EVI_FIR_0238,True
PCR_000239,P_04810,239,Primary Accused,EVI_FIR_0239,True
PCR_000240,P_04710,240,Primary Accused,EVI_FIR_0240,True
PCR_000241,P_02459,241,Primary Accused,EVI_FIR_0241,True
PCR_000242,P_04950,242,Primary Accused,EVI_FIR_0242,True
PCR_000243,P_00908,243,Primary Accused,EVI_FIR_0243,True
PCR_000244,P_02814,244,Primary Accused,EVI_FIR_0244,True
PCR_000245,P_01327,245,Primary Accused,EVI_FIR_0245,True
PCR_000246,P_01745,246,Primary Accused,EVI_FIR_0246,True
PCR_000247,P_04491,247,Primary Accused,EVI_FIR_0247,True
PCR_000248,P_02584,248,Primary Accused,EVI_FIR_0248,True
PCR_000249,P_01478,249,Primary Accused,EVI_FIR_0249,True
PCR_000250,P_01077,250,Primary Accused,EVI_FIR_0250,True
PCR_000251,P_04821,251,Primary Accused,EVI_FIR_0251,True
PCR_000252,P_01943,252,Primary Accused,EVI_FIR_0252,True
PCR_000253,P_02991,253,Primary Accused,EVI_FIR_0253,True
PCR_000254,P_02300,254,Primary Accused,EVI_FIR_0254,True
PCR_000255,P_00171,255,Primary Accused,EVI_FIR_0255,True
PCR_000256,P_03968,256,Primary Accused,EVI_FIR_0256,True
PCR_000257,P_00798,257,Primary Accused,EVI_FIR_0257,True
PCR_000258,P_02990,258,Primary Accused,EVI_FIR_0258,True
PCR_000259,P_03782,259,Primary Accused,EVI_FIR_0259,True
PCR_000260,P_02922,260,Primary Accused,EVI_FIR_0260,True
PCR_000261,P_02933,261,Primary Accused,EVI_FIR_0261,True
PCR_000262,P_01461,262,Primary Accused,EVI_FIR_0262,True
PCR_000263,P_00656,263,Primary Accused,EVI_FIR_0263,True
PCR_000264,P_03123,264,Primary Accused,EVI_FIR_0264,True
PCR_000265,P_01879,265,Primary Accused,EVI_FIR_0265,True
PCR_000266,P_00252,266,Primary Accused,EVI_FIR_0266,True
PCR_000267,P_04015,267,Primary Accused,EVI_FIR_0267,True
PCR_000268,P_04201,268,Primary Accused,EVI_FIR_0268,True
PCR_000269,P_01267,269,Primary Accused,EVI_FIR_0269,True
PCR_000270,P_02041,270,Primary Accused,EVI_FIR_0270,True
PCR_000271,P_00678,271,Primary Accused,EVI_FIR_0271,True
PCR_000272,P_03156,272,Primary Accused,EVI_FIR_0272,True
PCR_000273,P_02313,273,Primary Accused,EVI_FIR_0273,True
PCR_000274,P_03383,274,Primary Accused,EVI_FIR_0274,True
PCR_000275,P_03710,275,Primary Accused,EVI_FIR_0275,True
PCR_000276,P_01524,276,Primary Accused,EVI_FIR_0276,True
PCR_000277,P_01732,277,Primary Accused,EVI_FIR_0277,True
PCR_000278,P_03043,278,Primary Accused,EVI_FIR_0278,True
PCR_000279,P_00630,279,Primary Accused,EVI_FIR_0279,True
PCR_000280,P_03629,280,Primary Accused,EVI_FIR_0280,True
PCR_000281,P_03588,281,Primary Accused,EVI_FIR_0281,True
PCR_000282,P_01357,282,Primary Accused,EVI_FIR_0282,True
PCR_000283,P_00895,283,Primary Accused,EVI_FIR_0283,True
PCR_000284,P_01524,284,Primary Accused,EVI_FIR_0284,True
PCR_000285,P_01200,285,Primary Accused,EVI_FIR_0285,True
PCR_000286,P_00394,286,Primary Accused,EVI_FIR_0286,True
PCR_000287,P_03997,287,Primary Accused,EVI_FIR_0287,True
PCR_000288,P_03001,288,Primary Accused,EVI_FIR_0288,True
PCR_000289,P_04111,289,Primary Accused,EVI_FIR_0289,True
PCR_000290,P_01314,290,Primary Accused,EVI_FIR_0290,True
PCR_000291,P_00038,291,Primary Accused,EVI_FIR_0291,True
PCR_000292,P_02628,292,Primary Accused,EVI_FIR_0292,True
PCR_000293,P_02098,293,Primary Accused,EVI_FIR_0293,True
PCR_000294,P_00257,294,Primary Accused,EVI_FIR_0294,True
PCR_000295,P_01521,295,Primary Accused,EVI_FIR_0295,True
PCR_000296,P_04122,296,Primary Accused,EVI_FIR_0296,True
PCR_000297,P_00057,297,Primary Accused,EVI_FIR_0297,True
PCR_000298,P_00948,298,Primary Accused,EVI_FIR_0298,True
PCR_000299,P_04847,299,Primary Accused,EVI_FIR_0299,True
PCR_000300,P_02818,300,Primary Accused,EVI_FIR_0300,True
PCR_000301,P_02765,301,Primary Accused,EVI_FIR_0301,True
PCR_000302,P_02845,302,Primary Accused,EVI_FIR_0302,True
PCR_000303,P_04990,303,Primary Accused,EVI_FIR_0303,True
PCR_000304,P_00292,304,Primary Accused,EVI_FIR_0304,True
PCR_000305,P_02309,305,Primary Accused,EVI_FIR_0305,True
PCR_000306,P_01909,306,Primary Accused,EVI_FIR_0306,True
PCR_000307,P_02517,307,Primary Accused,EVI_FIR_0307,True
PCR_000308,P_01756,308,Primary Accused,EVI_FIR_0308,True
PCR_000309,P_04935,309,Primary Accused,EVI_FIR_0309,True
PCR_000310,P_02766,310,Primary Accused,EVI_FIR_0310,True
PCR_000311,P_04713,311,Primary Accused,EVI_FIR_0311,True
PCR_000312,P_03899,312,Primary Accused,EVI_FIR_0312,True
PCR_000313,P_01280,313,Primary Accused,EVI_FIR_0313,True
PCR_000314,P_04391,314,Primary Accused,EVI_FIR_0314,True
PCR_000315,P_00799,315,Primary Accused,EVI_FIR_0315,True
PCR_000316,P_01789,316,Primary Accused,EVI_FIR_0316,True
PCR_000317,P_00706,317,Primary Accused,EVI_FIR_0317,True
PCR_000318,P_02813,318,Primary Accused,EVI_FIR_0318,True
PCR_000319,P_01934,319,Primary Accused,EVI_FIR_0319,True
PCR_000320,P_00343,320,Primary Accused,EVI_FIR_0320,True
PCR_000321,P_02477,321,Primary Accused,EVI_FIR_0321,True
PCR_000322,P_01070,322,Primary Accused,EVI_FIR_0322,True
PCR_000323,P_03177,323,Primary Accused,EVI_FIR_0323,True
PCR_000324,P_01639,324,Primary Accused,EVI_FIR_0324,True
PCR_000325,P_01287,325,Primary Accused,EVI_FIR_0325,True
PCR_000326,P_00594,326,Primary Accused,EVI_FIR_0326,True
PCR_000327,P_03209,327,Primary Accused,EVI_FIR_0327,True
PCR_000328,P_03680,328,Primary Accused,EVI_FIR_0328,True
PCR_000329,P_04095,329,Primary Accused,EVI_FIR_0329,True
PCR_000330,P_01170,330,Primary Accused,EVI_FIR_0330,True
PCR_000331,P_03392,331,Primary Accused,EVI_FIR_0331,True
PCR_000332,P_01511,332,Primary Accused,EVI_FIR_0332,True
PCR_000333,P_01163,333,Primary Accused,EVI_FIR_0333,True
PCR_000334,P_03265,334,Primary Accused,EVI_FIR_0334,True
PCR_000335,P_02413,335,Primary Accused,EVI_FIR_0335,True
PCR_000336,P_04306,336,Primary Accused,EVI_FIR_0336,True
PCR_000337,P_02804,337,Primary Accused,EVI_FIR_0337,True
PCR_000338,P_04362,338,Primary Accused,EVI_FIR_0338,True
PCR_000339,P_04294,339,Primary Accused,EVI_FIR_0339,True
PCR_000340,P_02380,340,Primary Accused,EVI_FIR_0340,True
PCR_000341,P_03798,341,Primary Accused,EVI_FIR_0341,True
PCR_000342,P_04496,342,Primary Accused,EVI_FIR_0342,True
PCR_000343,P_01623,343,Primary Accused,EVI_FIR_0343,True
PCR_000344,P_01009,344,Primary Accused,EVI_FIR_0344,True
PCR_000345,P_04288,345,Primary Accused,EVI_FIR_0345,True
PCR_000346,P_01088,346,Primary Accused,EVI_FIR_0346,True
PCR_000347,P_03508,347,Primary Accused,EVI_FIR_0347,True
PCR_000348,P_04081,348,Primary Accused,EVI_FIR_0348,True
PCR_000349,P_00651,349,Primary Accused,EVI_FIR_0349,True
PCR_000350,P_00401,350,Primary Accused,EVI_FIR_0350,True
PCR_000351,P_04568,351,Primary Accused,EVI_FIR_0351,True
PCR_000352,P_04874,352,Primary Accused,EVI_FIR_0352,True
PCR_000353,P_01332,353,Primary Accused,EVI_FIR_0353,True
PCR_000354,P_02126,354,Primary Accused,EVI_FIR_0354,True
PCR_000355,P_04955,355,Primary Accused,EVI_FIR_0355,True
PCR_000356,P_04845,356,Primary Accused,EVI_FIR_0356,True
PCR_000357,P_02050,357,Primary Accused,EVI_FIR_0357,True
PCR_000358,P_02837,358,Primary Accused,EVI_FIR_0358,True
PCR_000359,P_03385,359,Primary Accused,EVI_FIR_0359,True
PCR_000360,P_04691,360,Primary Accused,EVI_FIR_0360,True
PCR_000361,P_02708,361,Primary Accused,EVI_FIR_0361,True
PCR_000362,P_01467,362,Primary Accused,EVI_FIR_0362,True
PCR_000363,P_04781,363,Primary Accused,EVI_FIR_0363,True
PCR_000364,P_00620,364,Primary Accused,EVI_FIR_0364,True
PCR_000365,P_04772,365,Primary Accused,EVI_FIR_0365,True
PCR_000366,P_03660,366,Primary Accused,EVI_FIR_0366,True
PCR_000367,P_03774,367,Primary Accused,EVI_FIR_0367,True
PCR_000368,P_04089,368,Primary Accused,EVI_FIR_0368,True
PCR_000369,P_01465,369,Primary Accused,EVI_FIR_0369,True
PCR_000370,P_04856,370,Primary Accused,EVI_FIR_0370,True
PCR_000371,P_02560,371,Primary Accused,EVI_FIR_0371,True
PCR_000372,P_02253,372,Primary Accused,EVI_FIR_0372,True
PCR_000373,P_04308,373,Primary Accused,EVI_FIR_0373,True
PCR_000374,P_04703,374,Primary Accused,EVI_FIR_0374,True
PCR_000375,P_01066,375,Primary Accused,EVI_FIR_0375,True
PCR_000376,P_03494,376,Primary Accused,EVI_FIR_0376,True
PCR_000377,P_02947,377,Primary Accused,EVI_FIR_0377,True
PCR_000378,P_04989,378,Primary Accused,EVI_FIR_0378,True
PCR_000379,P_02671,379,Primary Accused,EVI_FIR_0379,True
PCR_000380,P_00751,380,Primary Accused,EVI_FIR_0380,True
PCR_000381,P_02159,381,Primary Accused,EVI_FIR_0381,True
PCR_000382,P_04986,382,Primary Accused,EVI_FIR_0382,True
PCR_000383,P_01841,383,Primary Accused,EVI_FIR_0383,True
PCR_000384,P_04706,384,Primary Accused,EVI_FIR_0384,True
PCR_000385,P_03968,385,Primary Accused,EVI_FIR_0385,True
PCR_000386,P_02793,386,Primary Accused,EVI_FIR_0386,True
PCR_000387,P_00047,387,Primary Accused,EVI_FIR_0387,True
PCR_000388,P_01603,388,Primary Accused,EVI_FIR_0388,True
PCR_000389,P_02821,389,Primary Accused,EVI_FIR_0389,True
PCR_000390,P_02378,390,Primary Accused,EVI_FIR_0390,True
PCR_000391,P_00516,391,Primary Accused,EVI_FIR_0391,True
PCR_000392,P_03192,392,Primary Accused,EVI_FIR_0392,True
PCR_000393,P_02412,393,Primary Accused,EVI_FIR_0393,True
PCR_000394,P_03544,394,Primary Accused,EVI_FIR_0394,True
PCR_000395,P_04850,395,Primary Accused,EVI_FIR_0395,True
PCR_000396,P_03480,396,Primary Accused,EVI_FIR_0396,True
PCR_000397,P_03015,397,Primary Accused,EVI_FIR_0397,True
PCR_000398,P_00656,398,Primary Accused,EVI_FIR_0398,True
PCR_000399,P_02495,399,Primary Accused,EVI_FIR_0399,True
PCR_000400,P_01531,400,Primary Accused,EVI_FIR_0400,True
PCR_000401,P_03169,401,Primary Accused,EVI_FIR_0401,True
PCR_000402,P_04898,402,Primary Accused,EVI_FIR_0402,True
PCR_000403,P_00046,403,Primary Accused,EVI_FIR_0403,True
PCR_000404,P_02428,404,Primary Accused,EVI_FIR_0404,True
PCR_000405,P_03659,405,Primary Accused,EVI_FIR_0405,True
PCR_000406,P_00137,406,Primary Accused,EVI_FIR_0406,True
PCR_000407,P_03606,407,Primary Accused,EVI_FIR_0407,True
PCR_000408,P_00431,408,Primary Accused,EVI_FIR_0408,True
PCR_000409,P_03112,409,Primary Accused,EVI_FIR_0409,True
