sighting_id,vehicle_id,event_time,latitude,longitude,source_id,confidence,synthetic_demo_record
SIGHT_000042,VEH_2182,2027-04-24T23:30:56,19.266236,72.854828,ANPR_VASHI_TOLL,0.87,True
SIGHT_000043,VEH_1947,2027-11-26T21:03:41,19.20109,72.869676,ANPR_VASHI_TOLL,0.89,True
SIGHT_000044,VEH_2485,2026-04-15T11:04:17,19.215394,72.940833,ANPR_VASHI_TOLL,0.98,True
SIGHT_000045,VEH_0824,2027-02-23T17:48:14,19.139565,72.859439,CCTV_DHARAVI_JCT,0.91,True
SIGHT_000046,VEH_1530,2026-04-24T12:50:10,19.064155,72.950461,POLICE_CHECKPOINT_BANDRA,0.87,True
SIGHT_000047,VEH_0921,2025-03-23T22:50:13,19.121276,72.953186,CCTV_DHARAVI_JCT,0.85,True
SIGHT_000048,VEH_2269,2025-08-02T14:38:45,19.18753,72.788651,ANPR_VASHI_TOLL,0.85,True
SIGHT_000049,VEH_0242,2025-07-29T05:12:57,19.228516,72.875947,ANPR_BKC_01,0.98,True
SIGHT_000050,VEH_1354,2025-03-31T22:51:46,19.100677,72.903213,ANPR_VASHI_TOLL,0.89,True
SIGHT_000051,VEH_1989,2025-07-04T12:44:50,18.977524,72.880446,ANPR_VASHI_TOLL,0.95,True
SIGHT_000052,VEH_2339,2026-09-12T18:28:17,19.217934,72.978491,POLICE_CHECKPOINT_BANDRA,0.88,True
SIGHT_000053,VEH_1938,2027-06-16T10:37:34,19.091545,72.839182,POLICE_CHECKPOINT_BANDRA,0.88,True
SIGHT_000054,VEH_0398,2026-12-24T19:40:04,19.136087,72.826845,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000055,VEH_1684,2026-05-21T16:06:03,18.996264,72.787969,ANPR_BKC_01,0.94,True
SIGHT_000056,VEH_0404,2025-03-21T12:25:25,18.950758,72.892774,POLICE_CHECKPOINT_BANDRA,0.95,True
SIGHT_000057,VEH_0448,2025-09-23T15:52:34,18.996048,72.786369,ANPR_VASHI_TOLL,0.88,True
SIGHT_000058,VEH_1838,2025-04-22T15:22:13,19.18753,72.788651,POLICE_CHECKPOINT_BANDRA,0.88,True
SIGHT_000059,VEH_1895,2025-09-26T03:56:08,19.255932,72.983203,ANPR_BKC_01,0.91,True
SIGHT_000060,VEH_2255,2025-04-08T19:34:17,18.975287,72.759382,ANPR_BKC_01,0.94,True
SIGHT_000061,VEH_2215,2027-07-15T09:56:01,19.013713,72.776767,ANPR_BKC_01,0.99,True
SIGHT_000062,VEH_0969,2025-05-12T07:37:40,18.925352,72.792195,POLICE_CHECKPOINT_BANDRA,0.92,True
SIGHT_000063,VEH_0876,2027-08-21T03:36:18,19.058992,72.781487,POLICE_CHECKPOINT_BANDRA,0.98,True
SIGHT_000064,VEH_0675,2026-03-04T11:22:46,18.895313,72.787378,ANPR_BKC_01,0.99,True
SIGHT_000065,VEH_1087,2027-11-10T23:02:35,19.050558,72.859206,POLICE_CHECKPOINT_BANDRA,0.89,True
SIGHT_000066,VEH_2277,2026-12-26T19:05:42,19.01349,72.836518,POLICE_CHECKPOINT_BANDRA,0.87,True
SIGHT_000067,VEH_1216,2025-07-08T01:54:40,18.923648,72.793266,ANPR_BKC_01,0.93,True
SIGHT_000068,VEH_2221,2025-03-21T12:25:25,18.950758,72.892774,CCTV_DHARAVI_JCT,0.86,True
SIGHT_000069,VEH_2393,2026-05-30T19:44:18,19.27616,72.972984,ANPR_VASHI_TOLL,0.86,True
SIGHT_000070,VEH_2081,2025-04-03T14:35:21,18.969221,72.959798,ANPR_VASHI_TOLL,0.86,True
SIGHT_000071,VEH_0279,2027-01-07T22:16:39,18.901633,72.775442,ANPR_VASHI_TOLL,0.91,True
SIGHT_000072,VEH_2334,2025-09-18T00:25:04,19.128245,72.904528,ANPR_BKC_01,0.94,True
SIGHT_000073,VEH_1718,2026-12-23T23:35:39,19.250892,72.773928,CCTV_DHARAVI_JCT,0.98,True
SIGHT_000074,VEH_0837,2027-01-04T16:09:13,18.917302,72.756154,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000075,VEH_1622,2025-04-18T14:18:38,19.063651,72.893015,CCTV_DHARAVI_JCT,0.91,True
SIGHT_000076,VEH_0298,2025-01-18T01:53:46,18.932872,72.934828,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000077,VEH_2307,2025-04-09T01:53:59,19.047285,72.920785,ANPR_BKC_01,0.93,True
SIGHT_000078,VEH_2073,2025-10-13T15:15:21,19.058422,72.925155,ANPR_VASHI_TOLL,0.98,True
SIGHT_000079,VEH_0282,2027-09-07T13:23:33,19.277496,72.866139,ANPR_VASHI_TOLL,0.9,True
SIGHT_000080,VEH_0647,2026-04-24T12:50:10,19.064155,72.950461,CCTV_DHARAVI_JCT,0.94,True
SIGHT_000081,VEH_2167,2025-01-16T09:40:03,19.009854,72.763743,CCTV_DHARAVI_JCT,0.98,True
SIGHT_000082,VEH_0425,2027-11-20T10:22:26,19.040161,72.763439,ANPR_VASHI_TOLL,0.89,True
SIGHT_000083,VEH_0439,2027-03-28T12:34:28,19.158578,72.935852,ANPR_VASHI_TOLL,0.89,True
SIGHT_000084,VEH_2478,2025-07-02T19:20:04,18.949184,72.914894,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000085,VEH_1082,2026-06-20T01:34:43,19.209002,72.984237,POLICE_CHECKPOINT_BANDRA,0.89,True
SIGHT_000086,VEH_0209,2025-04-07T11:29:19,19.072515,72.983484,POLICE_CHECKPOINT_BANDRA,0.97,True
SIGHT_000087,VEH_0181,2025-01-07T05:26:37,19.237965,72.857636,CCTV_DHARAVI_JCT,0.96,True
SIGHT_000088,VEH_1073,2025-05-09T10:57:49,18.880214,72.908503,POLICE_CHECKPOINT_BANDRA,0.93,True
SIGHT_000089,VEH_1752,2026-08-25T10:18:21,18.932872,72.934828,ANPR_BKC_01,0.87,True
SIGHT_000090,VEH_0611,2026-08-11T13:52:05,19.268642,72.878973,ANPR_BKC_01,0.97,True
SIGHT_000091,VEH_2386,2026-08-21T11:57:34,19.250892,72.773928,ANPR_VASHI_TOLL,0.91,True
SIGHT_000092,VEH_0172,2025-12-05T07:50:21,19.133717,72.90334,CCTV_DHARAVI_JCT,0.98,True
SIGHT_000093,VEH_0164,2027-10-09T01:11:28,19.10086,72.791066,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000094,VEH_1023,2026-12-30T07:12:08,19.269249,72.87516,ANPR_BKC_01,0.9,True
SIGHT_000095,VEH_2294,2027-09-13T12:20:38,18.994127,72.817238,POLICE_CHECKPOINT_BANDRA,0.99,True
SIGHT_000096,VEH_0634,2027-11-10T17:56:09,19.262042,72.838862,ANPR_VASHI_TOLL,0.97,True
SIGHT_000097,VEH_0726,2027-09-10T21:25:39,18.908454,72.920557,POLICE_CHECKPOINT_BANDRA,0.85,True
SIGHT_000098,VEH_1361,2027-05-18T17:36:12,19.237965,72.857636,POLICE_CHECKPOINT_BANDRA,0.96,True
SIGHT_000099,VEH_1017,2025-10-16T16:02:13,19.268642,72.878973,ANPR_VASHI_TOLL,0.96,True
SIGHT_000100,VEH_0443,2026-03-07T15:17:49,19.22801,72.902233,ANPR_BKC_01,0.97,True
SIGHT_000101,VEH_0912,2025-06-18T09:52:17,18.985121,72.923349,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000102,VEH_0933,2025-07-16T00:57:25,19.256777,72.86559,ANPR_BKC_01,0.94,True
SIGHT_000103,VEH_1633,2025-12-29T20:04:20,18.975644,72.989282,CCTV_DHARAVI_JCT,0.97,True
SIGHT_000104,VEH_1144,2026-01-26T14:21:57,19.136087,72.826845,POLICE_CHECKPOINT_BANDRA,0.95,True
SIGHT_000105,VEH_2197,2026-01-01T12:48:25,18.913298,72.919311,ANPR_BKC_01,0.87,True
SIGHT_000106,VEH_1070,2025-05-27T22:44:45,19.233761,72.943794,CCTV_DHARAVI_JCT,0.86,True
SIGHT_000107,VEH_2444,2026-04-22T18:50:11,18.920094,72.876427,CCTV_DHARAVI_JCT,0.95,True
SIGHT_000108,VEH_1285,2026-04-23T13:10:19,19.206739,72.802953,ANPR_BKC_01,0.9,True
SIGHT_000109,VEH_2362,2025-06-11T07:24:45,18.931548,72.902706,CCTV_DHARAVI_JCT,0.86,True
SIGHT_000110,VEH_1787,2025-01-05T14:55:36,19.201891,72.784229,ANPR_VASHI_TOLL,0.9,True
SIGHT_000111,VEH_0287,2027-11-29T16:06:48,19.237965,72.857636,CCTV_DHARAVI_JCT,0.94,True
SIGHT_000112,VEH_0511,2027-03-02T01:49:32,19.143703,72.815992,CCTV_DHARAVI_JCT,0.92,True
SIGHT_000113,VEH_1673,2025-12-27T23:42:12,18.883042,72.839915,POLICE_CHECKPOINT_BANDRA,0.95,True
SIGHT_000114,VEH_2271,2025-04-17T15:00:08,19.261058,72.914081,ANPR_VASHI_TOLL,0.91,True
SIGHT_000115,VEH_1553,2027-01-09T19:46:16,18.964013,72.842172,ANPR_VASHI_TOLL,0.94,True
SIGHT_000116,VEH_1233,2026-04-02T20:20:42,19.169041,72.915148,ANPR_BKC_01,0.89,True
SIGHT_000117,VEH_0861,2026-04-22T00:20:31,19.261058,72.914081,CCTV_DHARAVI_JCT,0.92,True
SIGHT_000118,VEH_1812,2027-01-07T22:16:39,18.901633,72.775442,ANPR_VASHI_TOLL,0.92,True
SIGHT_000119,VEH_0696,2026-12-24T19:40:04,19.136087,72.826845,ANPR_BKC_01,0.89,True
SIGHT_000120,VEH_1373,2025-04-07T22:33:55,19.047285,72.920785,ANPR_VASHI_TOLL,0.94,True
SIGHT_000121,VEH_0921,2027-06-16T08:52:26,19.01349,72.836518,ANPR_VASHI_TOLL,0.87,True
SIGHT_000122,VEH_0190,2025-09-13T02:52:37,19.277496,72.866139,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000123,VEH_0299,2026-05-08T09:59:52,19.126587,72.771825,POLICE_CHECKPOINT_BANDRA,0.97,True
SIGHT_000124,VEH_2358,2025-06-16T14:24:16,19.154947,72.795084,POLICE_CHECKPOINT_BANDRA,0.92,True
SIGHT_000125,VEH_1000,2025-04-25T08:33:04,19.250892,72.773928,ANPR_BKC_01,0.97,True
SIGHT_000126,VEH_0437,2027-05-12T08:46:44,19.161864,72.97212,POLICE_CHECKPOINT_BANDRA,0.88,True
SIGHT_000127,VEH_2122,2026-05-18T04:43:29,19.20109,72.869676,ANPR_BKC_01,0.93,True
SIGHT_000128,VEH_0498,2026-05-09T12:19:35,19.01349,72.836518,ANPR_VASHI_TOLL,0.96,True
SIGHT_000129,VEH_2176,2026-08-24T22:10:07,19.007113,72.826829,CCTV_DHARAVI_JCT,0.98,True
SIGHT_000130,VEH_1813,2026-10-26T11:48:43,19.135355,72.889045,POLICE_CHECKPOINT_BANDRA,0.97,True
SIGHT_000131,VEH_2245,2026-04-28T20:02:12,19.042027,72.821601,ANPR_VASHI_TOLL,0.95,True
SIGHT_000132,VEH_1945,2026-05-02T02:42:24,19.020884,72.880192,CCTV_DHARAVI_JCT,0.96,True
SIGHT_000133,VEH_1136,2027-04-24T23:30:56,19.266236,72.854828,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000134,VEH_1125,2026-04-25T09:00:06,19.269249,72.87516,ANPR_BKC_01,0.95,True
SIGHT_000135,VEH_0961,2025-10-21T19:46:51,19.228102,72.983169,CCTV_DHARAVI_JCT,0.89,True
SIGHT_000136,VEH_2213,2025-04-03T14:35:21,18.969221,72.959798,ANPR_VASHI_TOLL,0.87,True
SIGHT_000137,VEH_1569,2027-02-01T07:57:48,19.118844,72.931565,ANPR_VASHI_TOLL,0.95,True
SIGHT_000138,VEH_0264,2026-04-09T07:50:55,19.274457,72.984836,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000139,VEH_1909,2026-04-09T12:00:04,19.158578,72.935852,ANPR_BKC_01,0.88,True
SIGHT_000140,VEH_1721,2026-03-14T07:25:24,18.894594,72.92897,ANPR_BKC_01,0.97,True
SIGHT_000141,VEH_2359,2026-03-04T14:44:48,19.054425,72.977123,POLICE_CHECKPOINT_BANDRA,0.85,True
SIGHT_000142,VEH_1441,2025-11-23T07:18:46,19.217934,72.978491,POLICE_CHECKPOINT_BANDRA,0.97,True
SIGHT_000143,VEH_1717,2026-08-04T12:11:54,19.108759,72.892107,ANPR_VASHI_TOLL,0.92,True
SIGHT_000144,VEH_1118,2026-04-23T13:10:19,19.206739,72.802953,POLICE_CHECKPOINT_BANDRA,0.85,True
SIGHT_000145,VEH_1377,2027-01-04T04:41:04,19.22675,72.777549,POLICE_CHECKPOINT_BANDRA,0.95,True
SIGHT_000146,VEH_1915,2027-11-05T22:07:15,18.960929,72.865302,ANPR_VASHI_TOLL,0.99,True
SIGHT_000147,VEH_2188,2025-02-08T10:32:10,19.187014,72.834626,POLICE_CHECKPOINT_BANDRA,0.93,True
SIGHT_000148,VEH_0112,2025-04-04T13:34:03,19.173233,72.917069,POLICE_CHECKPOINT_BANDRA,0.87,True
SIGHT_000149,VEH_1892,2025-06-01T22:37:19,18.975889,72.965498,ANPR_BKC_01,0.89,True
SIGHT_000150,VEH_1341,2025-07-03T03:40:24,19.006914,72.989145,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000151,VEH_1553,2025-10-27T00:36:20,19.275815,72.800393,POLICE_CHECKPOINT_BANDRA,0.89,True
SIGHT_000152,VEH_0336,2026-05-25T13:10:53,19.202376,72.774915,ANPR_BKC_01,0.95,True
SIGHT_000153,VEH_0214,2027-12-03T19:34:28,19.128245,72.904528,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000154,VEH_0282,2027-05-17T20:10:33,19.250899,72.814904,ANPR_BKC_01,0.96,True
SIGHT_000155,VEH_1013,2025-06-18T09:52:17,18.985121,72.923349,ANPR_BKC_01,0.94,True
SIGHT_000156,VEH_0978,2025-04-17T02:55:00,18.920269,72.940906,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000157,VEH_2311,2027-11-28T16:33:20,19.105496,72.939654,ANPR_VASHI_TOLL,0.92,True
SIGHT_000158,VEH_1050,2027-05-04T00:56:19,18.976999,72.948677,CCTV_DHARAVI_JCT,0.87,True
SIGHT_000159,VEH_2488,2027-12-16T18:06:51,19.047285,72.920785,ANPR_BKC_01,0.96,True
SIGHT_000160,VEH_0671,2027-12-16T23:00:02,19.258508,72.943782,CCTV_DHARAVI_JCT,0.87,True
SIGHT_000161,VEH_0106,2027-11-12T16:09:48,19.275815,72.800393,CCTV_DHARAVI_JCT,0.93,True
SIGHT_000162,VEH_1538,2026-03-24T05:37:33,19.126504,72.848707,ANPR_VASHI_TOLL,0.86,True
SIGHT_000163,VEH_0995,2025-04-10T08:31:32,19.267332,72.96217,CCTV_DHARAVI_JCT,0.97,True
SIGHT_000164,VEH_2460,2027-06-09T17:32:36,19.180291,72.842196,ANPR_BKC_01,0.96,True
SIGHT_000165,VEH_2319,2027-05-18T17:36:12,19.237965,72.857636,ANPR_BKC_01,0.9,True
SIGHT_000166,VEH_1755,2026-12-26T19:05:42,19.01349,72.836518,CCTV_DHARAVI_JCT,0.86,True
SIGHT_000167,VEH_1398,2025-01-18T20:05:05,19.161237,72.806446,POLICE_CHECKPOINT_BANDRA,0.97,True
SIGHT_000168,VEH_0433,2026-04-22T09:32:42,19.019575,72.862437,CCTV_DHARAVI_JCT,0.94,True
SIGHT_000169,VEH_1884,2027-02-18T07:54:04,19.252533,72.870929,ANPR_VASHI_TOLL,0.91,True
SIGHT_000170,VEH_2138,2027-12-17T08:02:52,19.136087,72.826845,CCTV_DHARAVI_JCT,0.94,True
SIGHT_000171,VEH_2205,2027-05-09T22:12:43,19.035655,72.752384,POLICE_CHECKPOINT_BANDRA,0.92,True
SIGHT_000172,VEH_2427,2025-10-19T19:06:05,19.22801,72.902233,CCTV_DHARAVI_JCT,0.97,True
SIGHT_000173,VEH_0355,2025-10-27T02:56:06,19.265346,72.821257,POLICE_CHECKPOINT_BANDRA,0.88,True
SIGHT_000174,VEH_1904,2026-09-02T22:33:03,19.139458,72.901844,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000175,VEH_2025,2027-08-01T10:51:50,18.969221,72.959798,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000176,VEH_0869,2026-01-30T20:31:45,18.96871,72.852258,CCTV_DHARAVI_JCT,0.9,True
SIGHT_000177,VEH_2442,2027-02-13T23:39:40,19.250899,72.814904,CCTV_DHARAVI_JCT,0.93,True
SIGHT_000178,VEH_2117,2027-11-28T16:33:20,19.105496,72.939654,ANPR_VASHI_TOLL,0.86,True
SIGHT_000179,VEH_1665,2026-06-08T05:22:22,19.009493,72.986728,ANPR_VASHI_TOLL,0.95,True
SIGHT_000180,VEH_2011,2026-04-29T22:55:44,19.250892,72.773928,ANPR_BKC_01,0.86,True
SIGHT_000181,VEH_0908,2026-04-01T03:23:16,19.090905,72.774701,ANPR_VASHI_TOLL,0.89,True
SIGHT_000182,VEH_2383,2026-02-18T16:57:49,19.214935,72.788173,POLICE_CHECKPOINT_BANDRA,0.93,True
SIGHT_000183,VEH_1409,2026-04-18T07:54:37,19.267332,72.96217,CCTV_DHARAVI_JCT,0.9,True
SIGHT_000184,VEH_1859,2025-10-21T18:29:00,19.013713,72.776767,CCTV_DHARAVI_JCT,0.89,True
SIGHT_000185,VEH_0495,2027-03-04T12:34:02,19.255439,72.893913,ANPR_VASHI_TOLL,0.89,True
SIGHT_000186,VEH_2195,2027-12-03T18:22:12,19.202376,72.774915,ANPR_VASHI_TOLL,0.88,True
SIGHT_000187,VEH_1984,2025-10-26T15:06:27,19.159898,72.884592,CCTV_DHARAVI_JCT,0.99,True
SIGHT_000188,VEH_0796,2025-11-20T15:30:51,19.119845,72.913064,ANPR_VASHI_TOLL,0.9,True
SIGHT_000189,VEH_1239,2025-01-20T20:29:52,19.070731,72.892542,ANPR_VASHI_TOLL,0.89,True
SIGHT_000190,VEH_0224,2026-08-21T13:03:32,19.268642,72.878973,CCTV_DHARAVI_JCT,0.95,True
SIGHT_000191,VEH_0518,2026-11-30T09:40:16,18.975889,72.965498,POLICE_CHECKPOINT_BANDRA,0.86,True
SIGHT_000192,VEH_0051,2026-09-06T19:05:12,19.22801,72.902233,CCTV_DHARAVI_JCT,0.92,True
SIGHT_000193,VEH_1805,2026-01-13T16:42:41,18.889215,72.872819,ANPR_VASHI_TOLL,0.99,True
SIGHT_000194,VEH_1035,2027-11-21T02:42:00,19.160916,72.864293,POLICE_CHECKPOINT_BANDRA,0.87,True
SIGHT_000195,VEH_0268,2026-03-30T02:01:03,19.206186,72.823772,POLICE_CHECKPOINT_BANDRA,0.86,True
SIGHT_000196,VEH_0220,2025-04-28T11:37:33,19.047285,72.920785,ANPR_VASHI_TOLL,0.96,True
SIGHT_000197,VEH_1245,2025-04-04T20:08:32,18.975889,72.965498,ANPR_VASHI_TOLL,0.87,True
SIGHT_000198,VEH_1705,2026-10-17T13:59:54,19.002414,72.804556,ANPR_VASHI_TOLL,0.96,True
SIGHT_000199,VEH_1559,2026-05-02T23:33:10,19.180672,72.980097,POLICE_CHECKPOINT_BANDRA,0.89,True
SIGHT_000200,VEH_2411,2026-04-20T17:06:32,19.263206,72.886056,CCTV_DHARAVI_JCT,0.93,True
SIGHT_000201,VEH_0247,2026-10-22T22:26:48,19.246494,72.908816,ANPR_BKC_01,0.98,True
SIGHT_000202,VEH_0852,2026-11-13T19:31:22,19.237965,72.857636,ANPR_VASHI_TOLL,0.89,True
SIGHT_000203,VEH_0333,2025-05-01T14:12:53,19.041248,72.82635,ANPR_VASHI_TOLL,0.87,True
SIGHT_000204,VEH_0308,2025-05-01T14:12:53,19.041248,72.82635,ANPR_BKC_01,0.91,True
SIGHT_000205,VEH_2433,2026-05-25T13:10:53,19.202376,72.774915,CCTV_DHARAVI_JCT,0.85,True
SIGHT_000206,VEH_1181,2027-02-17T07:32:56,19.276912,72.896097,CCTV_DHARAVI_JCT,0.95,True
SIGHT_000207,VEH_1860,2025-03-31T22:51:46,19.100677,72.903213,ANPR_VASHI_TOLL,0.98,True
SIGHT_000208,VEH_2416,2026-12-26T19:05:42,19.01349,72.836518,ANPR_VASHI_TOLL,0.91,True
SIGHT_000209,VEH_2231,2025-07-21T22:40:33,19.250892,72.773928,ANPR_VASHI_TOLL,0.98,True
SIGHT_000210,VEH_0583,2025-04-01T09:35:22,19.277562,72.754117,ANPR_BKC_01,0.87,True
SIGHT_000211,VEH_1260,2026-09-30T13:39:52,19.008102,72.843744,CCTV_DHARAVI_JCT,0.91,True
SIGHT_000212,VEH_1920,2027-01-22T13:50:16,19.227013,72.941372,CCTV_DHARAVI_JCT,0.95,True
SIGHT_000213,VEH_1116,2026-06-17T16:59:46,19.133643,72.918502,POLICE_CHECKPOINT_BANDRA,0.91,True
SIGHT_000214,VEH_2450,2025-02-22T15:15:50,19.10086,72.791066,POLICE_CHECKPOINT_BANDRA,0.95,True
SIGHT_000215,VEH_2473,2025-09-26T16:33:58,19.024343,72.953839,ANPR_BKC_01,0.86,True
SIGHT_000216,VEH_2357,2026-09-22T17:49:38,19.098593,72.788013,ANPR_BKC_01,0.99,True
SIGHT_000217,VEH_1104,2026-09-12T18:28:17,19.217934,72.978491,ANPR_BKC_01,0.96,True
SIGHT_000218,VEH_0718,2026-05-25T13:10:53,19.202376,72.774915,POLICE_CHECKPOINT_BANDRA,0.98,True
SIGHT_000219,VEH_0744,2026-09-18T20:27:00,19.024227,72.944408,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000220,VEH_2015,2027-12-20T02:39:05,19.112493,72.757833,ANPR_BKC_01,0.92,True
SIGHT_000221,VEH_1673,2026-01-05T17:16:03,19.237965,72.857636,CCTV_DHARAVI_JCT,0.94,True
SIGHT_000222,VEH_0659,2025-12-31T01:52:14,18.992883,72.879976,POLICE_CHECKPOINT_BANDRA,0.95,True
SIGHT_000223,VEH_1181,2026-12-28T01:46:20,19.112666,72.943856,POLICE_CHECKPOINT_BANDRA,0.96,True
SIGHT_000224,VEH_2254,2025-02-13T22:24:18,19.206357,72.899499,POLICE_CHECKPOINT_BANDRA,0.86,True
SIGHT_000225,VEH_1034,2025-12-25T22:21:00,19.169041,72.915148,ANPR_BKC_01,0.99,True
SIGHT_000226,VEH_1656,2027-08-21T03:36:18,19.058992,72.781487,ANPR_BKC_01,0.94,True
SIGHT_000227,VEH_2223,2026-05-17T12:30:56,19.112386,72.851242,POLICE_CHECKPOINT_BANDRA,0.86,True
SIGHT_000228,VEH_2124,2026-02-08T04:07:51,18.993442,72.961106,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000229,VEH_0212,2025-06-21T19:50:26,19.108759,72.892107,CCTV_DHARAVI_JCT,0.93,True
