location_alias_id,location_id,source_text,normalized_text,synthetic_demo_record
LOC_ALIAS_0113,LOC_0113,Colloquial spot near Malad Link Road,Malad Link Road Sector-113,True
LOC_ALIAS_0114,LOC_0114,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-114,True
LOC_ALIAS_0115,LOC_0115,Colloquial spot near Byculla Market,Byculla Market Sector-115,True
LOC_ALIAS_0116,LOC_0116,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-116,True
LOC_ALIAS_0117,LOC_0117,Colloquial spot near Thane Station West,Thane Station West Sector-117,True
LOC_ALIAS_0118,LOC_0118,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-118,True
LOC_ALIAS_0119,LOC_0119,Colloquial spot near Sion Circle,Sion Circle Sector-119,True
LOC_ALIAS_0120,LOC_0120,Colloquial spot near Tardeo Road,Tardeo Road Sector-120,True
LOC_ALIAS_0121,LOC_0121,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-121,True
LOC_ALIAS_0122,LOC_0122,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-122,True
LOC_ALIAS_0123,LOC_0123,Colloquial spot near Crawford Market,Crawford Market Sector-123,True
LOC_ALIAS_0124,LOC_0124,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-124,True
LOC_ALIAS_0125,LOC_0125,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-125,True
LOC_ALIAS_0126,LOC_0126,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-126,True
LOC_ALIAS_0127,LOC_0127,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-127,True
LOC_ALIAS_0128,LOC_0128,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-128,True
LOC_ALIAS_0129,LOC_0129,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-129,True
LOC_ALIAS_0130,LOC_0130,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-130,True
LOC_ALIAS_0131,LOC_0131,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-131,True
LOC_ALIAS_0132,LOC_0132,Colloquial spot near Chembur Colony,Chembur Colony Sector-132,True
LOC_ALIAS_0133,LOC_0133,Colloquial spot near Malad Link Road,Malad Link Road Sector-133,True
LOC_ALIAS_0134,LOC_0134,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-134,True
LOC_ALIAS_0135,LOC_0135,Colloquial spot near Byculla Market,Byculla Market Sector-135,True
LOC_ALIAS_0136,LOC_0136,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-136,True
LOC_ALIAS_0137,LOC_0137,Colloquial spot near Thane Station West,Thane Station West Sector-137,True
LOC_ALIAS_0138,LOC_0138,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-138,True
LOC_ALIAS_0139,LOC_0139,Colloquial spot near Sion Circle,Sion Circle Sector-139,True
LOC_ALIAS_0140,LOC_0140,Colloquial spot near Tardeo Road,Tardeo Road Sector-140,True
LOC_ALIAS_0141,LOC_0141,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-141,True
LOC_ALIAS_0142,LOC_0142,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-142,True
LOC_ALIAS_0143,LOC_0143,Colloquial spot near Crawford Market,Crawford Market Sector-143,True
LOC_ALIAS_0144,LOC_0144,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-144,True
LOC_ALIAS_0145,LOC_0145,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-145,True
LOC_ALIAS_0146,LOC_0146,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-146,True
LOC_ALIAS_0147,LOC_0147,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-147,True
LOC_ALIAS_0148,LOC_0148,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-148,True
LOC_ALIAS_0149,LOC_0149,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-149,True
LOC_ALIAS_0150,LOC_0150,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-150,True
LOC_ALIAS_0151,LOC_0151,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-151,True
LOC_ALIAS_0152,LOC_0152,Colloquial spot near Chembur Colony,Chembur Colony Sector-152,True
LOC_ALIAS_0153,LOC_0153,Colloquial spot near Malad Link Road,Malad Link Road Sector-153,True
LOC_ALIAS_0154,LOC_0154,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-154,True
LOC_ALIAS_0155,LOC_0155,Colloquial spot near Byculla Market,Byculla Market Sector-155,True
LOC_ALIAS_0156,LOC_0156,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-156,True
LOC_ALIAS_0157,LOC_0157,Colloquial spot near Thane Station West,Thane Station West Sector-157,True
LOC_ALIAS_0158,LOC_0158,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-158,True
LOC_ALIAS_0159,LOC_0159,Colloquial spot near Sion Circle,Sion Circle Sector-159,True
LOC_ALIAS_0160,LOC_0160,Colloquial spot near Tardeo Road,Tardeo Road Sector-160,True
LOC_ALIAS_0161,LOC_0161,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-161,True
LOC_ALIAS_0162,LOC_0162,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-162,True
LOC_ALIAS_0163,LOC_0163,Colloquial spot near Crawford Market,Crawford Market Sector-163,True
LOC_ALIAS_0164,LOC_0164,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-164,True
LOC_ALIAS_0165,LOC_0165,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-165,True
LOC_ALIAS_0166,LOC_0166,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-166,True
LOC_ALIAS_0167,LOC_0167,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-167,True
LOC_ALIAS_0168,LOC_0168,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-168,True
LOC_ALIAS_0169,LOC_0169,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-169,True
LOC_ALIAS_0170,LOC_0170,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-170,True
LOC_ALIAS_0171,LOC_0171,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-171,True
LOC_ALIAS_0172,LOC_0172,Colloquial spot near Chembur Colony,Chembur Colony Sector-172,True
LOC_ALIAS_0173,LOC_0173,Colloquial spot near Malad Link Road,Malad Link Road Sector-173,True
LOC_ALIAS_0174,LOC_0174,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-174,True
LOC_ALIAS_0175,LOC_0175,Colloquial spot near Byculla Market,Byculla Market Sector-175,True
LOC_ALIAS_0176,LOC_0176,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-176,True
LOC_ALIAS_0177,LOC_0177,Colloquial spot near Thane Station West,Thane Station West Sector-177,True
LOC_ALIAS_0178,LOC_0178,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-178,True
LOC_ALIAS_0179,LOC_0179,Colloquial spot near Sion Circle,Sion Circle Sector-179,True
LOC_ALIAS_0180,LOC_0180,Colloquial spot near Tardeo Road,Tardeo Road Sector-180,True
LOC_ALIAS_0181,LOC_0181,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-181,True
LOC_ALIAS_0182,LOC_0182,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-182,True
LOC_ALIAS_0183,LOC_0183,Colloquial spot near Crawford Market,Crawford Market Sector-183,True
LOC_ALIAS_0184,LOC_0184,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-184,True
LOC_ALIAS_0185,LOC_0185,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-185,True
LOC_ALIAS_0186,LOC_0186,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-186,True
LOC_ALIAS_0187,LOC_0187,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-187,True
LOC_ALIAS_0188,LOC_0188,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-188,True
LOC_ALIAS_0189,LOC_0189,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-189,True
LOC_ALIAS_0190,LOC_0190,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-190,True
LOC_ALIAS_0191,LOC_0191,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-191,True
LOC_ALIAS_0192,LOC_0192,Colloquial spot near Chembur Colony,Chembur Colony Sector-192,True
LOC_ALIAS_0193,LOC_0193,Colloquial spot near Malad Link Road,Malad Link Road Sector-193,True
LOC_ALIAS_0194,LOC_0194,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-194,True
LOC_ALIAS_0195,LOC_0195,Colloquial spot near Byculla Market,Byculla Market Sector-195,True
LOC_ALIAS_0196,LOC_0196,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-196,True
LOC_ALIAS_0197,LOC_0197,Colloquial spot near Thane Station West,Thane Station West Sector-197,True
LOC_ALIAS_0198,LOC_0198,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-198,True
LOC_ALIAS_0199,LOC_0199,Colloquial spot near Sion Circle,Sion Circle Sector-199,True
LOC_ALIAS_0200,LOC_0200,Colloquial spot near Tardeo Road,Tardeo Road Sector-200,True
LOC_ALIAS_0201,LOC_0201,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-201,True
LOC_ALIAS_0202,LOC_0202,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-202,True
LOC_ALIAS_0203,LOC_0203,Colloquial spot near Crawford Market,Crawford Market Sector-203,True
LOC_ALIAS_0204,LOC_0204,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-204,True
LOC_ALIAS_0205,LOC_0205,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-205,True
LOC_ALIAS_0206,LOC_0206,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-206,True
LOC_ALIAS_0207,LOC_0207,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-207,True
LOC_ALIAS_0208,LOC_0208,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-208,True
LOC_ALIAS_0209,LOC_0209,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-209,True
LOC_ALIAS_0210,LOC_0210,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-210,True
LOC_ALIAS_0211,LOC_0211,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-211,True
LOC_ALIAS_0212,LOC_0212,Colloquial spot near Chembur Colony,Chembur Colony Sector-212,True
LOC_ALIAS_0213,LOC_0213,Colloquial spot near Malad Link Road,Malad Link Road Sector-213,True
LOC_ALIAS_0214,LOC_0214,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-214,True
LOC_ALIAS_0215,LOC_0215,Colloquial spot near Byculla Market,Byculla Market Sector-215,True
LOC_ALIAS_0216,LOC_0216,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-216,True
LOC_ALIAS_0217,LOC_0217,Colloquial spot near Thane Station West,Thane Station West Sector-217,True
LOC_ALIAS_0218,LOC_0218,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-218,True
LOC_ALIAS_0219,LOC_0219,Colloquial spot near Sion Circle,Sion Circle Sector-219,True
LOC_ALIAS_0220,LOC_0220,Colloquial spot near Tardeo Road,Tardeo Road Sector-220,True
LOC_ALIAS_0221,LOC_0221,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-221,True
LOC_ALIAS_0222,LOC_0222,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-222,True
LOC_ALIAS_0223,LOC_0223,Colloquial spot near Crawford Market,Crawford Market Sector-223,True
LOC_ALIAS_0224,LOC_0224,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-224,True
LOC_ALIAS_0225,LOC_0225,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-225,True
LOC_ALIAS_0226,LOC_0226,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-226,True
LOC_ALIAS_0227,LOC_0227,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-227,True
LOC_ALIAS_0228,LOC_0228,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-228,True
LOC_ALIAS_0229,LOC_0229,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-229,True
LOC_ALIAS_0230,LOC_0230,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-230,True
LOC_ALIAS_0231,LOC_0231,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-231,True
LOC_ALIAS_0232,LOC_0232,Colloquial spot near Chembur Colony,Chembur Colony Sector-232,True
LOC_ALIAS_0233,LOC_0233,Colloquial spot near Malad Link Road,Malad Link Road Sector-233,True
LOC_ALIAS_0234,LOC_0234,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-234,True
LOC_ALIAS_0235,LOC_0235,Colloquial spot near Byculla Market,Byculla Market Sector-235,True
LOC_ALIAS_0236,LOC_0236,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-236,True
LOC_ALIAS_0237,LOC_0237,Colloquial spot near Thane Station West,Thane Station West Sector-237,True
LOC_ALIAS_0238,LOC_0238,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-238,True
LOC_ALIAS_0239,LOC_0239,Colloquial spot near Sion Circle,Sion Circle Sector-239,True
LOC_ALIAS_0240,LOC_0240,Colloquial spot near Tardeo Road,Tardeo Road Sector-240,True
LOC_ALIAS_0241,LOC_0241,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-241,True
LOC_ALIAS_0242,LOC_0242,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-242,True
LOC_ALIAS_0243,LOC_0243,Colloquial spot near Crawford Market,Crawford Market Sector-243,True
LOC_ALIAS_0244,LOC_0244,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-244,True
LOC_ALIAS_0245,LOC_0245,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-245,True
LOC_ALIAS_0246,LOC_0246,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-246,True
LOC_ALIAS_0247,LOC_0247,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-247,True
LOC_ALIAS_0248,LOC_0248,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-248,True
LOC_ALIAS_0249,LOC_0249,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-249,True
LOC_ALIAS_0250,LOC_0250,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-250,True
