relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,valid_from,valid_to,first_seen,last_seen,frequency,confidence,relationship_status,source_evidence_id,created_by,model_name,model_version,synthetic_demo_record
REL_000015,P_02673,Person,P_04743,Person,CALLS,2027-04-05T17:18:16,2027-04-05T17:18:16,2027-04-05T17:18:16,2027-04-05T17:18:16,1,0.95,observed,EVI_CDR_CDR_000015,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000016,P_02204,Person,P_01356,Person,CALLS,2026-02-08T04:07:51,2026-02-08T04:07:51,2026-02-08T04:07:51,2026-02-08T04:07:51,1,0.95,observed,EVI_CDR_CDR_000016,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000017,P_00546,Person,P_03589,Person,CALLS,2025-04-07T06:19:00,2025-04-07T06:19:00,2025-04-07T06:19:00,2025-04-07T06:19:00,1,0.95,observed,EVI_CDR_CDR_000017,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000018,P_01385,Person,P_04518,Person,CALLS,2026-11-17T18:34:00,2026-11-17T18:34:00,2026-11-17T18:34:00,2026-11-17T18:34:00,1,0.95,observed,EVI_CDR_CDR_000018,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000019,P_04963,Person,P_04063,Person,CALLS,2025-03-23T22:50:13,2025-03-23T22:50:13,2025-03-23T22:50:13,2025-03-23T22:50:13,1,0.95,observed,EVI_CDR_CDR_000019,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000020,P_03289,Person,P_02151,Person,CALLS,2026-07-27T02:42:22,2026-07-27T02:42:22,2026-07-27T02:42:22,2026-07-27T02:42:22,1,0.95,observed,EVI_CDR_CDR_000020,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000021,P_01228,Person,P_02291,Person,CALLS,2027-03-04T12:34:02,2027-03-04T12:34:02,2027-03-04T12:34:02,2027-03-04T12:34:02,1,0.95,observed,EVI_CDR_CDR_000021,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000022,P_00567,Person,P_03180,Person,CALLS,2025-10-16T16:02:13,2025-10-16T16:02:13,2025-10-16T16:02:13,2025-10-16T16:02:13,1,0.95,observed,EVI_CDR_CDR_000022,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000023,P_04343,Person,P_02914,Person,CALLS,2025-11-15T11:54:00,2025-11-15T11:54:00,2025-11-15T11:54:00,2025-11-15T11:54:00,1,0.95,observed,EVI_CDR_CDR_000023,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000024,P_00868,Person,P_00710,Person,CALLS,2027-12-05T10:56:18,2027-12-05T10:56:18,2027-12-05T10:56:18,2027-12-05T10:56:18,1,0.95,observed,EVI_CDR_CDR_000024,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000025,P_03922,Person,P_00930,Person,CALLS,2027-04-19T08:14:03,2027-04-19T08:14:03,2027-04-19T08:14:03,2027-04-19T08:14:03,1,0.95,observed,EVI_CDR_CDR_000025,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000026,P_04584,Person,P_02252,Person,CALLS,2026-11-13T19:31:22,2026-11-13T19:31:22,2026-11-13T19:31:22,2026-11-13T19:31:22,1,0.95,observed,EVI_CDR_CDR_000026,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000027,P_03819,Person,P_04584,Person,CALLS,2025-06-18T06:33:03,2025-06-18T06:33:03,2025-06-18T06:33:03,2025-06-18T06:33:03,1,0.95,observed,EVI_CDR_CDR_000027,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000028,P_01048,Person,P_03663,Person,CALLS,2027-12-05T10:56:18,2027-12-05T10:56:18,2027-12-05T10:56:18,2027-12-05T10:56:18,1,0.95,observed,EVI_CDR_CDR_000028,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000029,P_03373,Person,P_01925,Person,CALLS,2025-12-25T22:21:00,2025-12-25T22:21:00,2025-12-25T22:21:00,2025-12-25T22:21:00,1,0.95,observed,EVI_CDR_CDR_000029,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000030,P_02319,Person,P_02007,Person,CALLS,2026-02-08T05:02:11,2026-02-08T05:02:11,2026-02-08T05:02:11,2026-02-08T05:02:11,1,0.95,observed,EVI_CDR_CDR_000030,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000031,P_03002,Person,P_04987,Person,CALLS,2025-09-06T00:30:46,2025-09-06T00:30:46,2025-09-06T00:30:46,2025-09-06T00:30:46,1,0.95,observed,EVI_CDR_CDR_000031,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000032,P_03295,Person,P_02140,Person,CALLS,2026-06-04T16:27:25,2026-06-04T16:27:25,2026-06-04T16:27:25,2026-06-04T16:27:25,1,0.95,observed,EVI_CDR_CDR_000032,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000033,P_04753,Person,P_02880,Person,CALLS,2025-04-16T15:40:46,2025-04-16T15:40:46,2025-04-16T15:40:46,2025-04-16T15:40:46,1,0.95,observed,EVI_CDR_CDR_000033,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000034,P_02206,Person,P_01920,Person,CALLS,2025-05-10T21:39:53,2025-05-10T21:39:53,2025-05-10T21:39:53,2025-05-10T21:39:53,1,0.95,observed,EVI_CDR_CDR_000034,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000035,P_00581,Person,P_01352,Person,CALLS,2027-12-16T23:00:02,2027-12-16T23:00:02,2027-12-16T23:00:02,2027-12-16T23:00:02,1,0.95,observed,EVI_CDR_CDR_000035,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000036,P_02620,Person,P_03048,Person,CALLS,2025-06-18T10:30:27,2025-06-18T10:30:27,2025-06-18T10:30:27,2025-06-18T10:30:27,1,0.95,observed,EVI_CDR_CDR_000036,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000037,P_02858,Person,P_02040,Person,CALLS,2026-12-16T05:38:09,2026-12-16T05:38:09,2026-12-16T05:38:09,2026-12-16T05:38:09,1,0.95,observed,EVI_CDR_CDR_000037,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000038,P_01740,Person,P_03757,Person,CALLS,2025-04-14T12:53:58,2025-04-14T12:53:58,2025-04-14T12:53:58,2025-04-14T12:53:58,1,0.95,observed,EVI_CDR_CDR_000038,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000039,P_03317,Person,P_00408,Person,CALLS,2025-01-30T19:36:15,2025-01-30T19:36:15,2025-01-30T19:36:15,2025-01-30T19:36:15,1,0.95,observed,EVI_CDR_CDR_000039,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000040,P_03881,Person,P_02556,Person,CALLS,2025-07-11T03:36:27,2025-07-11T03:36:27,2025-07-11T03:36:27,2025-07-11T03:36:27,1,0.95,observed,EVI_CDR_CDR_000040,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000041,P_01860,Person,P_04480,Person,CALLS,2025-03-21T06:13:51,2025-03-21T06:13:51,2025-03-21T06:13:51,2025-03-21T06:13:51,1,0.95,observed,EVI_CDR_CDR_000041,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000042,P_03651,Person,P_02270,Person,CALLS,2025-12-31T23:29:59,2025-12-31T23:29:59,2025-12-31T23:29:59,2025-12-31T23:29:59,1,0.95,observed,EVI_CDR_CDR_000042,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000043,P_02069,Person,P_04635,Person,CALLS,2027-01-04T16:09:13,2027-01-04T16:09:13,2027-01-04T16:09:13,2027-01-04T16:09:13,1,0.95,observed,EVI_CDR_CDR_000043,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000044,P_00489,Person,P_02620,Person,CALLS,2027-03-06T07:18:38,2027-03-06T07:18:38,2027-03-06T07:18:38,2027-03-06T07:18:38,1,0.95,observed,EVI_CDR_CDR_000044,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000045,P_01212,Person,P_00980,Person,CALLS,2027-05-20T16:45:05,2027-05-20T16:45:05,2027-05-20T16:45:05,2027-05-20T16:45:05,1,0.95,observed,EVI_CDR_CDR_000045,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000046,P_03037,Person,P_01001,Person,CALLS,2025-04-08T14:28:09,2025-04-08T14:28:09,2025-04-08T14:28:09,2025-04-08T14:28:09,1,0.95,observed,EVI_CDR_CDR_000046,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000047,P_02117,Person,P_01918,Person,CALLS,2026-04-06T17:16:56,2026-04-06T17:16:56,2026-04-06T17:16:56,2026-04-06T17:16:56,1,0.95,observed,EVI_CDR_CDR_000047,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000048,P_00270,Person,P_01792,Person,CALLS,2026-12-19T07:56:09,2026-12-19T07:56:09,2026-12-19T07:56:09,2026-12-19T07:56:09,1,0.95,observed,EVI_CDR_CDR_000048,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000049,P_00812,Person,P_03183,Person,CALLS,2027-03-14T21:14:44,2027-03-14T21:14:44,2027-03-14T21:14:44,2027-03-14T21:14:44,1,0.95,observed,EVI_CDR_CDR_000049,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000050,P_01854,Person,P_00872,Person,CALLS,2025-06-11T07:24:45,2025-06-11T07:24:45,2025-06-11T07:24:45,2025-06-11T07:24:45,1,0.95,observed,EVI_CDR_CDR_000050,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000051,P_01463,Person,P_04486,Person,CALLS,2025-06-04T12:02:23,2025-06-04T12:02:23,2025-06-04T12:02:23,2025-06-04T12:02:23,1,0.95,observed,EVI_CDR_CDR_000051,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000052,P_04218,Person,P_00927,Person,CALLS,2027-11-09T22:25:28,2027-11-09T22:25:28,2027-11-09T22:25:28,2027-11-09T22:25:28,1,0.95,observed,EVI_CDR_CDR_000052,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000053,P_01198,Person,P_01044,Person,CALLS,2025-03-08T09:37:55,2025-03-08T09:37:55,2025-03-08T09:37:55,2025-03-08T09:37:55,1,0.95,observed,EVI_CDR_CDR_000053,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000054,P_02129,Person,P_02963,Person,CALLS,2027-11-10T23:02:35,2027-11-10T23:02:35,2027-11-10T23:02:35,2027-11-10T23:02:35,1,0.95,observed,EVI_CDR_CDR_000054,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000055,P_00955,Person,P_01235,Person,CALLS,2026-06-04T16:27:25,2026-06-04T16:27:25,2026-06-04T16:27:25,2026-06-04T16:27:25,1,0.95,observed,EVI_CDR_CDR_000055,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000056,P_03664,Person,P_04152,Person,CALLS,2025-03-21T06:13:51,2025-03-21T06:13:51,2025-03-21T06:13:51,2025-03-21T06:13:51,1,0.95,observed,EVI_CDR_CDR_000056,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000057,P_04685,Person,P_00942,Person,CALLS,2025-10-13T15:15:21,2025-10-13T15:15:21,2025-10-13T15:15:21,2025-10-13T15:15:21,1,0.95,observed,EVI_CDR_CDR_000057,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000058,P_04265,Person,P_03494,Person,CALLS,2027-02-07T05:48:05,2027-02-07T05:48:05,2027-02-07T05:48:05,2027-02-07T05:48:05,1,0.95,observed,EVI_CDR_CDR_000058,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000059,P_01711,Person,P_01326,Person,CALLS,2026-06-04T22:45:59,2026-06-04T22:45:59,2026-06-04T22:45:59,2026-06-04T22:45:59,1,0.95,observed,EVI_CDR_CDR_000059,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000060,P_03751,Person,P_01302,Person,CALLS,2027-12-19T11:12:07,2027-12-19T11:12:07,2027-12-19T11:12:07,2027-12-19T11:12:07,1,0.95,observed,EVI_CDR_CDR_000060,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000061,P_04984,Person,P_02379,Person,CALLS,2027-04-06T11:19:28,2027-04-06T11:19:28,2027-04-06T11:19:28,2027-04-06T11:19:28,1,0.95,observed,EVI_CDR_CDR_000061,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000062,P_01082,Person,P_00752,Person,CALLS,2026-05-30T19:44:18,2026-05-30T19:44:18,2026-05-30T19:44:18,2026-05-30T19:44:18,1,0.95,observed,EVI_CDR_CDR_000062,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000063,P_04103,Person,P_04264,Person,CALLS,2027-12-15T19:49:21,2027-12-15T19:49:21,2027-12-15T19:49:21,2027-12-15T19:49:21,1,0.95,observed,EVI_CDR_CDR_000063,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000064,P_00027,Person,P_03124,Person,CALLS,2026-09-30T13:39:52,2026-09-30T13:39:52,2026-09-30T13:39:52,2026-09-30T13:39:52,1,0.95,observed,EVI_CDR_CDR_000064,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000065,P_03562,Person,P_03260,Person,CALLS,2025-04-14T12:35:09,2025-04-14T12:35:09,2025-04-14T12:35:09,2025-04-14T12:35:09,1,0.95,observed,EVI_CDR_CDR_000065,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000066,P_03255,Person,P_00235,Person,CALLS,2025-02-22T15:15:50,2025-02-22T15:15:50,2025-02-22T15:15:50,2025-02-22T15:15:50,1,0.95,observed,EVI_CDR_CDR_000066,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000067,P_00520,Person,P_04657,Person,CALLS,2026-09-18T01:21:28,2026-09-18T01:21:28,2026-09-18T01:21:28,2026-09-18T01:21:28,1,0.95,observed,EVI_CDR_CDR_000067,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000068,P_04936,Person,P_04674,Person,CALLS,2025-10-10T08:11:13,2025-10-10T08:11:13,2025-10-10T08:11:13,2025-10-10T08:11:13,1,0.95,observed,EVI_CDR_CDR_000068,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000069,P_03769,Person,P_01763,Person,CALLS,2025-09-05T02:18:12,2025-09-05T02:18:12,2025-09-05T02:18:12,2025-09-05T02:18:12,1,0.95,observed,EVI_CDR_CDR_000069,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000070,P_03216,Person,P_00827,Person,CALLS,2026-12-10T16:38:49,2026-12-10T16:38:49,2026-12-10T16:38:49,2026-12-10T16:38:49,1,0.95,observed,EVI_CDR_CDR_000070,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000071,P_03346,Person,P_01860,Person,CALLS,2027-04-09T16:21:33,2027-04-09T16:21:33,2027-04-09T16:21:33,2027-04-09T16:21:33,1,0.95,observed,EVI_CDR_CDR_000071,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000072,P_03336,Person,P_02898,Person,CALLS,2026-08-27T13:26:33,2026-08-27T13:26:33,2026-08-27T13:26:33,2026-08-27T13:26:33,1,0.95,observed,EVI_CDR_CDR_000072,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000073,P_03351,Person,P_03148,Person,CALLS,2026-06-21T12:17:25,2026-06-21T12:17:25,2026-06-21T12:17:25,2026-06-21T12:17:25,1,0.95,observed,EVI_CDR_CDR_000073,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000074,P_00507,Person,P_03057,Person,CALLS,2025-03-28T03:40:56,2025-03-28T03:40:56,2025-03-28T03:40:56,2025-03-28T03:40:56,1,0.95,observed,EVI_CDR_CDR_000074,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000075,P_03648,Person,P_02573,Person,CALLS,2026-04-24T12:50:10,2026-04-24T12:50:10,2026-04-24T12:50:10,2026-04-24T12:50:10,1,0.95,observed,EVI_CDR_CDR_000075,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000076,P_00484,Person,P_01821,Person,CALLS,2026-10-25T23:51:58,2026-10-25T23:51:58,2026-10-25T23:51:58,2026-10-25T23:51:58,1,0.95,observed,EVI_CDR_CDR_000076,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000077,P_04011,Person,P_00993,Person,CALLS,2027-01-02T04:18:15,2027-01-02T04:18:15,2027-01-02T04:18:15,2027-01-02T04:18:15,1,0.95,observed,EVI_CDR_CDR_000077,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000078,P_02984,Person,P_02847,Person,CALLS,2026-12-28T23:39:42,2026-12-28T23:39:42,2026-12-28T23:39:42,2026-12-28T23:39:42,1,0.95,observed,EVI_CDR_CDR_000078,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000079,P_02879,Person,P_01178,Person,CALLS,2027-09-23T20:38:09,2027-09-23T20:38:09,2027-09-23T20:38:09,2027-09-23T20:38:09,1,0.95,observed,EVI_CDR_CDR_000079,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000080,P_01228,Person,P_04203,Person,CALLS,2025-10-30T04:06:30,2025-10-30T04:06:30,2025-10-30T04:06:30,2025-10-30T04:06:30,1,0.95,observed,EVI_CDR_CDR_000080,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000081,P_02127,Person,P_01666,Person,CALLS,2025-06-21T19:50:26,2025-06-21T19:50:26,2025-06-21T19:50:26,2025-06-21T19:50:26,1,0.95,observed,EVI_CDR_CDR_000081,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000082,P_01238,Person,P_00273,Person,CALLS,2026-06-08T05:22:22,2026-06-08T05:22:22,2026-06-08T05:22:22,2026-06-08T05:22:22,1,0.95,observed,EVI_CDR_CDR_000082,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000083,P_02187,Person,P_02617,Person,CALLS,2026-04-15T11:04:17,2026-04-15T11:04:17,2026-04-15T11:04:17,2026-04-15T11:04:17,1,0.95,observed,EVI_CDR_CDR_000083,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000084,P_01293,Person,P_02959,Person,CALLS,2026-01-05T17:16:03,2026-01-05T17:16:03,2026-01-05T17:16:03,2026-01-05T17:16:03,1,0.95,observed,EVI_CDR_CDR_000084,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000085,P_02294,Person,P_00121,Person,CALLS,2025-05-09T10:57:49,2025-05-09T10:57:49,2025-05-09T10:57:49,2025-05-09T10:57:49,1,0.95,observed,EVI_CDR_CDR_000085,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000086,P_00180,Person,P_00855,Person,CALLS,2026-04-20T13:36:11,2026-04-20T13:36:11,2026-04-20T13:36:11,2026-04-20T13:36:11,1,0.95,observed,EVI_CDR_CDR_000086,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000087,P_04713,Person,P_02007,Person,CALLS,2027-11-26T17:04:34,2027-11-26T17:04:34,2027-11-26T17:04:34,2027-11-26T17:04:34,1,0.95,observed,EVI_CDR_CDR_000087,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000088,P_02996,Person,P_03080,Person,CALLS,2027-07-12T04:10:58,2027-07-12T04:10:58,2027-07-12T04:10:58,2027-07-12T04:10:58,1,0.95,observed,EVI_CDR_CDR_000088,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000089,P_00060,Person,P_00507,Person,CALLS,2026-04-22T00:20:31,2026-04-22T00:20:31,2026-04-22T00:20:31,2026-04-22T00:20:31,1,0.95,observed,EVI_CDR_CDR_000089,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000090,P_01985,Person,P_04704,Person,CALLS,2027-10-09T01:11:28,2027-10-09T01:11:28,2027-10-09T01:11:28,2027-10-09T01:11:28,1,0.95,observed,EVI_CDR_CDR_000090,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000091,P_01188,Person,P_02973,Person,CALLS,2027-01-15T10:59:59,2027-01-15T10:59:59,2027-01-15T10:59:59,2027-01-15T10:59:59,1,0.95,observed,EVI_CDR_CDR_000091,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000092,P_04689,Person,P_00741,Person,CALLS,2027-05-15T02:44:29,2027-05-15T02:44:29,2027-05-15T02:44:29,2027-05-15T02:44:29,1,0.95,observed,EVI_CDR_CDR_000092,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000093,P_00035,Person,P_04684,Person,CALLS,2025-04-30T08:05:02,2025-04-30T08:05:02,2025-04-30T08:05:02,2025-04-30T08:05:02,1,0.95,observed,EVI_CDR_CDR_000093,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000094,P_04696,Person,P_00525,Person,CALLS,2026-04-08T13:12:17,2026-04-08T13:12:17,2026-04-08T13:12:17,2026-04-08T13:12:17,1,0.95,observed,EVI_CDR_CDR_000094,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000095,P_01611,Person,P_00141,Person,CALLS,2027-11-15T07:37:59,2027-11-15T07:37:59,2027-11-15T07:37:59,2027-11-15T07:37:59,1,0.95,observed,EVI_CDR_CDR_000095,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000096,P_02845,Person,P_01406,Person,CALLS,2025-05-05T20:37:08,2025-05-05T20:37:08,2025-05-05T20:37:08,2025-05-05T20:37:08,1,0.95,observed,EVI_CDR_CDR_000096,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000097,P_03770,Person,P_00315,Person,CALLS,2027-09-03T23:44:58,2027-09-03T23:44:58,2027-09-03T23:44:58,2027-09-03T23:44:58,1,0.95,observed,EVI_CDR_CDR_000097,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000098,P_01647,Person,P_04505,Person,CALLS,2027-06-25T19:23:42,2027-06-25T19:23:42,2027-06-25T19:23:42,2027-06-25T19:23:42,1,0.95,observed,EVI_CDR_CDR_000098,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
